 	je	sens	des	étouffements	</S>
a66	0.456326	0.246373	0.152173	0.11908	0.0260468
a87	0.5398	0.204518	0.116075	0.0965498	0.043057
a23	0.608226	0.24207	0.0784043	0.0370334	0.0342667
a13	0.579862	0.237283	0.0926654	0.0562205	0.0339698
a54	0.436936	0.252094	0.124751	0.0983597	0.0878603
a85	0.318257	0.263385	0.218567	0.14699	0.0528004
a5	0.258188	0.32772	0.242514	0.13007	0.0415088
a18	0.201292	0.303034	0.276019	0.168541	0.0511144
a90	0.146222	0.266192	0.301442	0.210828	0.0753165
a56	0.117135	0.267895	0.301136	0.211548	0.102285
a34	0.142565	0.271335	0.272818	0.221726	0.0915559
a21	0.105634	0.220874	0.253637	0.286592	0.133263
a61	0.0862956	0.152814	0.209141	0.314277	0.237473
a88	0.0569063	0.123144	0.214796	0.320954	0.2842
a62	0.0213286	0.0641572	0.174995	0.361455	0.378064
a96	0.0142874	0.032393	0.101041	0.27502	0.577259
a75	0.00868841	0.0163065	0.0527593	0.253354	0.668892
a92	0.00346187	0.00617824	0.0249293	0.143806	0.821625
a56	0.00204369	0.00379983	0.0169743	0.121055	0.856127
a75	0.00180682	0.0025947	0.0106281	0.0811512	0.903819
a92	0.000986299	0.00153145	0.0072856	0.0627412	0.927456
a37	0.000786175	0.00128158	0.00724852	0.0744141	0.91627
a93	0.00125482	0.00130681	0.00491557	0.0395585	0.952964
a4	0.00137378	0.00161586	0.00560767	0.0390077	0.952395
a57	0.0023493	0.00280499	0.0118475	0.0600871	0.922911
a82	0.0334469	0.0247714	0.0502729	0.112322	0.779187
a97	0.217571	0.0719866	0.0750379	0.124171	0.511234
a87	0.463925	0.174623	0.0830027	0.075244	0.203206
a23	0.395784	0.208502	0.100228	0.0953807	0.200104
a99	0.156047	0.0619883	0.0462247	0.100431	0.63531
a87	0.137982	0.0551284	0.050774	0.12607	0.630045
a57	0.0482549	0.0289879	0.0407873	0.111607	0.770363
</S>	0.0938008	0.0779998	0.0833033	0.124311	0.620585
