 	la	berge	est	très	élevée	à	cet	endroit	</S>
a23	0.174443	0.0893451	0.121343	0.156185	0.191859	0.108348	0.0598822	0.0474904	0.051104
a87	0.48581	0.176632	0.119142	0.0771975	0.0319109	0.0222354	0.024296	0.0249075	0.0378679
a23	0.339842	0.210362	0.131008	0.082003	0.0369311	0.0323068	0.0369472	0.0466404	0.0839595
a87	0.441733	0.230027	0.0956992	0.0415973	0.0172238	0.0236322	0.0364083	0.0404522	0.0732278
a23	0.257982	0.20678	0.127299	0.0736809	0.0449001	0.063176	0.0686803	0.063789	0.0937125
a87	0.340017	0.198731	0.0737932	0.0333935	0.0190765	0.0384106	0.0710268	0.0847984	0.140752
a23	0.219796	0.184241	0.0967798	0.0460488	0.0302065	0.0595429	0.0894618	0.104417	0.169506
a50	0.3805	0.212655	0.0650592	0.0257506	0.014975	0.0289651	0.0545503	0.0796089	0.137935
a98	0.56321	0.311741	0.0740957	0.0239122	0.00741304	0.00492988	0.00445028	0.00431468	0.00593312
a71	0.346107	0.269802	0.152983	0.0866702	0.0477342	0.0257827	0.0229848	0.0222062	0.0257288
a38	0.273829	0.256823	0.180851	0.11636	0.0705319	0.0317388	0.0230854	0.0214321	0.0253487
a41	0.18106	0.203051	0.208171	0.157483	0.103165	0.0435559	0.032984	0.0328218	0.0377096
a12	0.159886	0.231792	0.253014	0.168957	0.0866536	0.0324955	0.0212287	0.0209948	0.0249774
a31	0.121495	0.206791	0.243033	0.176543	0.113222	0.0447031	0.0286951	0.02926	0.0362577
a88	0.101202	0.160964	0.222627	0.179031	0.146521	0.062991	0.0362452	0.0386555	0.0517638
a24	0.0918753	0.109103	0.236807	0.195518	0.148558	0.0644349	0.0440323	0.0462934	0.0633781
a41	0.0642773	0.0939915	0.200473	0.173919	0.164101	0.0885441	0.0649284	0.0650831	0.0846822
a27	0.0822212	0.0769965	0.182366	0.174184	0.154496	0.0770471	0.058196	0.0748119	0.119681
a25	0.0456821	0.0434626	0.149363	0.178918	0.217879	0.0953368	0.0635735	0.079463	0.126322
a82	0.0640706	0.0521933	0.181691	0.216423	0.200365	0.0734369	0.0458867	0.0610522	0.104881
a87	0.0311047	0.0325092	0.121136	0.17399	0.220012	0.100716	0.0622666	0.0913774	0.166889
a23	0.0484414	0.0566032	0.149798	0.187788	0.169028	0.127661	0.0740893	0.0751175	0.111474
a79	0.056519	0.0314793	0.0994614	0.151793	0.14147	0.11979	0.094356	0.108126	0.197005
a57	0.0206149	0.0148627	0.0358738	0.0322087	0.0326713	0.0542846	0.110431	0.241	0.458053
a13	0.0266091	0.0528618	0.130317	0.0992597	0.0688491	0.0714423	0.104337	0.175362	0.270961
a3	0.0232563	0.0275678	0.0870987	0.0981601	0.104069	0.0811025	0.100335	0.17991	0.298501
a10	0.010827	0.0131278	0.0418766	0.054265	0.0958136	0.102282	0.150676	0.220281	0.310851
a24	0.0138979	0.0126123	0.0347559	0.052228	0.0897996	0.091627	0.131826	0.213983	0.359271
a88	0.0146671	0.0122725	0.0342235	0.0511299	0.0732424	0.0660834	0.121967	0.228233	0.398181
a38	0.0315251	0.0243472	0.0520382	0.0731408	0.10703	0.0822041	0.122779	0.197262	0.309673
a76	0.0229303	0.014765	0.0237842	0.0309249	0.0724644	0.0716665	0.138016	0.23689	0.388559
a69	0.0158588	0.0111155	0.0204599	0.0255064	0.0812981	0.095886	0.147811	0.240147	0.361918
a94	0.0123396	0.00895849	0.0195563	0.0259401	0.0674495	0.079182	0.155387	0.25838	0.372807
a38	0.0115475	0.006552	0.0129848	0.0164863	0.0439111	0.062434	0.153283	0.281514	0.411287
a54	0.0162921	0.0073979	0.0134027	0.0160471	0.0450841	0.0664254	0.152826	0.269582	0.412942
a41	0.0266381	0.0102046	0.0178598	0.0190115	0.0496036	0.0723424	0.148272	0.254037	0.402031
a18	0.0121708	0.00590219	0.012978	0.0155779	0.0424459	0.0636232	0.152385	0.283576	0.411341
a24	0.00610313	0.00327369	0.00847511	0.0108884	0.0265624	0.044041	0.121576	0.285998	0.493082
a88	0.00829149	0.00385082	0.00754191	0.00813428	0.0166818	0.0283122	0.105245	0.291957	0.529985
a71	0.00982899	0.0056849	0.00971683	0.00959501	0.0167358	0.0256213	0.0917124	0.273407	0.557698
a25	0.00827039	0.00389378	0.00891328	0.0126159	0.031324	0.0452849	0.108559	0.258763	0.522376
a53	0.00453252	0.00156141	0.00300064	0.00404279	0.0100295	0.020465	0.075689	0.259992	0.620687
a90	0.00530947	0.00184317	0.00369472	0.00410475	0.00880978	0.0178836	0.076127	0.252154	0.630073
a4	0.00543098	0.00213421	0.00388152	0.00409127	0.00839112	0.0162569	0.0714345	0.240756	0.647624
a13	0.0066898	0.00242623	0.00496776	0.00583095	0.010787	0.0196798	0.072676	0.242192	0.63475
a9	0.00719087	0.00285709	0.00540446	0.00638281	0.00928017	0.0187943	0.0763351	0.243462	0.630293
a97	0.00538252	0.00221248	0.00482205	0.00658702	0.00862061	0.0184832	0.0716737	0.241044	0.641175
a87	0.0030431	0.00177838	0.00261441	0.00351575	0.00483878	0.0163184	0.0643004	0.21824	0.685351
</S>	0.0176089	0.0140798	0.0126309	0.0125622	0.0134248	0.0317175	0.0832772	0.204841	0.609857
