 	viens	me	coudre	les	manches	de	la	chemise	</S>
a66	0.119465	0.1393	0.223959	0.238695	0.176487	0.0685583	0.0194763	0.00792678	0.00613205
a87	0.121174	0.137194	0.215469	0.189464	0.179933	0.0806112	0.0330644	0.0213416	0.0217494
a23	0.271145	0.294537	0.2199	0.119453	0.0564607	0.0142392	0.00838158	0.00712415	0.00876047
a87	0.396304	0.359868	0.123626	0.0617363	0.0330391	0.00942019	0.00529134	0.0044368	0.00627728
a23	0.346054	0.319663	0.165218	0.095327	0.0484134	0.0115093	0.00531382	0.00350814	0.0049942
a30	0.332813	0.300372	0.142171	0.0888914	0.0759871	0.0245886	0.0140611	0.00889537	0.0122204
a4	0.21762	0.20109	0.139289	0.133408	0.167292	0.075887	0.0311815	0.0182462	0.0159849
a44	0.205754	0.211909	0.188412	0.124952	0.13674	0.068269	0.0329558	0.0190864	0.0119216
a43	0.218873	0.190386	0.155229	0.124196	0.128073	0.0848139	0.0514249	0.0311615	0.0158428
a90	0.195453	0.164062	0.13145	0.12565	0.127001	0.10544	0.0741394	0.0503642	0.0264406
a98	0.111769	0.0975435	0.104365	0.116956	0.148043	0.155351	0.11685	0.0988649	0.0502565
a47	0.0377456	0.0383484	0.0601786	0.0843806	0.143393	0.226273	0.181305	0.153123	0.0752529
a37	0.033734	0.0368652	0.0558446	0.0983134	0.122274	0.187661	0.147305	0.185348	0.132654
a98	0.0654755	0.0515628	0.088015	0.13459	0.126564	0.155839	0.114157	0.157602	0.106195
a47	0.0149355	0.0140965	0.0363236	0.0669837	0.119149	0.233365	0.203511	0.204311	0.107325
a90	0.011367	0.00949567	0.0237252	0.0466511	0.0853567	0.17728	0.189965	0.246399	0.209761
a69	0.0260724	0.0158972	0.0357361	0.0783373	0.121544	0.248798	0.170652	0.171353	0.131609
a94	0.0173959	0.00937603	0.016666	0.0366464	0.066714	0.186825	0.190904	0.254927	0.220546
a53	0.0120678	0.00608835	0.00941498	0.0157271	0.0299341	0.107373	0.172481	0.302841	0.344072
a69	0.0117739	0.00693587	0.0103979	0.019286	0.0316113	0.0980762	0.161409	0.314162	0.346348
a40	0.00643973	0.00357124	0.00514182	0.0079002	0.015315	0.0525906	0.121908	0.319858	0.467275
a54	0.00427736	0.0021226	0.00256747	0.00345853	0.00617488	0.0261606	0.0697297	0.282711	0.602798
a47	0.00314118	0.00133319	0.00138295	0.00205291	0.00440978	0.0277773	0.0858059	0.310095	0.564002
a37	0.000987641	0.000364707	0.000377751	0.000459172	0.00102211	0.00629916	0.0387788	0.295347	0.656363
a36	0.00146586	0.000527484	0.000461424	0.000424591	0.0011363	0.00634832	0.0384658	0.240422	0.710748
a2	0.00679087	0.00247986	0.00280595	0.00237176	0.00467645	0.0151076	0.0608961	0.227916	0.676955
a30	0.0582682	0.0245126	0.0397929	0.0344484	0.0417472	0.0620099	0.13602	0.227323	0.375878
a10	0.193231	0.163249	0.21397	0.0994757	0.0729885	0.0393388	0.05277	0.0687088	0.0962682
a87	0.182678	0.154221	0.184498	0.107054	0.0941814	0.044108	0.0535309	0.0813125	0.098416
a23	0.13836	0.125652	0.156448	0.101032	0.124097	0.0622373	0.0739651	0.110189	0.108019
a87	0.0723088	0.060661	0.0535141	0.0225954	0.0457555	0.0442693	0.0834297	0.267279	0.350188
a23	0.0176486	0.0141327	0.0129045	0.00806147	0.0154763	0.0221323	0.0643462	0.354525	0.490773
a87	0.0194709	0.0150217	0.0130842	0.00701038	0.0178588	0.0324443	0.0925258	0.361918	0.440666
</S>	0.00794901	0.00680435	0.00710379	0.00439827	0.0117709	0.026415	0.0943002	0.391118	0.450141
