 	voici	le	sentier	du	phacochère	</S>
a66	0.329672	0.351817	0.20919	0.0601562	0.0295445	0.0196208
a87	0.232698	0.175009	0.172583	0.113518	0.109121	0.197071
a23	0.325207	0.203428	0.206953	0.0622642	0.0674119	0.134736
a97	0.394319	0.23296	0.186229	0.0491523	0.0517622	0.0855773
a99	0.38544	0.214359	0.184725	0.0566675	0.0629973	0.0958115
a97	0.376485	0.203861	0.142584	0.0660656	0.0814205	0.129583
a99	0.317837	0.200894	0.148946	0.0709899	0.09295	0.168384
a38	0.271583	0.181673	0.16022	0.0891084	0.11385	0.183566
a54	0.38151	0.256957	0.115937	0.0551194	0.0720933	0.118383
a47	0.418719	0.306586	0.0944652	0.0389508	0.0514191	0.0898604
a15	0.332967	0.332104	0.116325	0.0538189	0.0625287	0.102256
a7	0.246472	0.374914	0.200085	0.0630464	0.048518	0.0669643
a93	0.211578	0.356078	0.224613	0.0747338	0.0586643	0.0743323
a56	0.28932	0.403034	0.193522	0.0481041	0.0309119	0.0351085
a47	0.23474	0.359273	0.239954	0.0743641	0.0453106	0.0463574
a62	0.197285	0.291793	0.276348	0.101421	0.064832	0.0683213
a61	0.135224	0.201967	0.276493	0.171184	0.112623	0.10251
a21	0.110874	0.191829	0.304989	0.176701	0.11115	0.104457
a34	0.0907119	0.162765	0.283059	0.213074	0.138354	0.112036
a56	0.0559482	0.108382	0.293029	0.248169	0.158171	0.1363
a98	0.0484851	0.0882384	0.244438	0.26578	0.190238	0.16282
a47	0.0207002	0.0370477	0.145871	0.262975	0.267569	0.265837
a36	0.0409302	0.0497102	0.142016	0.235889	0.225754	0.305701
a2	0.0390662	0.04715	0.148265	0.198722	0.177463	0.389333
a57	0.0415527	0.049153	0.167959	0.198664	0.186281	0.356391
a9	0.0264795	0.0308446	0.110698	0.17611	0.243415	0.412452
a83	0.0118473	0.0174483	0.102851	0.196618	0.280382	0.390854
a62	0.00917424	0.0139676	0.0724787	0.212991	0.317725	0.373663
a47	0.00325258	0.00740921	0.0423446	0.18434	0.3516	0.411053
a62	0.00166253	0.00417122	0.031764	0.180387	0.350375	0.43164
a18	0.00235171	0.00623867	0.0329993	0.134569	0.293059	0.530783
a21	0.000947911	0.00181287	0.0195924	0.142554	0.338147	0.496946
a47	0.00154096	0.00424829	0.0239101	0.11728	0.302409	0.550611
a61	0.00126844	0.00284948	0.0170157	0.111111	0.289053	0.578702
a62	0.00112748	0.00292859	0.0210553	0.121411	0.30699	0.546487
a88	0.000855821	0.00170169	0.0120954	0.0948671	0.284796	0.605684
a71	0.00109814	0.00179757	0.01102	0.0944747	0.271165	0.620444
a9	0.00632732	0.00642069	0.0194502	0.123968	0.309847	0.533986
a3	0.0398246	0.0271758	0.0588587	0.150041	0.2938	0.4303
a97	0.0567655	0.0370215	0.0949782	0.178479	0.276553	0.356203
a99	0.0672811	0.0452501	0.121208	0.17533	0.240616	0.350315
a97	0.0449906	0.0308533	0.096689	0.139612	0.213763	0.474091
a99	0.0410107	0.0406409	0.104943	0.119678	0.19008	0.503647
a87	0.0272397	0.0273315	0.0669053	0.0952333	0.170495	0.612795
</S>	0.0373557	0.0423998	0.0825753	0.100806	0.164603	0.57226
