 	c'	est	un	travail	bientôt	fait	</S>
a23	0.390295	0.298832	0.11019	0.0519315	0.0423501	0.0493023	0.0570997
a87	0.370085	0.239642	0.136418	0.0727852	0.0586656	0.0560007	0.0664025
a79	0.338282	0.20973	0.146902	0.089705	0.0687856	0.0655875	0.0810083
a41	0.316614	0.192195	0.101601	0.0889453	0.0908226	0.0909701	0.118851
a18	0.386723	0.295401	0.17162	0.0745905	0.0296439	0.0212701	0.0207507
a61	0.416877	0.341778	0.16488	0.0385313	0.0145564	0.0114318	0.0119454
a24	0.328635	0.307595	0.211137	0.0778732	0.0287637	0.0221784	0.0238176
a43	0.244639	0.267129	0.230029	0.124443	0.0594746	0.0387267	0.0355586
a11	0.182164	0.213412	0.237325	0.176845	0.0889238	0.0534975	0.0478336
a54	0.157402	0.194774	0.243409	0.2049	0.0991037	0.0532463	0.0471646
a73	0.189532	0.21026	0.206461	0.137385	0.0953807	0.0794811	0.0815012
a35	0.135447	0.157182	0.198534	0.194555	0.136522	0.0922277	0.0855326
a41	0.0804709	0.0852497	0.125774	0.202076	0.199671	0.156505	0.150253
a24	0.0541073	0.0531044	0.0783354	0.179338	0.22807	0.211464	0.19558
a32	0.0311861	0.0270379	0.0343324	0.0971814	0.200777	0.284107	0.325378
a25	0.0392194	0.0307653	0.0299329	0.0654438	0.156444	0.275112	0.403082
a10	0.0269502	0.0231023	0.0265516	0.0658578	0.169152	0.279064	0.409321
a62	0.00812251	0.00624356	0.00783186	0.0242286	0.101058	0.270236	0.582279
a12	0.0148711	0.00846658	0.00691441	0.0134881	0.0546307	0.220797	0.680832
a96	0.0117623	0.0076437	0.00838555	0.0211179	0.0808396	0.272054	0.598197
a98	0.0112532	0.00848808	0.00959586	0.0235602	0.0788587	0.252896	0.615348
a73	0.0175386	0.0121579	0.0138356	0.0299757	0.0901218	0.265776	0.570594
a84	0.00716335	0.00538291	0.00765839	0.0210356	0.0776612	0.270584	0.610515
a54	0.00278907	0.00237602	0.00396666	0.0123881	0.0434705	0.200219	0.73479
a73	0.00416451	0.00300701	0.00406075	0.0101101	0.0454845	0.230895	0.702278
a41	0.00643449	0.00451204	0.00534078	0.0123832	0.0505311	0.225296	0.695503
a26	0.00433775	0.00343392	0.00472763	0.0116501	0.0453083	0.212675	0.717867
a61	0.00275455	0.00238408	0.00418059	0.0113416	0.0407754	0.187809	0.750755
a56	0.00345207	0.00292939	0.004551	0.0143587	0.0509673	0.213185	0.710556
a44	0.00506302	0.0040575	0.00623794	0.0168077	0.0541817	0.217394	0.696258
a90	0.00565309	0.0051173	0.00831993	0.0209347	0.0620257	0.225777	0.672172
a20	0.00712039	0.00633813	0.00865484	0.0215305	0.0615011	0.2318	0.663055
a58	0.00352382	0.00275654	0.00416479	0.0123413	0.0476776	0.217428	0.712108
a84	0.00464046	0.00306488	0.00461283	0.0121299	0.0433812	0.19369	0.738481
a87	0.00913487	0.00635659	0.0090815	0.017645	0.0530009	0.209261	0.69552
</S>	0.0222373	0.0148915	0.0199783	0.0312425	0.0866877	0.271329	0.553634
