 	l'	épervier	a	attrapé	un	poussin	</S>
a15	0.586617	0.228483	0.0751444	0.0316162	0.0322541	0.0268959	0.0189895
a66	0.663069	0.157944	0.0852797	0.0471554	0.0234412	0.0131597	0.00995107
a87	0.780155	0.130302	0.0303368	0.0248633	0.0158147	0.0117969	0.00673134
a23	0.626201	0.300077	0.0295323	0.0125485	0.00999909	0.0128509	0.008792
a83	0.519042	0.347944	0.043525	0.0120218	0.00931583	0.0212781	0.0468735
a75	0.448899	0.279845	0.0845551	0.0435276	0.0326882	0.0498944	0.0605911
a34	0.3825	0.277142	0.19405	0.0669769	0.0336922	0.0258037	0.019834
a56	0.236119	0.331409	0.238062	0.112251	0.046694	0.0225797	0.0128853
a98	0.120834	0.26144	0.316596	0.187002	0.0729505	0.0276697	0.0135075
a79	0.0475922	0.0974723	0.323042	0.295947	0.141683	0.0612596	0.0330037
a7	0.048256	0.0576846	0.253771	0.351592	0.164688	0.0779533	0.0460554
a61	0.05325	0.0302935	0.152314	0.291461	0.230279	0.146759	0.0956431
a75	0.0562301	0.0222088	0.0698091	0.144049	0.184192	0.283361	0.24015
a85	0.00600812	0.00261994	0.00938705	0.0455347	0.154648	0.393918	0.387884
a5	0.00205422	0.00101196	0.00349368	0.0218487	0.119779	0.415119	0.436694
a37	0.00109075	0.000361817	0.00159036	0.0116623	0.0838409	0.337003	0.564451
a61	0.00137647	0.000439013	0.000973228	0.00461029	0.0356605	0.241521	0.715419
a0	0.000858627	0.000357454	0.000988696	0.00437397	0.0293125	0.192224	0.771885
a38	0.0034599	0.00138691	0.00344565	0.0165206	0.0841952	0.260139	0.630853
a10	0.00174802	0.00128567	0.00353291	0.0122515	0.0790502	0.320447	0.581685
a87	0.0537893	0.0184873	0.0234508	0.046459	0.142007	0.300317	0.41549
a23	0.585789	0.150839	0.0666056	0.0623812	0.054578	0.0399643	0.0398432
a87	0.143759	0.0626482	0.0331338	0.065975	0.150772	0.253387	0.290326
</S>	0.0177539	0.00714615	0.00730612	0.0217594	0.0988034	0.351997	0.495234
