 	sa	mère	l'	a	tapé	parce	qu'	il	est	mendiant	</S>
a66	0.233393	0.209027	0.175621	0.131773	0.0898778	0.0515965	0.0372205	0.0286482	0.0191388	0.0131036	0.0106005
a87	0.389508	0.307358	0.170938	0.0652168	0.0145456	0.011358	0.00981102	0.00910576	0.00851666	0.00685144	0.00679013
a23	0.414378	0.294815	0.156877	0.0681906	0.0196511	0.00940446	0.00764064	0.00635061	0.00634471	0.00842648	0.00792123
a57	0.399071	0.25978	0.111852	0.0422934	0.0154591	0.0126196	0.0128407	0.0143959	0.0233107	0.0443839	0.0639941
a53	0.315404	0.203361	0.123798	0.0591524	0.0292897	0.0213109	0.0193591	0.0246204	0.0401891	0.0750978	0.0884175
a15	0.213102	0.163779	0.114245	0.0967324	0.0794401	0.054189	0.0413295	0.0388309	0.0523059	0.0760649	0.0699807
a7	0.114748	0.113168	0.140979	0.171977	0.121692	0.0974744	0.0699194	0.055324	0.0478473	0.0413949	0.0254759
a21	0.0568484	0.0714629	0.136903	0.190324	0.182662	0.098974	0.0598151	0.0434913	0.0532665	0.0663243	0.0399287
a12	0.0413657	0.0487369	0.105064	0.182988	0.218359	0.139065	0.0869384	0.048258	0.0438426	0.050612	0.0347701
a47	0.0351996	0.0370359	0.0668816	0.139132	0.266016	0.18144	0.112223	0.0545006	0.0381868	0.0384167	0.0309687
a96	0.0214284	0.0255515	0.0485403	0.0975907	0.221348	0.205452	0.155217	0.076364	0.0515481	0.0473085	0.0496518
a53	0.0211013	0.025054	0.0486368	0.105265	0.249084	0.198717	0.147132	0.0789998	0.0469693	0.0392451	0.0397965
a15	0.0142284	0.0171039	0.0396451	0.105036	0.231823	0.182842	0.135503	0.0920414	0.0668587	0.0567129	0.0582054
a7	0.0107006	0.0156356	0.0357244	0.0926091	0.190448	0.188657	0.129756	0.0878962	0.0760876	0.0752487	0.0972372
a2	0.0216002	0.0236633	0.0287638	0.0571081	0.148506	0.157416	0.146196	0.107404	0.0818924	0.0937002	0.13375
a84	0.0214888	0.0281742	0.0325596	0.0432803	0.0856636	0.101759	0.110555	0.112922	0.105542	0.170234	0.187821
a38	0.0230328	0.0273743	0.0310365	0.0364083	0.0554119	0.0762654	0.102594	0.125915	0.123222	0.186619	0.212121
a54	0.00744864	0.00840051	0.00935312	0.0112324	0.0139143	0.0282003	0.0561539	0.0931864	0.138458	0.262739	0.370913
a79	0.00161625	0.0014659	0.0014604	0.00265988	0.00890955	0.0277942	0.0507815	0.102405	0.179461	0.277626	0.345821
a44	0.00081462	0.000744931	0.000760303	0.00170223	0.00897194	0.0316454	0.0557394	0.106122	0.203168	0.290319	0.300013
a13	0.0014082	0.0012052	0.00107547	0.00163151	0.00391232	0.0161086	0.0365473	0.0677221	0.149725	0.289213	0.431451
a38	0.00133582	0.00135287	0.00152801	0.00192783	0.00257416	0.00617251	0.0156797	0.0408311	0.134482	0.274739	0.519377
a96	0.0004466	0.000395026	0.000419871	0.000587203	0.00100714	0.00312002	0.00854846	0.0320225	0.128078	0.279399	0.545976
a18	0.000534554	0.000493147	0.000586132	0.000896255	0.00162207	0.00498458	0.0120521	0.0383308	0.122135	0.266968	0.551397
a26	0.00146753	0.00133992	0.00147513	0.0028503	0.00548342	0.0123032	0.026787	0.0634655	0.151769	0.273919	0.45914
a82	0.0277838	0.0186289	0.0150045	0.0205674	0.0296462	0.0379952	0.0575558	0.101591	0.140995	0.222188	0.328043
a87	0.194714	0.102889	0.0517627	0.0371333	0.0377403	0.0459046	0.0594063	0.0840753	0.106939	0.135095	0.144341
a23	0.303832	0.204134	0.113491	0.0698944	0.0471626	0.0394818	0.0416193	0.0498702	0.0521581	0.0436736	0.0346831
a87	0.100122	0.0675887	0.031183	0.0210784	0.0140445	0.0298086	0.0610441	0.116866	0.19143	0.213428	0.153407
a23	0.0114051	0.0080419	0.00524754	0.00630862	0.0115286	0.0371361	0.0603181	0.0932047	0.178371	0.318776	0.269663
a87	0.0275708	0.0223613	0.0189037	0.0234587	0.0361948	0.0666319	0.0938985	0.127786	0.184086	0.227834	0.171274
</S>	0.017146	0.015418	0.0125686	0.0149702	0.0229395	0.0459809	0.0587118	0.0978613	0.191976	0.308362	0.214066
