 	c'	est	un	bon	mari	</S>
a23	0.310534	0.204696	0.118403	0.120019	0.118792	0.127557
a87	0.319437	0.217357	0.134324	0.0955892	0.119569	0.113725
a23	0.344579	0.230097	0.141169	0.0894008	0.0992424	0.0955116
a79	0.26052	0.1767	0.120579	0.0961559	0.161732	0.184314
a20	0.26483	0.184957	0.136978	0.12138	0.142711	0.149145
a44	0.420673	0.261834	0.141354	0.074854	0.0566717	0.0446136
a57	0.40365	0.305573	0.151256	0.0667697	0.0430805	0.0296708
a11	0.297284	0.261394	0.189246	0.112185	0.0779826	0.0619083
a76	0.21233	0.200729	0.195427	0.162387	0.126288	0.10284
a90	0.332734	0.256749	0.171373	0.109405	0.0737227	0.0560164
a94	0.242137	0.196971	0.178996	0.152628	0.128217	0.101051
a76	0.14598	0.142808	0.165698	0.182351	0.191213	0.171949
a94	0.119172	0.120742	0.147769	0.188628	0.20613	0.217559
a76	0.0519179	0.0561253	0.0894274	0.161151	0.273504	0.367874
a90	0.0307484	0.0367612	0.0702542	0.151808	0.282016	0.428412
a57	0.0313203	0.0359699	0.0641839	0.133641	0.279515	0.45537
a82	0.00906413	0.0100214	0.0225929	0.0652669	0.269703	0.623352
a38	0.008573	0.00965624	0.0211983	0.0639267	0.247996	0.648649
a41	0.00375648	0.00393254	0.00986545	0.039976	0.217009	0.72546
a27	0.00242194	0.00297376	0.0106788	0.0475468	0.227265	0.709113
a82	0.0026095	0.00312881	0.00925162	0.035312	0.198416	0.751283
a87	0.0139921	0.0147259	0.0294619	0.0653967	0.235055	0.641368
</S>	0.0315985	0.026733	0.0474292	0.107855	0.268232	0.518151
