 	les	routes	bifurquent	à	cet	endroit	</S>
a23	0.695154	0.135396	0.0703017	0.0219039	0.0182236	0.0225086	0.0365118
a85	0.445058	0.188948	0.143183	0.0585406	0.0514098	0.0498403	0.0630208
a87	0.363488	0.178243	0.154831	0.0774942	0.0599684	0.0601374	0.105837
a23	0.267634	0.182753	0.181166	0.119256	0.0882252	0.0659595	0.0950073
a94	0.106474	0.0452442	0.0696825	0.0869044	0.123759	0.195343	0.372592
a13	0.40175	0.236975	0.187462	0.0830737	0.0395213	0.0250733	0.0261449
a38	0.273688	0.298434	0.256066	0.10469	0.0372304	0.0155688	0.0143237
a41	0.252307	0.325452	0.244098	0.0967921	0.0374588	0.0218398	0.0220518
a12	0.22832	0.319599	0.236122	0.120348	0.0483748	0.0252028	0.022033
a24	0.182847	0.258554	0.210743	0.155831	0.0848641	0.058467	0.0486947
a9	0.144789	0.178333	0.152638	0.154218	0.122436	0.127451	0.120135
a79	0.110798	0.144261	0.136894	0.164278	0.154193	0.139661	0.149915
a41	0.112888	0.154421	0.140388	0.182582	0.167183	0.124865	0.117673
a32	0.0805969	0.100821	0.0730289	0.113099	0.18773	0.223305	0.221419
a24	0.0691757	0.0834851	0.0482283	0.0682862	0.140238	0.265426	0.325161
a94	0.0266144	0.0305252	0.0199391	0.0319142	0.085959	0.292948	0.5121
a71	0.0468857	0.0467225	0.024545	0.0272546	0.0629649	0.245459	0.546168
a38	0.0447794	0.0529945	0.030411	0.0351593	0.071473	0.235072	0.530111
a94	0.083519	0.0694708	0.0386964	0.0458769	0.0765379	0.207178	0.478721
a98	0.04453	0.0350042	0.0260978	0.0382253	0.0767485	0.223875	0.555519
a13	0.0197257	0.0156089	0.0127248	0.0255787	0.0689011	0.247889	0.609572
a9	0.011591	0.0107558	0.00955399	0.0210945	0.0607212	0.224551	0.661733
a87	0.00873735	0.00701704	0.00681228	0.0199868	0.0804246	0.249199	0.627823
</S>	0.00648573	0.00520075	0.00785834	0.0217955	0.0868374	0.265188	0.606635
