 	le	chemin	est	bouché	</S>
a79	0.501749	0.167575	0.122108	0.110667	0.0979011
a90	0.481142	0.137123	0.128442	0.12299	0.130304
a76	0.55906	0.196054	0.110556	0.0583567	0.075974
a73	0.497134	0.297573	0.129776	0.0417705	0.0337471
a44	0.449106	0.336642	0.145358	0.0391194	0.0297749
a56	0.407861	0.335896	0.157381	0.0534936	0.0453684
a13	0.301085	0.343176	0.210776	0.0788866	0.0660762
a38	0.21538	0.29822	0.267531	0.126153	0.0927164
a31	0.165556	0.246378	0.301765	0.166781	0.119521
a61	0.0811808	0.17258	0.319628	0.253511	0.173101
a75	0.0630733	0.115747	0.25401	0.316555	0.250615
a5	0.0403852	0.0826701	0.176227	0.30157	0.399147
a18	0.0737945	0.117634	0.192999	0.295403	0.32017
a27	0.0265838	0.0451274	0.101235	0.29657	0.530484
a24	0.0065792	0.0115857	0.0408559	0.205204	0.735775
a83	0.00279437	0.00516128	0.0228558	0.190008	0.77918
a36	0.00240541	0.00484756	0.0222786	0.172519	0.797949
a2	0.00674534	0.0108154	0.0377555	0.187245	0.757438
a57	0.0475849	0.0442771	0.077939	0.231332	0.598867
a87	0.0910812	0.0651624	0.0850536	0.278439	0.480264
a97	0.145182	0.0961019	0.109806	0.276103	0.372807
a87	0.11494	0.0952699	0.130732	0.292278	0.36678
a23	0.141983	0.106976	0.133411	0.262754	0.354876
a87	0.0498188	0.0610713	0.130834	0.303418	0.454858
</S>	0.0494406	0.0741205	0.147789	0.276427	0.452223
