 	le	voleur	a	été	arrêté	hier	</S>
a66	0.56764	0.186149	0.0666678	0.0540358	0.0489939	0.0429169	0.033596
a87	0.39196	0.153033	0.0786533	0.0771484	0.0760396	0.0961703	0.126996
a10	0.411392	0.237706	0.132263	0.0898424	0.0582242	0.0323838	0.0381886
a97	0.474254	0.274665	0.122256	0.0560289	0.024711	0.021339	0.0267467
a87	0.489782	0.256734	0.108171	0.060934	0.0263138	0.0254767	0.0325884
a97	0.472753	0.244188	0.11394	0.0716403	0.0321635	0.0281349	0.0371807
a87	0.468078	0.236686	0.107375	0.0740827	0.0341007	0.0351801	0.0444968
a97	0.511895	0.241274	0.0991353	0.0685249	0.0271493	0.022971	0.0290508
a99	0.444211	0.238771	0.111273	0.0879208	0.038404	0.0348778	0.0445421
a83	0.485716	0.241924	0.111683	0.0715803	0.032493	0.02544	0.0311632
a94	0.346682	0.264626	0.190336	0.0905902	0.0472515	0.029976	0.0305385
a90	0.259555	0.278237	0.253339	0.102155	0.0547234	0.0286438	0.0233474
a4	0.195807	0.275422	0.294296	0.116712	0.0616317	0.0316136	0.0245181
a94	0.115761	0.222978	0.317581	0.16231	0.101696	0.047431	0.0322427
a24	0.118883	0.21446	0.301078	0.166314	0.113278	0.0508088	0.0351795
a83	0.0822566	0.118854	0.201394	0.211516	0.195397	0.100283	0.0902994
a61	0.0615809	0.102968	0.200494	0.255432	0.231824	0.0840184	0.0636824
a75	0.0313269	0.0343099	0.0638744	0.164895	0.291663	0.215202	0.198729
a85	0.0143816	0.0203236	0.0388598	0.104752	0.239383	0.278186	0.304114
a47	0.010995	0.0136814	0.022669	0.0821534	0.240395	0.307965	0.322141
a7	0.00378232	0.00415632	0.00684649	0.0436229	0.160937	0.323654	0.457
a90	0.00178495	0.00151611	0.00280585	0.0194866	0.0820111	0.279606	0.612789
a20	0.00193648	0.00162245	0.00273466	0.0162271	0.0787832	0.316203	0.582493
a7	0.000318309	0.000277983	0.000506107	0.00517957	0.036824	0.28958	0.667314
a82	0.000578342	0.000613323	0.00104472	0.00544318	0.0227547	0.183526	0.78604
a97	0.078173	0.0340089	0.0272646	0.0468076	0.097964	0.241276	0.474506
a87	0.251893	0.077553	0.0363076	0.0517245	0.093825	0.201096	0.287601
a97	0.255998	0.103932	0.0478083	0.054371	0.0979613	0.200868	0.239062
a23	0.0903971	0.0495956	0.0345477	0.0516536	0.121683	0.283151	0.368972
a97	0.0156077	0.0123177	0.0137458	0.0352869	0.125889	0.322688	0.474466
</S>	0.0206827	0.0217761	0.0282405	0.0748456	0.183049	0.262572	0.408835
