 	il	agite	la	bouteille	</S>
a23	0.35619	0.235615	0.213175	0.123055	0.0719655
a10	0.381644	0.266495	0.140642	0.0999904	0.111228
a87	0.287643	0.230119	0.146434	0.145681	0.190122
a57	0.262001	0.205469	0.136005	0.15653	0.239995
a87	0.27941	0.186011	0.155411	0.169101	0.210068
a23	0.302272	0.204284	0.16429	0.166665	0.162489
a79	0.205079	0.212369	0.166357	0.188622	0.227573
a20	0.597822	0.203182	0.0765679	0.0515597	0.0708679
a14	0.54111	0.293819	0.100828	0.0351171	0.0291262
a30	0.499008	0.311651	0.116616	0.0397673	0.0329577
a14	0.466612	0.318316	0.134324	0.0428786	0.0378697
a2	0.50985	0.300513	0.114542	0.0402871	0.034808
a11	0.220471	0.239742	0.177005	0.159293	0.20349
a26	0.212844	0.260423	0.220833	0.147631	0.158269
a43	0.315058	0.321968	0.201873	0.086243	0.0748588
a11	0.261808	0.283281	0.234994	0.12322	0.0966965
a75	0.245963	0.269064	0.238016	0.136128	0.110829
a41	0.189076	0.219458	0.238703	0.189674	0.163089
a35	0.0763845	0.124932	0.215188	0.298517	0.284978
a30	0.0455734	0.0990089	0.222362	0.31156	0.321496
a57	0.0425823	0.080124	0.182768	0.333688	0.360838
a87	0.0201004	0.0480462	0.124878	0.324844	0.482131
a79	0.0391836	0.0982817	0.195859	0.297653	0.369023
a76	0.0264894	0.0653619	0.128	0.327311	0.452838
a35	0.0295832	0.0554637	0.127199	0.324952	0.462802
a98	0.0133329	0.0294282	0.0934411	0.315715	0.548083
a14	0.00401468	0.0131896	0.0631844	0.335129	0.584482
a56	0.00349592	0.0118685	0.0567614	0.330137	0.597737
a98	0.00305872	0.00899034	0.0344277	0.279892	0.673631
a24	0.00224035	0.00860227	0.0392264	0.302192	0.647739
a9	0.00203793	0.00727954	0.0297796	0.279596	0.681307
a87	0.00749542	0.0176038	0.0589712	0.273875	0.642055
</S>	0.0360273	0.0543306	0.119833	0.302181	0.487627
