 	il	se	fit	blâmer	par	son	chef	</S>
a23	0.407192	0.253091	0.0878367	0.0415277	0.026175	0.0338038	0.055913	0.0944606
a79	0.416143	0.224222	0.098938	0.042311	0.0336422	0.0436157	0.0649217	0.0762066
a4	0.196024	0.11511	0.103401	0.0621618	0.0899785	0.119009	0.140496	0.17382
a57	0.310997	0.22301	0.146287	0.0884258	0.0779442	0.0604569	0.0484374	0.0444422
a53	0.285624	0.297257	0.168535	0.0939431	0.0618815	0.0376549	0.0289255	0.0261783
a69	0.138635	0.156135	0.0929343	0.0966331	0.117631	0.140492	0.118593	0.138946
a94	0.139523	0.172083	0.0966622	0.0902772	0.100763	0.121808	0.122153	0.15673
a54	0.135004	0.154115	0.0993093	0.090834	0.110579	0.133397	0.127724	0.149036
a30	0.0722814	0.0774034	0.0674063	0.0560953	0.112774	0.202276	0.197442	0.214321
a73	0.106715	0.0935124	0.0769706	0.0752328	0.112384	0.185423	0.171504	0.178258
a26	0.117351	0.10099	0.0939081	0.0732795	0.115613	0.169883	0.160818	0.168157
a38	0.0776672	0.0618832	0.0543987	0.0329707	0.0639312	0.148205	0.224755	0.33619
a41	0.0609021	0.0437696	0.0402862	0.025453	0.0538011	0.148299	0.243669	0.38382
a18	0.042372	0.0344286	0.04901	0.0453891	0.0948458	0.209299	0.253571	0.271085
a41	0.0413857	0.0336652	0.0329437	0.0248578	0.0489825	0.130279	0.22001	0.467877
a98	0.040768	0.0305921	0.0400082	0.0294237	0.059782	0.147945	0.244718	0.406763
a73	0.0164693	0.0119609	0.0155327	0.0110129	0.0304405	0.122222	0.256128	0.536233
a20	0.0131879	0.00967554	0.0153506	0.011657	0.0343704	0.124559	0.245508	0.545692
a84	0.0132803	0.00881776	0.0156028	0.0128171	0.037931	0.123052	0.239858	0.548641
a87	0.00893459	0.00558358	0.00824671	0.00527691	0.0173841	0.0814163	0.208765	0.664393
</S>	0.0109925	0.00529652	0.00883069	0.00911616	0.0293065	0.108134	0.227105	0.601219
