 	ces	garçons	sont	turbulents	</S>
a66	0.647023	0.224392	0.0733674	0.0406603	0.0145577
a87	0.738592	0.124224	0.0485715	0.0434951	0.045118
a23	0.725247	0.147579	0.0468585	0.0319547	0.0483603
a40	0.599172	0.15615	0.0589866	0.0564763	0.129215
a7	0.619045	0.151018	0.0818799	0.0773949	0.0706626
a54	0.448905	0.277571	0.102981	0.0850167	0.0855253
a36	0.228722	0.31038	0.207393	0.159718	0.0937883
a7	0.137083	0.225481	0.212055	0.224036	0.201345
a15	0.118514	0.165827	0.226008	0.223274	0.266376
a7	0.0923254	0.147391	0.216945	0.221626	0.321713
a15	0.0948472	0.112018	0.199745	0.215855	0.377534
a47	0.0469198	0.0802502	0.150525	0.196403	0.525902
a6	0.0512763	0.0920303	0.124004	0.159378	0.573312
a36	0.0504755	0.108125	0.151611	0.184565	0.505224
a2	0.0272049	0.0537607	0.0952947	0.155038	0.668702
a11	0.00734583	0.014099	0.0340102	0.104458	0.840087
a62	0.00774457	0.0173979	0.0421762	0.114696	0.817985
a88	0.00821169	0.0243742	0.0631799	0.169614	0.734621
a71	0.00549384	0.0138336	0.0397492	0.129757	0.811166
a9	0.0120467	0.0262997	0.0618758	0.161292	0.738485
a87	0.10134	0.11914	0.159854	0.199461	0.420205
a23	0.477068	0.202115	0.141074	0.0995732	0.0801694
a87	0.249116	0.157984	0.136581	0.143311	0.313008
a97	0.0763199	0.083499	0.106757	0.143414	0.59001
</S>	0.0579525	0.0643387	0.093853	0.152709	0.631147
