 	il	se	mit	d'	accord	avec	lui	</S>
a23	0.249861	0.181224	0.0943754	0.0539455	0.0584894	0.0826207	0.127674	0.15181
a79	0.434128	0.23304	0.0891278	0.0548716	0.0333784	0.046625	0.0498908	0.0589386
a20	0.350131	0.248541	0.115286	0.0781049	0.0423193	0.049426	0.0497331	0.0664584
a58	0.358158	0.276112	0.139705	0.0868183	0.0476421	0.0366006	0.0288756	0.0260876
a53	0.351835	0.270404	0.171278	0.0948978	0.0457512	0.0290913	0.0191916	0.0175516
a15	0.266266	0.223773	0.18335	0.114606	0.0733206	0.0599414	0.0410157	0.0377275
a69	0.190396	0.172926	0.152561	0.122493	0.10222	0.103476	0.0799365	0.075991
a44	0.142896	0.156545	0.153361	0.125654	0.101654	0.118325	0.0993347	0.10223
a54	0.0742414	0.0799494	0.0888244	0.114112	0.133326	0.184031	0.162332	0.163183
a79	0.0707308	0.0692121	0.0675751	0.0985242	0.142932	0.19758	0.181037	0.172408
a44	0.0683452	0.0677456	0.0681926	0.103343	0.145912	0.198973	0.182516	0.164973
a94	0.0392428	0.0402454	0.0435572	0.0714535	0.118621	0.221202	0.231916	0.233762
a54	0.0522023	0.050926	0.0416742	0.0512791	0.0761313	0.170798	0.247837	0.309152
a73	0.0586236	0.0498058	0.0372685	0.0556555	0.0743694	0.14469	0.242744	0.336843
a69	0.0399872	0.0372113	0.0347899	0.0697005	0.100164	0.170663	0.245308	0.302176
a20	0.0400523	0.0416131	0.034514	0.0570915	0.0699244	0.149506	0.247589	0.35971
a84	0.0534593	0.0444584	0.0304584	0.0604599	0.0784383	0.136872	0.227164	0.36869
a87	0.0087615	0.00800811	0.00544913	0.0158075	0.0254626	0.079907	0.224904	0.631701
</S>	0.0143855	0.0144281	0.0091133	0.0211841	0.0327271	0.104251	0.255666	0.548245
