 	comment	appelle-t-on	cette	maladie	</S>
a30	0.408234	0.352418	0.10357	0.0569997	0.0787777
a14	0.392157	0.245792	0.157396	0.0963515	0.108303
a35	0.501147	0.23735	0.125848	0.0753489	0.0603058
a66	0.445045	0.300153	0.139137	0.0802807	0.0353844
a38	0.418182	0.28406	0.146477	0.0946028	0.0566781
a41	0.254203	0.240392	0.20315	0.17576	0.126495
a14	0.324567	0.202363	0.206463	0.171867	0.0947405
a30	0.304698	0.194972	0.247422	0.168518	0.0843902
a94	0.120138	0.128128	0.325162	0.271532	0.15504
a35	0.0945126	0.100458	0.281205	0.324818	0.199006
a75	0.0733976	0.0883227	0.239379	0.339932	0.258969
a14	0.0755637	0.0747749	0.16844	0.294901	0.386321
a41	0.0419585	0.0451078	0.120808	0.294421	0.497705
a24	0.0139977	0.0186065	0.0627647	0.243377	0.661254
a41	0.0104485	0.0229866	0.0465033	0.205674	0.714387
a35	0.00708566	0.0112734	0.0390327	0.217947	0.724662
a98	0.0104622	0.0144458	0.0417624	0.205474	0.727855
a66	0.00928757	0.0110744	0.0376416	0.199019	0.742978
a62	0.0282301	0.0216121	0.0684006	0.226025	0.655733
a83	0.0283063	0.0270154	0.0440113	0.163915	0.736752
a9	0.0401632	0.0509351	0.0676399	0.194671	0.64659
a87	0.0802896	0.065792	0.0813783	0.185054	0.587486
</S>	0.0794972	0.0341808	0.0475201	0.157463	0.681339
