 	auparavant	on	cultivait	ici	du	riz	maintenant	on	ne	cultive	que	le	manioc	</S>
a23	0.322042	0.212629	0.134189	0.0496574	0.0825087	0.0386925	0.0298411	0.0222455	0.0184501	0.0144296	0.0160069	0.0165133	0.0194285	0.0233663
a87	0.244287	0.14209	0.121718	0.0608258	0.0612374	0.0392139	0.0355373	0.037788	0.0368371	0.0343791	0.040301	0.0417779	0.0470014	0.0570054
a79	0.100421	0.0894717	0.113813	0.100961	0.0767239	0.0540741	0.0483487	0.051969	0.0531143	0.0558097	0.0594282	0.0587516	0.0605795	0.0765354
a4	0.250832	0.118577	0.139504	0.103572	0.0516713	0.0467758	0.0376664	0.0352825	0.0293538	0.027704	0.0284213	0.030484	0.0407186	0.059437
a57	0.299227	0.189795	0.243512	0.0892169	0.0541691	0.0371486	0.0230784	0.0168698	0.0110392	0.00822481	0.00662093	0.00631887	0.00692939	0.00785028
a53	0.166554	0.160116	0.239493	0.131704	0.0843563	0.060027	0.0411604	0.0309513	0.0227836	0.0176934	0.013525	0.0108353	0.0102254	0.0105751
a90	0.065384	0.0938092	0.121766	0.131952	0.120115	0.117272	0.0881294	0.0711077	0.0535032	0.0371564	0.0286874	0.0243315	0.023022	0.0237637
a32	0.0862014	0.104797	0.120723	0.130074	0.122911	0.114193	0.0865187	0.0676945	0.0476504	0.0309155	0.0245535	0.0213969	0.0209886	0.0213825
a90	0.0919386	0.10779	0.145269	0.137865	0.123696	0.0993876	0.0729103	0.0563018	0.0408247	0.0296175	0.0247356	0.022337	0.0234856	0.0238407
a20	0.0578511	0.0730236	0.0948564	0.118973	0.107853	0.108051	0.0931558	0.0798463	0.0652903	0.0484372	0.0408469	0.0360394	0.0373899	0.0383861
a84	0.0600714	0.0776862	0.103116	0.121221	0.119295	0.118293	0.0997444	0.0812932	0.0585906	0.0395678	0.0310614	0.0276452	0.0300184	0.0323971
a40	0.0713405	0.10522	0.138814	0.125289	0.111555	0.0946138	0.0798258	0.0661493	0.0526487	0.0372844	0.0287653	0.0246727	0.0295521	0.0342692
a73	0.0388851	0.0795514	0.112665	0.124268	0.129277	0.12075	0.092171	0.0856109	0.0635981	0.0433559	0.0300038	0.0254242	0.0263967	0.0280434
a44	0.0683786	0.0997634	0.12014	0.118571	0.115977	0.104088	0.0843331	0.0769488	0.059629	0.0429875	0.0329064	0.026148	0.0246908	0.0254384
a58	0.0386675	0.0748895	0.103996	0.120036	0.114465	0.109898	0.0956887	0.0853609	0.0700386	0.0534353	0.0407647	0.0317584	0.030281	0.0307206
a54	0.0349973	0.0612916	0.0861864	0.109829	0.0993379	0.0983728	0.0961091	0.0880018	0.0810772	0.0655318	0.0504707	0.0396575	0.0426351	0.0465022
a73	0.0247851	0.0484585	0.0641672	0.0865308	0.0915937	0.100327	0.0974779	0.091584	0.0849931	0.0775197	0.0637064	0.0542249	0.055939	0.0586929
a57	0.0414394	0.0618733	0.0666825	0.0901529	0.0935381	0.0967265	0.0922315	0.086526	0.0790529	0.0704048	0.0618198	0.0519927	0.052156	0.0554035
a20	0.0200837	0.0357851	0.0566638	0.102417	0.0931769	0.104771	0.107447	0.103795	0.0949768	0.0768199	0.0576676	0.045341	0.047909	0.0531459
a73	0.0417234	0.0550917	0.0591174	0.081084	0.0882189	0.101824	0.105378	0.0961976	0.0839174	0.0724356	0.0613185	0.0502431	0.0498431	0.0536078
a94	0.0431658	0.0545208	0.0601004	0.079207	0.0884068	0.0889746	0.0842042	0.0851754	0.0761898	0.0707152	0.0689384	0.0643099	0.0660916	0.0700001
a32	0.0342279	0.0425642	0.0518759	0.0776791	0.0873504	0.0935568	0.0948097	0.089104	0.0809992	0.0758628	0.0721989	0.0644167	0.0666734	0.0686809
a90	0.0277839	0.0348692	0.05107	0.101388	0.104869	0.101841	0.0955711	0.0888906	0.0791867	0.0727574	0.0659526	0.056262	0.0583828	0.0611764
a98	0.040444	0.0494535	0.0624234	0.0727607	0.07495	0.0825355	0.0882756	0.0855548	0.0786701	0.074115	0.071022	0.0657445	0.0733685	0.0806822
a15	0.0454867	0.0511353	0.0575203	0.0528462	0.0624583	0.0730292	0.0835418	0.0825375	0.0790519	0.0777999	0.0781168	0.0772195	0.0849031	0.0943534
a44	0.0291158	0.035406	0.0469664	0.0568612	0.0647918	0.0814749	0.0937789	0.0944214	0.0883393	0.0801112	0.0764123	0.0741258	0.0833163	0.0948785
a69	0.0293269	0.0360483	0.0531765	0.0598763	0.0559593	0.0669236	0.0833342	0.0904321	0.0910158	0.084758	0.0790359	0.0785456	0.0892602	0.102307
a32	0.0276725	0.0397594	0.0621525	0.0587223	0.0557917	0.0637839	0.0763175	0.085493	0.088714	0.0855701	0.0788395	0.0818706	0.0926416	0.102671
a90	0.0156858	0.0232107	0.0386779	0.0488108	0.0569924	0.0655454	0.0776774	0.0863665	0.090637	0.0937255	0.0862596	0.0892942	0.107099	0.120018
a69	0.0253372	0.0374287	0.0693931	0.0732124	0.0672143	0.071704	0.0809574	0.0878802	0.0859119	0.0803073	0.0707882	0.0701583	0.0843738	0.0953332
a53	0.0283393	0.0382044	0.0674391	0.071083	0.0696594	0.0658095	0.0700324	0.0793943	0.0840569	0.0803466	0.0738533	0.0771251	0.0914147	0.103242
a20	0.0210614	0.0283424	0.0522383	0.066773	0.0597446	0.0601363	0.0700276	0.0806195	0.089918	0.0868613	0.0820584	0.083343	0.101658	0.117218
a84	0.0307038	0.0297669	0.0450223	0.0597568	0.0492781	0.0478483	0.0533914	0.0575629	0.0694458	0.0765694	0.0899519	0.100754	0.131492	0.158457
a87	0.0149506	0.0258384	0.041518	0.0437168	0.046344	0.0553783	0.0599696	0.0815829	0.0961993	0.0906035	0.0803883	0.0824239	0.113943	0.167143
a23	0.0109447	0.0108489	0.0127589	0.0158797	0.0162638	0.0268794	0.0324496	0.0475647	0.0580369	0.0661484	0.0830368	0.113292	0.193609	0.312287
a40	0.00775433	0.00667542	0.00915033	0.0144026	0.0151026	0.023359	0.0293641	0.0369519	0.0447138	0.0524668	0.0783573	0.118791	0.21799	0.344921
a73	0.0235514	0.0295919	0.0541551	0.0533705	0.055909	0.0583831	0.0579683	0.064586	0.0606529	0.0630647	0.0584355	0.067815	0.127965	0.224552
a15	0.0108015	0.0169215	0.0288824	0.0509991	0.0603193	0.078232	0.0765141	0.0881275	0.0774923	0.0682599	0.0647451	0.0699433	0.116042	0.19272
a44	0.0103749	0.0176254	0.0295771	0.0513759	0.0635436	0.0870846	0.0828466	0.0949708	0.081394	0.0688042	0.0634213	0.0688834	0.109796	0.170302
a58	0.0085004	0.0135808	0.0240504	0.0390116	0.0464287	0.0646563	0.0784742	0.0935099	0.0953382	0.088268	0.0777752	0.0771425	0.116109	0.177155
a11	0.00409704	0.00740578	0.0137631	0.0242005	0.0246374	0.0373662	0.0547837	0.0736778	0.0886372	0.0934259	0.0909855	0.0953212	0.150669	0.24103
a93	0.00418065	0.00694341	0.0130848	0.0242299	0.024406	0.0375436	0.0573375	0.0750505	0.0906298	0.0980827	0.0998112	0.100883	0.14779	0.220026
a4	0.00560406	0.00790367	0.0145346	0.0258979	0.0284083	0.0429955	0.065114	0.0851458	0.102783	0.111529	0.108239	0.100415	0.128025	0.173405
a53	0.0104741	0.0120755	0.0211716	0.0350225	0.0344599	0.0451322	0.0646016	0.0782072	0.0989694	0.10656	0.106046	0.0966311	0.123387	0.167262
a15	0.0118492	0.0137803	0.0220553	0.0344431	0.0374616	0.0462715	0.0625898	0.0806975	0.0999496	0.100239	0.100505	0.0946768	0.122523	0.172959
a73	0.0132137	0.0150232	0.0236934	0.037205	0.0418425	0.0467774	0.0561997	0.070881	0.0894453	0.0902045	0.0899822	0.092497	0.135648	0.197387
a84	0.0118545	0.0143694	0.0223569	0.0341919	0.0347477	0.0380391	0.0420441	0.050839	0.0632336	0.0682323	0.0774894	0.093438	0.168215	0.280949
a87	0.00533291	0.00747399	0.0103331	0.0133901	0.011363	0.0182458	0.0208105	0.0290419	0.041159	0.0523631	0.0741719	0.104033	0.216844	0.395437
a23	0.00411611	0.00280552	0.0024827	0.00431112	0.00298918	0.00558475	0.00922316	0.013112	0.0204573	0.0346344	0.0715211	0.134047	0.264303	0.430413
