 	nzila	a	transporté	les	noix	de	palme	dans	un	panier	vétuste	</S>
a66	0.124084	0.144614	0.155724	0.117459	0.103752	0.0731304	0.0802309	0.070408	0.0559025	0.0318236	0.0274057	0.015466
a87	0.283601	0.291032	0.193949	0.086483	0.0360453	0.0187784	0.0185153	0.0170801	0.0151352	0.0151286	0.0142082	0.0100431
a23	0.344868	0.225941	0.172525	0.0715357	0.058558	0.0422816	0.0275329	0.0207697	0.0144458	0.00897852	0.00643805	0.00612594
a99	0.356145	0.216393	0.157787	0.0632078	0.0477302	0.0343791	0.0258074	0.0224091	0.0190117	0.0208918	0.0185804	0.0176577
a24	0.352679	0.208829	0.129208	0.0721672	0.0567266	0.0494257	0.0311058	0.0246381	0.0205363	0.0203618	0.0176677	0.0166543
a62	0.168748	0.11967	0.117071	0.121215	0.143969	0.105576	0.0734057	0.0554164	0.0364018	0.0278391	0.0182954	0.0123916
a31	0.119865	0.10937	0.109651	0.148278	0.190462	0.123362	0.078865	0.0553453	0.0323491	0.0188312	0.00884878	0.00477338
a21	0.0946845	0.110395	0.122089	0.154662	0.17581	0.13761	0.0938247	0.0603561	0.0261705	0.0123571	0.00680331	0.00523791
a5	0.0430859	0.054672	0.0757375	0.119371	0.172062	0.17122	0.158453	0.122341	0.0476468	0.0175137	0.00971394	0.00818247
a21	0.0348545	0.0466884	0.0680184	0.10223	0.146035	0.156614	0.164622	0.150952	0.0671703	0.0289283	0.0175863	0.0163
a12	0.0375898	0.0449214	0.0772944	0.114942	0.152568	0.154684	0.157167	0.133776	0.0595129	0.0295171	0.0210382	0.0169891
a96	0.0282062	0.029904	0.0557997	0.0956613	0.139792	0.16453	0.180179	0.142109	0.0652452	0.035887	0.0322909	0.0303959
a61	0.0279151	0.0236386	0.0431532	0.0802119	0.110279	0.157918	0.193603	0.161296	0.0762051	0.0445293	0.0379947	0.0432557
a21	0.0262046	0.0207222	0.0366377	0.0681778	0.0977885	0.143844	0.192796	0.165419	0.101341	0.0596978	0.0448259	0.042545
a5	0.0236213	0.0194096	0.0309884	0.0480766	0.0665572	0.0962306	0.143359	0.127696	0.126979	0.120848	0.100847	0.0953869
a21	0.0189942	0.0108977	0.0152616	0.0258557	0.0337012	0.0505575	0.0860766	0.108537	0.145346	0.167094	0.166783	0.170896
a5	0.00996192	0.00607787	0.00797165	0.0109403	0.014426	0.0184938	0.0341238	0.0590691	0.143023	0.2345	0.23315	0.228263
a18	0.0108753	0.0051559	0.00604478	0.00840371	0.00868077	0.0132704	0.0213393	0.0404344	0.114184	0.215897	0.294049	0.261665
a75	0.0236832	0.00818837	0.00603269	0.00568971	0.00466639	0.00598026	0.00622875	0.00891456	0.027613	0.0707294	0.286622	0.545651
a5	0.00084882	0.000324525	0.000400572	0.000549876	0.000669389	0.000846296	0.00172287	0.00469588	0.0283438	0.139072	0.322474	0.500052
a37	0.00220564	0.00064821	0.000635045	0.000837596	0.000868296	0.00119843	0.00225556	0.00624248	0.0295198	0.096088	0.307762	0.551739
a79	0.00307246	0.00121189	0.000887232	0.000840222	0.000722992	0.000878572	0.00126198	0.00309155	0.013085	0.0464723	0.236281	0.692195
a7	0.000628555	0.000175238	0.000109761	0.000131042	0.000137211	0.000230326	0.000571496	0.00232404	0.0139341	0.0484025	0.218301	0.715055
a84	0.00195508	0.00105847	0.000656375	0.000486662	0.00033052	0.000474279	0.000815864	0.00236689	0.0108175	0.0461708	0.245544	0.689323
a57	0.0870693	0.0441816	0.0244767	0.0209833	0.0146791	0.0244737	0.0238751	0.0251562	0.0315194	0.0530354	0.168928	0.481622
a87	0.238103	0.107896	0.0610163	0.0474485	0.0448592	0.055376	0.0502038	0.0367415	0.0332412	0.0362706	0.086899	0.201945
a23	0.274856	0.172076	0.10457	0.0649424	0.0402996	0.0423234	0.0461995	0.0392075	0.0307601	0.0293114	0.060488	0.094967
a87	0.14549	0.0612111	0.0221868	0.0120384	0.00752506	0.00717215	0.00975246	0.0110489	0.0223028	0.0591986	0.144504	0.49757
a97	0.0213577	0.00874168	0.00396657	0.00272747	0.00243297	0.00297274	0.00454838	0.00770332	0.0235573	0.074313	0.189178	0.658501
</S>	0.049613	0.0276774	0.0164392	0.0111676	0.00999905	0.0135449	0.0268745	0.0421759	0.0551957	0.0899919	0.171564	0.485757
