 	il	a	des	gestes	brusques	</S>
a23	0.488352	0.298037	0.107946	0.0537303	0.0282877	0.0236477
a85	0.529611	0.308516	0.087445	0.030125	0.0225318	0.021771
a87	0.35394	0.340907	0.171481	0.0534948	0.0339078	0.0462694
a23	0.351514	0.309761	0.167335	0.0527446	0.0479304	0.0707154
a20	0.327929	0.281959	0.162716	0.0561602	0.068094	0.103142
a30	0.402734	0.313374	0.133243	0.0671449	0.0535759	0.0299283
a11	0.294672	0.366672	0.26097	0.0511935	0.0185864	0.0079059
a26	0.22571	0.270436	0.266852	0.132336	0.0656952	0.0389697
a14	0.206908	0.223287	0.229231	0.181531	0.0918425	0.0672003
a73	0.197426	0.220273	0.202719	0.187995	0.109771	0.0818158
a11	0.114554	0.156185	0.194271	0.258287	0.153051	0.123653
a75	0.0846763	0.120058	0.170988	0.254941	0.189052	0.180284
a14	0.07711	0.0862362	0.0995772	0.21937	0.254966	0.262741
a30	0.0624442	0.0980284	0.136853	0.242515	0.247398	0.212761
a2	0.038471	0.0682857	0.114371	0.21356	0.284358	0.280955
a57	0.00677873	0.0147854	0.0433256	0.175272	0.282271	0.477567
a87	0.00663697	0.0115086	0.0277047	0.128818	0.2265	0.598832
</S>	0.0169215	0.0334121	0.0719161	0.203533	0.286584	0.387633
