 	on	ne	venge	plus	les	morts	par	des	fétiches	dans	notre	famille	</S>
a66	0.193446	0.16989	0.0880388	0.0961029	0.157722	0.163724	0.0584194	0.0300892	0.0130426	0.00839172	0.00734039	0.00699501	0.00679731
a87	0.439811	0.211207	0.0405783	0.0230249	0.0295028	0.0396617	0.0258151	0.0248113	0.0268116	0.0307822	0.0328461	0.0394104	0.0357377
a23	0.286512	0.229527	0.0986229	0.066677	0.068002	0.0454113	0.0229544	0.0235422	0.0310812	0.0275619	0.028478	0.036607	0.0350229
a97	0.224447	0.262888	0.17946	0.0929876	0.0455722	0.0243716	0.0188669	0.0187681	0.023561	0.023165	0.0233801	0.0317404	0.0307919
a10	0.205734	0.265252	0.203505	0.0896464	0.0530541	0.0281148	0.0226613	0.0224192	0.0258861	0.0230618	0.0201081	0.0214139	0.0191432
a99	0.176652	0.22347	0.229308	0.080035	0.0538976	0.0370263	0.0291388	0.0285693	0.0355785	0.0333807	0.0284727	0.0262511	0.0182208
a87	0.176142	0.211071	0.241827	0.0785825	0.0440491	0.0283251	0.0242161	0.0258676	0.0376939	0.0399908	0.0359548	0.0339593	0.0223207
a97	0.196305	0.206322	0.182593	0.0593107	0.0385044	0.033105	0.0350324	0.0368446	0.0459185	0.0462611	0.0429304	0.0446863	0.0321871
a83	0.174996	0.209251	0.201354	0.0765009	0.0428564	0.0343342	0.0352021	0.0369382	0.0473575	0.0435067	0.0368836	0.0369267	0.0238935
a21	0.208448	0.211673	0.232355	0.146794	0.0679199	0.0233633	0.0154327	0.0139253	0.0157257	0.0178365	0.0167682	0.0163596	0.0133985
a5	0.216367	0.185058	0.252524	0.167334	0.0823319	0.0230686	0.0124202	0.00927882	0.00900155	0.0106289	0.0111431	0.0105728	0.0102716
a12	0.192998	0.157605	0.237034	0.188185	0.0835951	0.028706	0.0188874	0.0154368	0.0147856	0.0158946	0.0161482	0.0147543	0.0159689
a43	0.150784	0.120002	0.213129	0.230551	0.125605	0.0443075	0.0255707	0.018737	0.0155808	0.0146059	0.0143019	0.0125274	0.0142988
a75	0.0958842	0.0815741	0.1978	0.260651	0.149855	0.0526653	0.0311785	0.0249769	0.0219841	0.0206524	0.0209688	0.0189832	0.0228256
a5	0.0445493	0.0470763	0.11684	0.303473	0.188653	0.0860833	0.0554975	0.0356028	0.0227589	0.0224513	0.0238854	0.0239086	0.0292204
a37	0.0592266	0.0617627	0.104131	0.295606	0.194497	0.0887254	0.0530192	0.0316753	0.0190995	0.0185171	0.0212242	0.0236231	0.0288939
a34	0.0502492	0.0542342	0.0789656	0.269551	0.201496	0.100046	0.0616494	0.0392487	0.02529	0.0242747	0.0273929	0.0311048	0.0364977
a21	0.0403141	0.0428425	0.064435	0.251006	0.21483	0.117314	0.0683292	0.0441232	0.0282973	0.0262852	0.0292319	0.0332071	0.0397846
a5	0.0226189	0.0234893	0.0343598	0.168537	0.202704	0.142252	0.083872	0.0600341	0.0464829	0.0447736	0.0496673	0.0558143	0.0653945
a61	0.0123827	0.0121155	0.0201353	0.134984	0.189821	0.145434	0.100337	0.0783769	0.0604046	0.0556259	0.0576254	0.0622933	0.0704651
