 	dans	ce	village	de	nombreuses	personnes	sont	des	sorciers	</S>
a66	0.250109	0.159412	0.109351	0.095865	0.0953826	0.114059	0.102486	0.0459108	0.0165813	0.0108439
a87	0.255167	0.156107	0.0933677	0.0911228	0.0880291	0.0915878	0.100553	0.0610881	0.0279023	0.035075
a23	0.200518	0.171876	0.162911	0.190323	0.131944	0.0728433	0.0256866	0.0157086	0.0104295	0.0177599
a10	0.117545	0.117428	0.135202	0.214088	0.22607	0.126706	0.0246558	0.0112295	0.00979984	0.017276
a54	0.134013	0.120762	0.136254	0.195076	0.213429	0.100435	0.0248764	0.0183564	0.0218144	0.0349828
a7	0.131142	0.126308	0.12886	0.143384	0.163168	0.136765	0.0569061	0.0403439	0.0357898	0.0373323
a53	0.0964461	0.111342	0.132008	0.150309	0.216379	0.158995	0.0459115	0.0281486	0.0274212	0.0330391
a93	0.109542	0.127733	0.146975	0.187514	0.230248	0.125019	0.0352347	0.0146849	0.0105603	0.0124885
a12	0.0960146	0.123246	0.15204	0.200852	0.221092	0.126448	0.0392349	0.0165207	0.0114389	0.0131113
a21	0.112763	0.124204	0.138202	0.183004	0.221227	0.125804	0.0436151	0.0188555	0.0143427	0.017983
a12	0.125981	0.124902	0.121118	0.154124	0.197634	0.141829	0.0645789	0.028642	0.0185731	0.0226195
a96	0.0956101	0.0991371	0.107337	0.131303	0.190242	0.155847	0.0972946	0.0479734	0.0330911	0.0421654
a98	0.0461266	0.0538597	0.0845714	0.109665	0.193814	0.185576	0.143941	0.0658283	0.048547	0.0680699
a6	0.0212811	0.0275701	0.0454006	0.0620261	0.0913935	0.133305	0.172686	0.147005	0.131397	0.167936
a85	0.0214731	0.0246932	0.0424937	0.0516692	0.0782905	0.116071	0.191053	0.166765	0.141535	0.165957
a5	0.0133127	0.0160012	0.0291535	0.0377328	0.0567725	0.0913602	0.16192	0.186116	0.195918	0.211713
a61	0.0209712	0.019929	0.0325201	0.0426853	0.0644015	0.105717	0.171058	0.206909	0.159777	0.176031
a21	0.014878	0.0128788	0.0181005	0.022915	0.036809	0.0582989	0.126433	0.193563	0.211933	0.304191
a85	0.00855713	0.00742164	0.00935196	0.0110356	0.0164776	0.0269072	0.0783254	0.177161	0.275982	0.38878
a6	0.00207885	0.00206536	0.00385192	0.00521092	0.00721786	0.0104974	0.0363977	0.11987	0.303312	0.509497
a85	0.000905337	0.000854877	0.0014638	0.00179735	0.00241446	0.00324274	0.0132878	0.0670249	0.253808	0.655201
a47	0.000586869	0.000530115	0.000857118	0.00104513	0.00123573	0.00133512	0.00613636	0.044532	0.241372	0.702369
a6	0.000792567	0.000688736	0.000963773	0.00112448	0.00139563	0.0016893	0.00980476	0.0535979	0.227785	0.702157
a37	0.000997859	0.000886383	0.0012212	0.00135328	0.00157732	0.00179115	0.00880811	0.0503635	0.227519	0.705482
a44	0.00167057	0.00138337	0.00148929	0.00149484	0.00176713	0.00216199	0.00952117	0.0495768	0.224988	0.705946
a57	0.00175392	0.00147615	0.00153699	0.00155782	0.0022483	0.00297423	0.0139721	0.0666232	0.245335	0.662522
a3	0.0259164	0.0203526	0.0168285	0.0142268	0.0149401	0.0103325	0.0262512	0.0810757	0.260119	0.529957
a97	0.120063	0.0733162	0.054364	0.0410409	0.0368573	0.0232597	0.0442842	0.0917381	0.19509	0.319987
a87	0.184728	0.110213	0.0721624	0.058457	0.0493558	0.0348583	0.0443315	0.0743425	0.145771	0.22578
a23	0.152593	0.105018	0.0784978	0.0675367	0.0567382	0.0438557	0.0611953	0.0904485	0.149858	0.194258
a87	0.0472122	0.0335732	0.0307961	0.031563	0.0267433	0.0225604	0.0453821	0.101372	0.213851	0.446947
</S>	0.0194914	0.0160533	0.0185381	0.0218172	0.0193067	0.0171122	0.0351924	0.0869277	0.224968	0.540593
