 	la	machette	doit	être	tranchanteookoo	</S>
a66	0.540773	0.281605	0.102338	0.0354159	0.0173296	0.0225392
a87	0.499766	0.201425	0.138348	0.0672298	0.0443308	0.0489002
a23	0.579586	0.179898	0.100063	0.0374556	0.0402149	0.0627821
a79	0.338303	0.108706	0.084868	0.0663693	0.182646	0.219107
a58	0.568492	0.152553	0.113646	0.0671236	0.0513848	0.0468001
a15	0.330629	0.27418	0.21299	0.112418	0.0401077	0.0296751
a92	0.182876	0.239767	0.27699	0.198139	0.0592458	0.0429825
a36	0.130213	0.213387	0.309573	0.255456	0.0562109	0.0351598
a93	0.0877763	0.142659	0.217445	0.255719	0.165721	0.130679
a4	0.077541	0.113037	0.140772	0.193653	0.20869	0.266307
a96	0.0367647	0.0599845	0.0837754	0.149224	0.212588	0.457664
a5	0.0102684	0.0182159	0.026101	0.0796948	0.166046	0.699674
a37	0.00454832	0.0108616	0.016825	0.0513526	0.149494	0.766919
a44	0.00218107	0.00408493	0.00542765	0.0152081	0.106744	0.866354
a57	0.00403785	0.00799082	0.00995038	0.028051	0.160649	0.789321
a82	0.00478384	0.0048302	0.00611343	0.0177017	0.116089	0.850482
a3	0.276723	0.127116	0.081173	0.0606367	0.0955793	0.358772
a87	0.377921	0.222722	0.145805	0.089441	0.0647003	0.0994108
</S>	0.32773	0.198846	0.136387	0.0950077	0.0891983	0.15283
