 	celles-ci	sont	des	feuilles	de	manguier	celles-là	sont	du	safoutier	</S>
a66	0.160252	0.163748	0.146464	0.125501	0.105505	0.0762914	0.0788143	0.0577532	0.0354455	0.0274244	0.0228011
a87	0.32823	0.223516	0.125862	0.0499586	0.0429889	0.0423327	0.0745002	0.0383594	0.0239902	0.0260339	0.0242278
a23	0.355143	0.224437	0.144818	0.0656907	0.0557269	0.0505198	0.0664278	0.0174435	0.00644019	0.0063523	0.00700139
a18	0.338454	0.165428	0.0994718	0.0653105	0.0791291	0.0880695	0.0829869	0.025151	0.0157279	0.0190043	0.0212667
a50	0.309168	0.143579	0.0870811	0.0555201	0.0641754	0.065824	0.0830237	0.0386695	0.0398519	0.052164	0.0609436
a98	0.339334	0.177912	0.126998	0.0916823	0.0792887	0.0417654	0.0359312	0.0203325	0.0202136	0.027273	0.0392694
a18	0.285093	0.174581	0.145316	0.11946	0.104767	0.0543427	0.0369299	0.0169097	0.0151672	0.0185946	0.0288387
a54	0.141375	0.10154	0.102395	0.113706	0.13125	0.112186	0.089672	0.0464154	0.0394323	0.048891	0.073138
a56	0.106584	0.0946888	0.10903	0.126351	0.144401	0.131042	0.100452	0.0478781	0.0375037	0.044115	0.0579555
a43	0.0838023	0.0924977	0.109444	0.136144	0.153943	0.160138	0.100002	0.0466845	0.0335518	0.0376113	0.0461819
a11	0.0695163	0.0728792	0.0893497	0.123091	0.148147	0.17383	0.114047	0.0556357	0.0409371	0.0473328	0.0652336
a90	0.0629002	0.0620808	0.0719969	0.107795	0.138257	0.18179	0.12726	0.06517	0.0499053	0.0564047	0.07644
a15	0.0624402	0.0673255	0.0817886	0.120554	0.153834	0.185643	0.138079	0.0624768	0.03789	0.0395605	0.0504086
a90	0.063319	0.0722675	0.0915824	0.129587	0.162273	0.182495	0.133432	0.0526575	0.0305147	0.0339216	0.047951
a93	0.0342057	0.0400857	0.0538949	0.0905424	0.130448	0.20209	0.174507	0.0871205	0.0555818	0.0563298	0.0751943
a4	0.0229151	0.0267359	0.0377541	0.0785231	0.130365	0.209162	0.181519	0.0970514	0.0592446	0.0607111	0.0960194
a15	0.0142071	0.0155385	0.0231494	0.0559801	0.110683	0.209047	0.211821	0.116978	0.0681823	0.0666061	0.107808
a56	0.0212388	0.0209672	0.0350241	0.0773226	0.141397	0.238505	0.224794	0.0809248	0.0477238	0.046044	0.0660584
a44	0.00795829	0.00791033	0.0119039	0.0306815	0.0747268	0.214886	0.239264	0.125067	0.0903774	0.0810991	0.116125
a50	0.00683311	0.00646085	0.0094326	0.0228194	0.0562643	0.177296	0.217603	0.128345	0.113397	0.111324	0.150224
a98	0.0076114	0.00690365	0.00888496	0.0164979	0.0343474	0.117636	0.186956	0.121545	0.112748	0.132594	0.254275
a13	0.00492854	0.0041843	0.00572043	0.0117704	0.0275253	0.100946	0.162828	0.109806	0.128261	0.164419	0.279611
a71	0.00413511	0.00362554	0.00476659	0.00853374	0.0171455	0.0674441	0.123247	0.089053	0.122835	0.194806	0.364409
a3	0.00558916	0.00449203	0.0050464	0.00769468	0.0128884	0.0418218	0.0831466	0.077818	0.1377	0.256727	0.367076
a87	0.0240039	0.0187334	0.0176643	0.0225111	0.0301826	0.0669961	0.10446	0.0746029	0.144537	0.249519	0.246791
a23	0.110447	0.0962133	0.104667	0.104775	0.100916	0.111882	0.113244	0.0517968	0.0634493	0.0809023	0.0617073
a18	0.175747	0.10857	0.0926962	0.0692922	0.0591723	0.050413	0.0586047	0.0399416	0.069196	0.119059	0.157307
a83	0.0575971	0.0412921	0.040733	0.0395012	0.0408694	0.0550476	0.0780933	0.0504825	0.0973057	0.194342	0.304736
a50	0.0101935	0.0072785	0.00837281	0.0111865	0.0162988	0.0448901	0.0962011	0.0745902	0.133601	0.233387	0.364
a90	0.00892663	0.00602589	0.00662636	0.00976457	0.0166452	0.052004	0.113487	0.0876612	0.14208	0.224117	0.332663
a94	0.00484235	0.00344834	0.00414052	0.00662122	0.0132662	0.0588081	0.105835	0.08357	0.139529	0.236449	0.34349
a11	0.00292977	0.00200406	0.00237009	0.00347387	0.0068986	0.0363106	0.0799931	0.0706976	0.14133	0.263844	0.390149
a20	0.00307795	0.00227958	0.00259066	0.00325519	0.00529529	0.0218623	0.0640341	0.0615931	0.138307	0.278651	0.419053
a7	0.00282352	0.00219572	0.00283793	0.00481923	0.00905149	0.0306294	0.0464708	0.0254682	0.0682412	0.22644	0.581023
a84	0.00103558	0.000837892	0.00101469	0.00137392	0.00243852	0.00885365	0.0245369	0.024777	0.0890459	0.276927	0.569159
a57	0.00300824	0.00245516	0.00272723	0.00317822	0.00458132	0.0106628	0.0268671	0.022157	0.0868164	0.274182	0.563365
a87	0.0270843	0.0208213	0.0194149	0.0184692	0.0211306	0.0322465	0.0484471	0.0332669	0.102187	0.241725	0.435207
</S>	0.13405	0.111456	0.102238	0.0865902	0.0691199	0.0586658	0.0615032	0.0286922	0.0577458	0.116374	0.173566
