 	le	chasseur	a	dépouillé	la	gazelle	</S>
a23	0.398325	0.195126	0.129872	0.116868	0.0847519	0.044566	0.0304904
a10	0.308881	0.219332	0.166988	0.120014	0.0743729	0.0475211	0.0628906
a87	0.295048	0.237071	0.163412	0.112667	0.0603374	0.039961	0.0915032
a99	0.321262	0.244625	0.146448	0.0827015	0.0496375	0.0412668	0.114059
a30	0.32017	0.243878	0.130791	0.0733973	0.0604292	0.0565424	0.114792
a93	0.286004	0.234214	0.130513	0.0818439	0.0717868	0.0728898	0.122748
a13	0.424861	0.305394	0.141608	0.0584777	0.0292285	0.01914	0.0212906
a75	0.40532	0.315542	0.170422	0.0618659	0.0223083	0.0117465	0.0127958
a61	0.330992	0.276109	0.167712	0.0902049	0.0561501	0.0380349	0.0407981
a75	0.306956	0.297875	0.192961	0.102585	0.0468887	0.0267762	0.0259573
a41	0.262015	0.24287	0.158682	0.115173	0.0934969	0.0683859	0.0593777
a7	0.227803	0.220284	0.164704	0.12866	0.102922	0.080658	0.0749683
a54	0.148675	0.210816	0.210054	0.20604	0.117228	0.0563714	0.0508156
a85	0.0974144	0.116622	0.114354	0.140452	0.195201	0.180078	0.155879
a5	0.127878	0.128391	0.11821	0.130289	0.147855	0.168937	0.178439
a61	0.155096	0.151659	0.154641	0.187751	0.157981	0.101817	0.0910551
a88	0.118854	0.120415	0.137581	0.199142	0.220014	0.126968	0.0770273
a25	0.0624576	0.0671342	0.0782326	0.145774	0.250467	0.221852	0.174082
a0	0.0487202	0.0461873	0.048996	0.0823885	0.210916	0.297962	0.264829
a21	0.0276627	0.0290418	0.0322497	0.0535234	0.158421	0.294877	0.404224
a43	0.0597428	0.0532685	0.0480738	0.064396	0.156326	0.250759	0.367433
a11	0.0135838	0.0132252	0.0148507	0.0289263	0.0873727	0.232766	0.609276
a62	0.00664909	0.00638139	0.00767461	0.0165082	0.0683767	0.21969	0.67472
a83	0.00652929	0.0068587	0.00895332	0.0204958	0.0750284	0.221429	0.660705
a9	0.00274669	0.00301743	0.00432449	0.0115	0.0522318	0.194989	0.73119
a58	0.00337094	0.00341988	0.00558503	0.0134909	0.0564055	0.235838	0.68189
a93	0.00664117	0.00460578	0.00606776	0.0123075	0.0460398	0.176039	0.748299
a13	0.000488753	0.000566832	0.00100127	0.00271852	0.017993	0.125485	0.851746
a9	0.00205809	0.0019185	0.00287574	0.00584741	0.0274385	0.145378	0.814484
a10	0.0176475	0.011907	0.0149495	0.0257326	0.0735892	0.207379	0.648796
</S>	0.0375687	0.0258777	0.0272265	0.0387736	0.0945544	0.232346	0.543653
