 	cette	jeune	fille	est	charmante	</S>
a66	0.433905	0.237262	0.164698	0.105522	0.0453058	0.0133077
a87	0.406685	0.156227	0.113816	0.138516	0.121795	0.0629606
a97	0.47288	0.210437	0.125288	0.0822604	0.0631856	0.0459483
a99	0.41077	0.234458	0.142416	0.0949449	0.0718491	0.0455623
a97	0.564568	0.220583	0.112102	0.052017	0.0331232	0.0176062
a83	0.536075	0.207997	0.121696	0.0688678	0.0436619	0.0217029
a90	0.505181	0.198953	0.157102	0.0700673	0.044448	0.0242485
a92	0.357041	0.226541	0.211482	0.115004	0.0581833	0.0317493
a34	0.177187	0.183373	0.272467	0.217992	0.0974706	0.0515101
a56	0.167885	0.200856	0.302671	0.220093	0.0756836	0.0328109
a25	0.135638	0.19224	0.31861	0.241459	0.07665	0.0354023
a85	0.0885866	0.187511	0.293139	0.240708	0.105904	0.0841512
a21	0.0926749	0.171144	0.258052	0.231611	0.132699	0.113819
a12	0.0967762	0.169104	0.219564	0.262065	0.150906	0.101584
a18	0.0591961	0.125165	0.178914	0.257248	0.199921	0.179556
a21	0.0249406	0.0663972	0.142351	0.283293	0.255194	0.227824
a47	0.0229569	0.067106	0.126944	0.260668	0.278654	0.243671
a88	0.0245381	0.0611643	0.10512	0.222078	0.280327	0.306773
a71	0.00720997	0.0188513	0.040016	0.139485	0.298392	0.496047
a25	0.00590044	0.0105632	0.024272	0.102517	0.247834	0.608914
a87	0.0136664	0.017195	0.0271779	0.104751	0.269318	0.567892
a82	0.0197616	0.0184133	0.0297752	0.13601	0.289769	0.506271
a3	0.0389842	0.0380651	0.0581666	0.162053	0.30992	0.392811
a99	0.100432	0.0853809	0.0988297	0.177949	0.260582	0.276827
a97	0.0609883	0.0586151	0.0711869	0.169792	0.326234	0.313184
a10	0.0877164	0.0885264	0.0958757	0.164291	0.258146	0.305444
a97	0.0971705	0.103887	0.0979339	0.148538	0.255061	0.297409
a87	0.137043	0.134372	0.112153	0.143026	0.210227	0.26318
</S>	0.1798	0.163042	0.120977	0.13075	0.172622	0.232809
