 	iras-tu	à	l'	école	aujourd'	hui	non	</S>
a66	0.645033	0.248516	0.0705708	0.0193279	0.0069037	0.00471487	0.00274583	0.00218745
a87	0.509463	0.340758	0.117485	0.016697	0.0048352	0.00376957	0.00323235	0.0037601
a23	0.688646	0.219683	0.0613549	0.0131763	0.00461674	0.00389893	0.0037195	0.00490381
a87	0.799803	0.127259	0.0393114	0.00997007	0.00428539	0.00466301	0.00585066	0.00885782
a23	0.782336	0.140721	0.0468473	0.00957444	0.00399293	0.00419958	0.00501751	0.00731096
a90	0.80482	0.107935	0.0275003	0.00664928	0.00629374	0.00977576	0.0144833	0.0225428
a79	0.440683	0.243903	0.161393	0.0683437	0.0258463	0.0196461	0.0199875	0.0201976
a98	0.212378	0.215439	0.212523	0.20349	0.0679366	0.0353822	0.0290089	0.0238429
a15	0.0842139	0.253578	0.263472	0.257357	0.0754237	0.0327654	0.02005	0.0131397
a79	0.0539078	0.230828	0.232497	0.28023	0.102214	0.0508329	0.0291462	0.0203447
a98	0.0367911	0.144058	0.213565	0.298534	0.134331	0.0798313	0.0523202	0.0405698
a85	0.0170927	0.0956184	0.185142	0.333997	0.149862	0.0951306	0.0684258	0.0547319
a92	0.00594547	0.0324101	0.0869546	0.314048	0.201914	0.144075	0.115582	0.0990713
a36	0.00471579	0.0125563	0.0457116	0.249168	0.2184	0.181472	0.159505	0.128472
a7	0.00529997	0.00753318	0.0132534	0.099638	0.199423	0.238068	0.221994	0.214791
a25	0.00114657	0.00186243	0.00251762	0.0147664	0.0916406	0.234662	0.309678	0.343726
a98	0.000313989	0.000416085	0.000548902	0.00227352	0.0264716	0.135842	0.295873	0.53826
a92	7.89949e-05	0.000151811	0.000297965	0.002075	0.0278551	0.139935	0.321213	0.508394
a37	4.15931e-05	0.000113347	0.000269389	0.00251404	0.0334665	0.144787	0.307037	0.511771
a54	0.00013954	0.000398439	0.000634263	0.00278017	0.0290518	0.143626	0.283477	0.539893
a15	4.18642e-05	0.000144973	0.00027529	0.00155972	0.0139593	0.088537	0.260655	0.634827
a7	0.000254214	0.000558534	0.00082768	0.00400766	0.0244016	0.102935	0.247895	0.61912
a84	0.000467094	0.00124894	0.00187125	0.00818045	0.0332289	0.0990498	0.240152	0.615802
a57	0.0568821	0.0560135	0.0422456	0.0663709	0.104275	0.170289	0.207858	0.296065
a87	0.304121	0.0999451	0.0590796	0.071776	0.0874768	0.124023	0.127358	0.126221
a23	0.438557	0.206557	0.0752509	0.0595282	0.0444338	0.0603343	0.0619216	0.0534173
a87	0.0616932	0.0303896	0.022071	0.0315895	0.0856034	0.231517	0.274021	0.263115
a23	0.00530158	0.00413236	0.00526693	0.0139426	0.0725086	0.220069	0.316164	0.362615
a97	0.00936206	0.0141513	0.0138421	0.0266793	0.103783	0.239831	0.283403	0.308948
a87	0.0037891	0.00535572	0.00552559	0.0284026	0.130019	0.240054	0.280737	0.306117
</S>	0.0166911	0.0230616	0.016557	0.02818	0.101901	0.21013	0.282694	0.320785
