 	son	père	est	un	homme	bienveillant	</S>
a23	0.57359	0.237955	0.0817193	0.0258876	0.0130721	0.024314	0.0434626
a85	0.453954	0.242571	0.146534	0.0612734	0.0242705	0.024825	0.0465711
a87	0.281737	0.155513	0.0897605	0.058389	0.0516611	0.104609	0.258331
a23	0.410795	0.250235	0.146182	0.0547215	0.022001	0.0376786	0.0783869
a20	0.182335	0.0803184	0.0452241	0.0276833	0.0342443	0.211218	0.418977
a73	0.250129	0.178605	0.117922	0.0932048	0.067155	0.184028	0.108956
a7	0.257798	0.235535	0.188544	0.169105	0.0753584	0.0483139	0.0253461
a94	0.244323	0.246707	0.208854	0.172656	0.0649357	0.0405998	0.0219254
a56	0.225822	0.217899	0.208785	0.182903	0.0784667	0.0502867	0.035838
a35	0.195674	0.180789	0.177938	0.17558	0.108378	0.0901274	0.0715136
a90	0.177689	0.137991	0.134931	0.141814	0.129147	0.149319	0.129109
a94	0.1535	0.109361	0.101073	0.110024	0.135301	0.199295	0.191446
a76	0.0951849	0.0636061	0.0554101	0.0680318	0.119351	0.266254	0.332162
a73	0.0484353	0.0370642	0.0363597	0.057293	0.137944	0.327468	0.355436
a44	0.0205482	0.0143048	0.0144182	0.0252092	0.0722029	0.327253	0.526064
a53	0.0159535	0.00978656	0.00988724	0.0182742	0.0571263	0.290179	0.598794
a69	0.020937	0.011607	0.0116404	0.0183114	0.0427833	0.238017	0.656704
a58	0.0145992	0.0072497	0.00720254	0.0115705	0.0311622	0.241661	0.686555
a82	0.00827353	0.00313117	0.00270747	0.00472759	0.017995	0.229659	0.733506
a87	0.00432797	0.00189338	0.00151175	0.00306	0.0190166	0.209488	0.760702
</S>	0.0105989	0.0121155	0.0119995	0.019204	0.0539633	0.252218	0.639901
