 	les	fosses	que	nous	avons	creusées	hier	sont	remblayées	</S>
a87	0.150718	0.133731	0.134747	0.189019	0.199681	0.103636	0.0451546	0.0201171	0.0128313	0.0103653
a23	0.272482	0.205559	0.104794	0.0774713	0.089064	0.105401	0.0500248	0.0366737	0.0310045	0.0275257
a87	0.138	0.162897	0.114969	0.0683133	0.0731132	0.0553612	0.0492336	0.0738608	0.157173	0.107078
a23	0.129526	0.127938	0.1145	0.116886	0.135463	0.073225	0.0629629	0.065241	0.0998414	0.0744158
a40	0.275829	0.212564	0.0932704	0.0626408	0.0580155	0.0554486	0.0558727	0.0521381	0.0676376	0.0665837
a36	0.458489	0.196156	0.0702346	0.0447144	0.0390463	0.046148	0.0414056	0.0357117	0.0420995	0.0259955
a26	0.399238	0.250508	0.124278	0.0797084	0.0509318	0.0237245	0.0215637	0.0202395	0.0188834	0.0109246
a21	0.294036	0.215266	0.122517	0.10533	0.0828412	0.0307646	0.0320602	0.0394134	0.0460529	0.0317183
a85	0.274489	0.263166	0.14439	0.105796	0.0715439	0.0314278	0.0279934	0.0260977	0.0308546	0.0242415
a98	0.172349	0.173315	0.144075	0.119481	0.0894833	0.0484624	0.0430339	0.0485674	0.0780984	0.0831345
a85	0.143694	0.158044	0.142084	0.113976	0.0851852	0.0564394	0.0599571	0.055441	0.0840208	0.101159
a6	0.125602	0.124988	0.115389	0.0940131	0.074448	0.0522304	0.0600187	0.0644699	0.120016	0.168824
a0	0.0904194	0.134571	0.139662	0.11343	0.0806784	0.0409323	0.0403141	0.0438389	0.124438	0.191715
a56	0.0726397	0.100342	0.149271	0.172662	0.141033	0.0538371	0.0382622	0.0400394	0.0962783	0.135634
a12	0.0644207	0.114142	0.17646	0.210237	0.175867	0.0582214	0.0351993	0.0304916	0.0607096	0.0742518
a96	0.0649797	0.0938973	0.131411	0.175065	0.168072	0.0705832	0.0538601	0.0461711	0.0854947	0.110466
a18	0.0515154	0.0905209	0.118594	0.160933	0.202099	0.10027	0.0633937	0.0431574	0.0728542	0.0966623
a62	0.0214897	0.0542586	0.0749766	0.100288	0.161513	0.135013	0.0888469	0.0594073	0.109977	0.194229
a21	0.0239699	0.0553652	0.071465	0.0834087	0.127631	0.120119	0.093222	0.0615868	0.12905	0.234182
a75	0.0620052	0.0807253	0.0826759	0.0877955	0.114451	0.0875924	0.0879589	0.0789959	0.120327	0.197473
a85	0.0274981	0.0389865	0.0378657	0.0316438	0.0343089	0.0341985	0.0580943	0.0913027	0.217314	0.428787
a47	0.0384178	0.0449146	0.0469909	0.0425261	0.0468315	0.0493587	0.0607089	0.0760156	0.192756	0.401479
a36	0.0209566	0.0306713	0.0354899	0.0326561	0.0435289	0.0731639	0.100756	0.0919959	0.188058	0.382723
a90	0.0333764	0.0463318	0.0395405	0.0267759	0.0277476	0.0464071	0.0619261	0.0589229	0.210743	0.448229
a15	0.0142565	0.0208639	0.0188223	0.0118491	0.0135378	0.0251676	0.0379806	0.0452253	0.245294	0.567003
a98	0.0127487	0.0186494	0.0168145	0.0101259	0.0117272	0.0251979	0.0420514	0.0557138	0.264741	0.54223
a47	0.010918	0.0162755	0.0154823	0.00940571	0.0109758	0.0231655	0.0399783	0.063714	0.285654	0.524431
a36	0.0077231	0.0125503	0.0125573	0.00793748	0.0098379	0.0247152	0.0445267	0.0754459	0.298887	0.505819
a37	0.00493082	0.00591094	0.0051687	0.00455539	0.00570624	0.0123049	0.0196925	0.0435334	0.36335	0.534847
a61	0.00367322	0.00365955	0.00247721	0.00183855	0.0027417	0.00961836	0.0184548	0.0403637	0.312398	0.604775
a0	0.00130452	0.00185682	0.00160191	0.0011859	0.0018181	0.0048698	0.0145225	0.0434905	0.315627	0.613723
a75	0.00123134	0.00188673	0.00199224	0.00166059	0.00289623	0.0101192	0.0237059	0.0551749	0.298355	0.602978
a5	0.000897904	0.00129231	0.00120952	0.000943543	0.00147285	0.00445487	0.0149409	0.0507005	0.319776	0.604311
a23	0.0013661	0.00200098	0.00165212	0.000934282	0.00133998	0.00348795	0.00960017	0.0337319	0.281275	0.664612
a88	0.000477123	0.000882795	0.000930163	0.000893416	0.00156742	0.00499892	0.0160738	0.0467091	0.296223	0.631244
a0	0.00206202	0.00330909	0.00301265	0.00177705	0.00256055	0.00960451	0.0216421	0.0553871	0.286926	0.613719
a27	0.00419422	0.00502716	0.00416356	0.00222534	0.00299504	0.0121474	0.0244444	0.0578183	0.294564	0.59242
a30	0.0294225	0.021049	0.0158173	0.0089952	0.0105009	0.0395912	0.0739186	0.120574	0.268442	0.41169
a10	0.0879591	0.0599089	0.030532	0.0180996	0.0244212	0.120515	0.161396	0.188245	0.15427	0.154652
a87	0.0983115	0.0831822	0.0461013	0.0263863	0.0443957	0.15942	0.151054	0.172434	0.113381	0.105333
a23	0.117606	0.108633	0.065236	0.0366885	0.0547141	0.142536	0.131138	0.15112	0.101452	0.090876
a87	0.0436914	0.0501027	0.0318385	0.0181503	0.0231099	0.0541783	0.0739604	0.165368	0.266879	0.272721
</S>	0.00662576	0.0119532	0.0120106	0.00597126	0.00724235	0.0225327	0.0404601	0.144048	0.371403	0.377753
