 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a23	0.227565	0.187088	0.122671	0.193708	0.172476	0.0454311	0.0243996	0.0148074	0.0118538
a87	0.209357	0.0949528	0.0573094	0.0751317	0.153333	0.111331	0.119747	0.0903163	0.088522
a23	0.168299	0.128485	0.10666	0.121762	0.161609	0.0548993	0.067467	0.0742914	0.116528
a87	0.232364	0.162565	0.109085	0.108686	0.155004	0.0518663	0.0493379	0.0516406	0.0794502
a23	0.169499	0.138553	0.102012	0.0790219	0.0968796	0.0688834	0.0838415	0.107385	0.153924
a40	0.16585	0.128535	0.0727015	0.065926	0.0872576	0.0791767	0.0959455	0.118892	0.185715
a37	0.454933	0.169028	0.0801672	0.0720464	0.0561195	0.0348999	0.035814	0.0426403	0.0543521
a26	0.382381	0.224253	0.13454	0.112395	0.0797962	0.0143776	0.013214	0.0161826	0.0228603
a82	0.316804	0.189681	0.137343	0.125127	0.125086	0.0263821	0.0215238	0.02517	0.0328823
a11	0.18929	0.143741	0.14383	0.129274	0.126783	0.0549155	0.0555931	0.0700333	0.0865397
a96	0.184248	0.146723	0.147818	0.132557	0.126178	0.0499817	0.0523217	0.0711398	0.0890329
a75	0.169628	0.177971	0.177673	0.166589	0.153251	0.0376688	0.030968	0.0387313	0.0475202
a47	0.156187	0.187674	0.17737	0.148847	0.124898	0.0556479	0.0410363	0.0476988	0.0606397
a37	0.146431	0.194617	0.182828	0.174093	0.1696	0.0350855	0.026555	0.0317665	0.0390242
a47	0.130629	0.204867	0.208934	0.191615	0.161417	0.0295146	0.0202142	0.0238529	0.0289566
a96	0.122668	0.194643	0.186175	0.179556	0.171455	0.0393679	0.0280584	0.0346153	0.043462
a98	0.0970936	0.18377	0.21293	0.206949	0.181858	0.0358983	0.02332	0.0262415	0.0319402
a47	0.0515743	0.0942577	0.115466	0.13038	0.149764	0.107958	0.0957095	0.113354	0.141537
a56	0.0595668	0.104916	0.130326	0.152444	0.174295	0.0718237	0.0629149	0.0944294	0.149283
a96	0.0940516	0.132625	0.168865	0.196121	0.204837	0.058176	0.0437099	0.0468893	0.0547256
a85	0.0626104	0.104302	0.151353	0.202468	0.243698	0.0734038	0.0489951	0.0512895	0.06188
a43	0.0488102	0.0817614	0.119529	0.152643	0.188938	0.0939895	0.0826386	0.0993052	0.132385
a75	0.0397807	0.0730285	0.113611	0.154222	0.211651	0.108925	0.0819649	0.0923961	0.12442
a44	0.0474695	0.0597937	0.081386	0.0897561	0.105312	0.0855441	0.107049	0.170318	0.253372
a82	0.0364216	0.0508165	0.0689867	0.0889256	0.127036	0.143353	0.130728	0.157381	0.196351
a57	0.0105252	0.0186441	0.0303184	0.0354051	0.0574828	0.1265	0.165304	0.211759	0.344062
a30	0.0103815	0.0164553	0.0270393	0.0275347	0.0426943	0.0842063	0.129939	0.213628	0.448122
a90	0.00449851	0.00627039	0.0118776	0.0153913	0.0245246	0.0772871	0.143973	0.226598	0.489579
a15	0.00567407	0.00778046	0.0112254	0.0161583	0.0300258	0.0869597	0.130491	0.227941	0.483745
a7	0.0040112	0.00709424	0.0105601	0.014381	0.0266447	0.0965867	0.169841	0.266944	0.403937
a84	0.001016	0.00163588	0.00287703	0.00324271	0.00693396	0.0535469	0.142087	0.258226	0.530434
a82	0.00197101	0.00174987	0.00253846	0.00294196	0.00624307	0.0533208	0.138146	0.271289	0.5218
a9	0.0201979	0.0129239	0.0120079	0.0183814	0.0390313	0.165364	0.227773	0.234762	0.269558
a10	0.0590424	0.0417425	0.039232	0.0541657	0.103254	0.160517	0.182195	0.172305	0.187546
a87	0.070575	0.0535712	0.0628667	0.086101	0.17062	0.164349	0.158521	0.125619	0.107778
a23	0.0425886	0.046204	0.0712378	0.0905848	0.166816	0.161554	0.167666	0.13714	0.116209
a87	0.0165009	0.0201119	0.0213848	0.029762	0.0547561	0.139158	0.207949	0.218852	0.291525
</S>	0.0134772	0.0183681	0.0169419	0.0233659	0.0459705	0.12721	0.210541	0.238939	0.305186
