 	il	s'	habille	comme	un	riche	par	imposture	</S>
a15	0.17056	0.174182	0.222933	0.171486	0.143271	0.0747295	0.0191678	0.0131649	0.0105058
a66	0.336708	0.229803	0.140842	0.0650095	0.0635783	0.0545681	0.0400581	0.0369717	0.0324616
a87	0.609914	0.212497	0.0499913	0.0272014	0.0211525	0.011464	0.0110265	0.0232849	0.0334685
a23	0.467084	0.304163	0.0960034	0.0551489	0.0299364	0.0154319	0.0107451	0.0108954	0.0105914
a87	0.335088	0.225547	0.140701	0.135167	0.0641379	0.0324609	0.021032	0.0200426	0.0258231
a23	0.383481	0.237478	0.127327	0.0957766	0.0643017	0.0342196	0.0198446	0.0176718	0.0198999
a79	0.251651	0.21229	0.197551	0.126101	0.0782966	0.0570927	0.0273702	0.0219708	0.0276769
a54	0.166062	0.209844	0.259635	0.0944003	0.101617	0.0746924	0.0310403	0.0286981	0.0340107
a85	0.0804072	0.0990645	0.207318	0.150198	0.162866	0.122994	0.0574334	0.0563425	0.0633767
a47	0.0650741	0.0796204	0.208801	0.17482	0.210614	0.142222	0.0440103	0.0333954	0.041442
a85	0.0479535	0.0582894	0.177206	0.231237	0.231047	0.133078	0.0363319	0.0358184	0.0490398
a92	0.0722538	0.0739656	0.149341	0.178759	0.193261	0.131266	0.0531693	0.0619486	0.086035
a85	0.112242	0.107718	0.173119	0.150105	0.173681	0.116227	0.0472927	0.0526385	0.0669764
a5	0.0521481	0.0520917	0.0811985	0.106221	0.122386	0.102941	0.0893381	0.18662	0.207055
a12	0.0865439	0.0900583	0.188776	0.190712	0.210448	0.124657	0.0392893	0.0345575	0.0349577
a18	0.0299608	0.0409975	0.193021	0.236967	0.243093	0.135838	0.0457563	0.036049	0.0383186
a75	0.0153254	0.0183086	0.102859	0.202322	0.237008	0.188562	0.0724814	0.0796935	0.0834402
a85	0.0121146	0.015436	0.0706951	0.144046	0.207556	0.144777	0.116946	0.132651	0.155777
a6	0.00972776	0.0118806	0.0472969	0.0960029	0.124094	0.126462	0.135528	0.21288	0.236127
a85	0.00446586	0.00672623	0.0504928	0.115235	0.157858	0.165766	0.145531	0.181731	0.172194
a6	0.00323997	0.00402175	0.023565	0.0618023	0.0899472	0.117068	0.134861	0.25861	0.306885
a36	0.00271971	0.00297035	0.0178255	0.0534341	0.0856866	0.123407	0.138363	0.277031	0.298564
a75	0.00234751	0.00222427	0.00919295	0.0259116	0.0555568	0.117184	0.155821	0.307645	0.324117
a25	0.00142226	0.0012269	0.00546523	0.0171373	0.037013	0.0790051	0.134916	0.315671	0.408143
a92	0.00135962	0.00103478	0.00398142	0.0116603	0.0272319	0.0618766	0.11906	0.348779	0.425017
a85	0.0014598	0.00125073	0.00556876	0.0166569	0.0315787	0.064877	0.121735	0.372474	0.384399
a37	0.00131481	0.0012221	0.00399671	0.00985594	0.0169441	0.039611	0.0994845	0.346364	0.481207
a85	0.000799281	0.000525038	0.0013707	0.00413938	0.00637027	0.019835	0.0875757	0.414799	0.464586
a6	0.000247729	0.000185299	0.000732298	0.00217352	0.00399123	0.0148784	0.0710066	0.332895	0.57389
a37	0.000358766	0.000226706	0.000565813	0.00192995	0.00317133	0.0114658	0.0703159	0.410138	0.501828
a12	0.000836563	0.000555355	0.000928349	0.00207426	0.0021672	0.00695642	0.0612273	0.417093	0.508161
a88	0.000607573	0.000493421	0.000999623	0.00175603	0.0018473	0.00662034	0.0581485	0.39951	0.530018
a98	0.000397716	0.000366069	0.0011001	0.00154434	0.00159161	0.00618224	0.055798	0.397339	0.535681
a47	0.000465773	0.000358515	0.000779248	0.000915002	0.00114594	0.00482562	0.0418123	0.406203	0.543495
a6	0.00226684	0.00184159	0.00329952	0.00304383	0.00320967	0.0128383	0.0795439	0.411213	0.482743
a36	0.00028352	0.000169819	0.000224659	0.000308049	0.000452537	0.00221247	0.027624	0.365767	0.602958
a2	0.00337434	0.00279507	0.00513425	0.0042659	0.00528548	0.0201875	0.106845	0.436571	0.415541
a57	0.0352885	0.0231716	0.0280322	0.0256551	0.0327569	0.0570846	0.123594	0.341131	0.333286
a87	0.13918	0.0720248	0.0615182	0.0509155	0.0611654	0.0706493	0.0960841	0.222496	0.225967
a23	0.148952	0.111206	0.0884151	0.0635548	0.0662353	0.0876818	0.11133	0.166153	0.156471
a99	0.0367237	0.0125389	0.00593869	0.00417714	0.00813087	0.0133253	0.0564284	0.307593	0.555144
a97	0.0140003	0.00453508	0.00377293	0.00507401	0.00870069	0.011661	0.0491656	0.317735	0.585355
a9	0.0124408	0.00487505	0.00444203	0.00699484	0.0106341	0.0120526	0.0332457	0.269144	0.646171
</S>	0.0183148	0.00754229	0.00908205	0.0140116	0.0217159	0.0258595	0.0533368	0.279888	0.570249
