 	va	jusqu'	au	bout	de	la	route	</S>
a23	0.290713	0.216773	0.181809	0.123155	0.0734752	0.0464124	0.034346	0.0333163
a99	0.479636	0.220988	0.106664	0.0512248	0.0351198	0.0348793	0.0303548	0.041134
a38	0.410257	0.204447	0.105523	0.0466167	0.0380001	0.0500564	0.0516356	0.0934642
a75	0.395323	0.20761	0.16528	0.0982174	0.0547908	0.0359522	0.0219939	0.0208323
a85	0.407942	0.261758	0.16212	0.0778165	0.0364498	0.0235617	0.0150945	0.0152572
a36	0.440045	0.281041	0.143637	0.0546041	0.0263842	0.0202423	0.0158921	0.0181544
a27	0.368529	0.262906	0.171897	0.0763343	0.0366341	0.0277679	0.0250822	0.0308499
a61	0.155017	0.148428	0.185981	0.1683	0.109991	0.0825899	0.0722213	0.077472
a24	0.184565	0.223909	0.240199	0.159703	0.0744745	0.0454484	0.03512	0.0365811
a47	0.106113	0.152523	0.211511	0.196975	0.123713	0.0834451	0.063056	0.0626622
a0	0.106998	0.149642	0.210203	0.206461	0.123876	0.0808429	0.0617353	0.0602411
a11	0.0561287	0.0849093	0.129244	0.174344	0.160195	0.149832	0.125306	0.12004
a75	0.0436682	0.0581816	0.095992	0.154187	0.164228	0.173696	0.152798	0.157249
a98	0.0275739	0.0267504	0.0512944	0.104285	0.133421	0.170791	0.217242	0.268642
a73	0.0143759	0.0142237	0.0303911	0.0712555	0.108927	0.180248	0.257906	0.322672
a7	0.0133609	0.012185	0.0195127	0.0392588	0.0667498	0.151799	0.262087	0.435047
a4	0.00657754	0.00607371	0.00969392	0.0197562	0.036843	0.107837	0.24695	0.566268
a13	0.00332297	0.00294174	0.00608548	0.0178388	0.0360745	0.0920074	0.227106	0.614624
a3	0.00675629	0.00455802	0.00723841	0.0180494	0.038432	0.086992	0.213294	0.62468
a10	0.0238641	0.0163624	0.0133623	0.0182113	0.036638	0.108476	0.261377	0.521709
a87	0.207782	0.114235	0.0689638	0.0524051	0.0596571	0.0995019	0.155349	0.242105
a23	0.282326	0.138963	0.0902411	0.0795316	0.0876459	0.107908	0.103662	0.109723
a10	0.0836416	0.0648686	0.0572146	0.0838704	0.11725	0.18103	0.195189	0.216936
</S>	0.0288343	0.0236642	0.0246264	0.0427688	0.0725531	0.151133	0.271043	0.385377
