 	le	terrier	du	blaireau	que	nous	avons	suivi	était	déjà	abandonné	</S>
a66	0.153989	0.150411	0.154263	0.16772	0.141672	0.10785	0.0620412	0.0260608	0.0138246	0.00815339	0.00700627	0.00700923
a87	0.277304	0.178733	0.126693	0.118056	0.0958995	0.0810788	0.0567636	0.0317468	0.0165419	0.00807941	0.00474493	0.00436007
a23	0.216816	0.235613	0.201524	0.139711	0.0904577	0.0474064	0.022625	0.0182388	0.00929814	0.00612255	0.0057159	0.00647106
a53	0.282013	0.21987	0.119632	0.0829569	0.0645989	0.0350102	0.0389569	0.0384322	0.0274727	0.0210915	0.0263743	0.0435915
a44	0.21522	0.157071	0.108674	0.107903	0.104165	0.120667	0.0997388	0.0289383	0.0174935	0.0115699	0.0144404	0.0141194
a56	0.188606	0.160802	0.119843	0.144424	0.161124	0.105914	0.083724	0.0191938	0.00773867	0.00302226	0.0028813	0.00272655
a62	0.116325	0.109471	0.103482	0.143126	0.168412	0.142986	0.142814	0.0463325	0.0152813	0.00504431	0.00401129	0.00271481
a47	0.0985688	0.0853282	0.091911	0.142346	0.171978	0.172748	0.165429	0.0469079	0.0119927	0.00486425	0.00439178	0.00353467
a88	0.0770898	0.0753498	0.0889395	0.12817	0.1557	0.174686	0.201746	0.061357	0.0171965	0.00743304	0.00649386	0.00583839
a0	0.0387497	0.0427315	0.0676137	0.112559	0.131167	0.20495	0.240338	0.103343	0.0277822	0.0111402	0.0100764	0.00954939
a31	0.0463185	0.0570132	0.082449	0.121226	0.138852	0.163781	0.182214	0.109715	0.0398932	0.0202857	0.0182304	0.0200228
a12	0.0395832	0.0502766	0.0787429	0.113991	0.132947	0.163907	0.188195	0.111567	0.0405332	0.024832	0.0253756	0.0300485
a47	0.0228065	0.0222816	0.0504138	0.092	0.131602	0.19937	0.226585	0.121421	0.0487146	0.0274206	0.027923	0.0294624
a96	0.0180195	0.0167781	0.0361991	0.0580927	0.0827946	0.133443	0.203098	0.158458	0.0963579	0.0611514	0.0663511	0.0692567
a43	0.014837	0.0126448	0.0238832	0.0350777	0.053719	0.102115	0.166423	0.152514	0.134718	0.0967852	0.100877	0.106406
a0	0.0123778	0.011384	0.0182763	0.023263	0.0305992	0.0523701	0.0997107	0.153137	0.179659	0.137619	0.134713	0.14689
a75	0.0129544	0.0117792	0.0184239	0.023146	0.0297033	0.0485415	0.0933256	0.178701	0.182173	0.142484	0.125195	0.133572
a5	0.00230405	0.0017412	0.00235565	0.00317841	0.00453132	0.0115768	0.0359586	0.0930191	0.187055	0.247492	0.227461	0.183327
a21	0.00307449	0.00220992	0.00331989	0.00437343	0.00653666	0.015107	0.0332209	0.0815405	0.153862	0.210919	0.24401	0.241826
a12	0.00131009	0.00106555	0.00138483	0.00173128	0.00212907	0.00400101	0.00857291	0.0404303	0.118509	0.256255	0.291619	0.272992
a36	0.000504204	0.000412708	0.000536208	0.000691303	0.000846459	0.00174144	0.00471371	0.0303802	0.0922156	0.215149	0.309312	0.343497
a85	0.000828183	0.000928697	0.00146983	0.00184183	0.00172996	0.00241162	0.00282724	0.00884614	0.0250696	0.0881827	0.2943	0.571564
a6	9.58387e-05	7.6889e-05	9.95099e-05	0.000114305	0.000127572	0.000319672	0.000909856	0.00769355	0.0257878	0.0889222	0.303282	0.572571
a36	9.45526e-05	7.32205e-05	9.13778e-05	0.000103328	0.000115647	0.000328661	0.000927963	0.00932235	0.0312537	0.111077	0.33753	0.509082
a37	0.00120543	0.00118427	0.00152723	0.00157697	0.00115531	0.00178658	0.00201465	0.0131398	0.0293525	0.0885831	0.311846	0.546628
a26	0.00071627	0.00064947	0.000819367	0.000888477	0.000719917	0.00143372	0.00189801	0.010454	0.0265338	0.0774334	0.298886	0.579567
a57	0.0471088	0.0469909	0.0496883	0.0426728	0.0321678	0.0399417	0.0322747	0.0521957	0.0563175	0.0920311	0.203928	0.304683
a10	0.162986	0.130417	0.115311	0.0935277	0.0641445	0.0641379	0.0406227	0.0402448	0.0337979	0.0541321	0.0879971	0.11268
a97	0.163133	0.146186	0.147084	0.118924	0.08559	0.0721582	0.0413252	0.0348898	0.0272452	0.0466483	0.0566383	0.0601785
a87	0.105144	0.111238	0.133867	0.116464	0.0949946	0.080906	0.0458667	0.0422317	0.0380632	0.0773548	0.0769936	0.0768766
a23	0.0900885	0.100713	0.124107	0.108751	0.0904186	0.0791355	0.0497534	0.0533096	0.0488333	0.0813021	0.0859381	0.0876501
a99	0.0300596	0.0254636	0.0257566	0.0231934	0.018958	0.0220918	0.0160758	0.0346699	0.0721525	0.135599	0.226019	0.36996
a87	0.0270131	0.0236681	0.0255589	0.0258186	0.019211	0.0267243	0.023536	0.0518046	0.0774436	0.128804	0.206981	0.363437
</S>	0.00971971	0.00945679	0.00963931	0.00847662	0.00588387	0.00799189	0.00852593	0.0279283	0.0536652	0.132716	0.258376	0.46762
