 	il	a	lancé	un	bâton	dans	ma	direction	</S>
a66	0.353512	0.232427	0.107849	0.061325	0.0761006	0.060905	0.0495268	0.0344808	0.023873
a87	0.395684	0.267917	0.100994	0.0480458	0.0493741	0.0443352	0.0349134	0.0296248	0.0291115
a85	0.463826	0.266665	0.100802	0.0370193	0.0304413	0.0253524	0.020676	0.0220356	0.0331823
a66	0.355811	0.216249	0.103635	0.0590867	0.0492829	0.0416184	0.0413519	0.0462351	0.0867306
a57	0.310779	0.210868	0.107089	0.0587985	0.0430486	0.0406131	0.0488253	0.0592964	0.120682
a87	0.26277	0.213781	0.112981	0.0503053	0.0436998	0.0447066	0.060678	0.0834149	0.127664
a79	0.288803	0.200428	0.112914	0.0707658	0.0673687	0.0640151	0.0611394	0.070353	0.0642129
a53	0.268022	0.233621	0.147897	0.0657961	0.0443835	0.036385	0.0480937	0.0634825	0.092319
a20	0.243184	0.268858	0.210583	0.101243	0.0559044	0.0348297	0.0318085	0.0273913	0.0261986
a15	0.145163	0.203369	0.219887	0.148915	0.0798152	0.0541275	0.0515565	0.0489673	0.0481999
a37	0.0748575	0.130559	0.197822	0.174243	0.106531	0.0738401	0.0690114	0.0768764	0.0962597
a21	0.0813119	0.113437	0.177975	0.178843	0.123255	0.0858028	0.069237	0.0745506	0.0955887
a12	0.0795218	0.10192	0.167433	0.186089	0.143386	0.101705	0.0743049	0.0648753	0.0807641
a96	0.0420422	0.0521724	0.104452	0.157009	0.187478	0.14396	0.117606	0.0902048	0.105075
a90	0.0319828	0.03951	0.0879201	0.155343	0.212468	0.157423	0.121156	0.0881533	0.106043
a56	0.0213104	0.0278751	0.0669729	0.121321	0.184307	0.163847	0.14701	0.12687	0.140487
a21	0.0193131	0.0220419	0.0479114	0.10436	0.196078	0.177977	0.15062	0.121297	0.160402
a12	0.0140472	0.015307	0.0302465	0.0685828	0.158419	0.180981	0.182691	0.169034	0.180691
a61	0.0123888	0.0135483	0.0241155	0.0559884	0.124385	0.163213	0.193596	0.192973	0.219792
a43	0.0155532	0.0178308	0.0309551	0.0625308	0.119271	0.158605	0.192795	0.189321	0.213138
a24	0.0131422	0.0137991	0.022366	0.0461633	0.0880838	0.126312	0.185686	0.231237	0.273211
a21	0.00716736	0.00840056	0.014628	0.0282261	0.0493235	0.0787315	0.136889	0.260082	0.416552
a85	0.00488077	0.0056053	0.00939925	0.0200209	0.039805	0.0672118	0.124965	0.263127	0.464985
a6	0.00157087	0.00164757	0.00314733	0.00961581	0.0229858	0.0425316	0.0851651	0.20187	0.631466
a36	0.0010619	0.00117037	0.00242662	0.00668257	0.0153169	0.0282003	0.0700989	0.185548	0.689495
a85	0.00246005	0.00258752	0.00412554	0.00854032	0.0139279	0.0195114	0.0424578	0.136588	0.769801
a36	0.000422131	0.000560426	0.00143057	0.00455809	0.00867986	0.0148792	0.0409887	0.136818	0.791663
a2	0.00502769	0.00537394	0.00727004	0.0131806	0.0202957	0.0329048	0.0750248	0.216604	0.624318
a57	0.0595436	0.0552781	0.0515379	0.062218	0.0825411	0.0967881	0.143278	0.182871	0.265944
a10	0.160752	0.0878688	0.0512023	0.0436285	0.0576345	0.0670735	0.112995	0.162975	0.25587
a82	0.213524	0.136725	0.0677119	0.040891	0.0573142	0.0681959	0.104703	0.15097	0.159966
a9	0.144719	0.0977449	0.0475501	0.0323613	0.0598678	0.0931391	0.136916	0.198762	0.18894
a82	0.119917	0.0881803	0.0488511	0.0348179	0.0690822	0.104135	0.141518	0.200828	0.19267
a10	0.132443	0.0929352	0.0526115	0.0433181	0.0778247	0.0997425	0.123462	0.175706	0.201957
a97	0.118422	0.0924854	0.0551907	0.0413102	0.0656128	0.0862418	0.107531	0.175769	0.257437
a87	0.149702	0.111097	0.068709	0.0530903	0.0689896	0.0788973	0.0912171	0.145329	0.232967
a97	0.136977	0.110668	0.0780537	0.0608564	0.0694164	0.0774206	0.0856543	0.143028	0.237926
a82	0.179768	0.126009	0.0791029	0.0635386	0.0662622	0.0722164	0.0785002	0.124629	0.209974
</S>	0.183612	0.1341	0.0909051	0.0715328	0.0704706	0.071158	0.0734462	0.112266	0.19251
