 	bien	que	petit	il	est	fort	</S>
a23	0.356139	0.217854	0.130515	0.120114	0.0934176	0.0495924	0.0323687
a10	0.51481	0.227687	0.102728	0.0607093	0.041709	0.0281924	0.0241636
a87	0.392389	0.246921	0.127157	0.0702903	0.0460552	0.0477845	0.0694034
a57	0.394935	0.238496	0.128519	0.0766429	0.0496417	0.0475485	0.0642174
a87	0.447851	0.247074	0.117869	0.0605591	0.0416497	0.0375136	0.0474832
a23	0.340547	0.232738	0.161914	0.100998	0.0659705	0.0503356	0.0474974
a40	0.370858	0.236188	0.14771	0.0945554	0.060536	0.0445529	0.0455995
a73	0.452902	0.279238	0.11129	0.0508282	0.0297899	0.0317404	0.0442118
a26	0.331216	0.308694	0.201815	0.0859943	0.0360789	0.0194681	0.0167335
a54	0.264376	0.267479	0.210205	0.116604	0.0626435	0.0408524	0.0378413
a73	0.236216	0.25066	0.20954	0.134331	0.0761076	0.0483628	0.0447829
a56	0.256201	0.268695	0.216337	0.120457	0.0613128	0.0388779	0.0381201
a32	0.226498	0.263519	0.238493	0.119317	0.0586483	0.0423756	0.0511495
a75	0.178829	0.207889	0.219393	0.159883	0.0975829	0.0667378	0.0696848
a90	0.130914	0.139019	0.155738	0.161698	0.142911	0.131994	0.137725
a13	0.136526	0.148295	0.182092	0.199263	0.136547	0.0969804	0.100297
a11	0.10384	0.10396	0.13712	0.214591	0.172695	0.125579	0.142215
a24	0.0875264	0.083204	0.102198	0.181654	0.187581	0.165697	0.19214
a43	0.0631876	0.0480538	0.0452625	0.0895475	0.170515	0.266925	0.316509
a11	0.083219	0.0643097	0.0569441	0.0937002	0.159394	0.247765	0.294668
a26	0.0781186	0.0578023	0.049288	0.0781679	0.146271	0.261663	0.328689
a88	0.0343819	0.0249057	0.0237568	0.049286	0.116247	0.293129	0.458294
a71	0.046393	0.0299549	0.0253452	0.0427435	0.0900536	0.262673	0.502836
a9	0.0383219	0.0229859	0.0185964	0.0319375	0.0728122	0.242251	0.573095
a99	0.03461	0.0192863	0.0135926	0.023666	0.0605254	0.224234	0.624086
a87	0.0216048	0.012056	0.00738117	0.0129618	0.0381073	0.196185	0.711704
a23	0.0158946	0.0121909	0.0109139	0.0241318	0.0700422	0.256456	0.610371
a40	0.0507356	0.0491791	0.0451316	0.0692315	0.146828	0.280064	0.358831
a94	0.0265914	0.0231915	0.0199255	0.0453836	0.10207	0.244901	0.537937
a38	0.0346907	0.028265	0.0284994	0.0514928	0.10704	0.268339	0.481672
a24	0.031102	0.0241923	0.0237137	0.0382566	0.0879378	0.262869	0.531929
a61	0.0143574	0.0101133	0.0105363	0.0220135	0.0670629	0.265937	0.60998
a54	0.00920455	0.00734112	0.00777174	0.0159741	0.0503519	0.231979	0.677377
a73	0.0264517	0.0172387	0.014316	0.0210298	0.0490207	0.22119	0.650753
a84	0.00259681	0.00232595	0.00338113	0.00968185	0.0300123	0.184907	0.767095
a76	0.00193818	0.00174664	0.00240396	0.00735371	0.0274488	0.179137	0.779972
a73	0.0147271	0.0118486	0.0106175	0.0197072	0.0510296	0.224093	0.667977
a94	0.00205056	0.00148742	0.00150983	0.00450541	0.020045	0.17195	0.798452
a13	0.00341232	0.00256549	0.00235233	0.00639454	0.0243623	0.17282	0.788093
a9	0.00800558	0.00654785	0.00536682	0.0122916	0.0398052	0.200237	0.727746
a87	0.0144291	0.0135023	0.0110501	0.0182995	0.0440668	0.180471	0.718181
</S>	0.0385682	0.0396661	0.031658	0.0407944	0.0770114	0.228068	0.544234
