 	ils	ont	beaucoup	d'	amitié	l'	un	pour	l'	autre	</S>
a23	0.142956	0.126809	0.127729	0.112802	0.0750837	0.0637371	0.0710128	0.0647418	0.0670919	0.073584	0.0744523
a87	0.157396	0.110244	0.0837802	0.0859623	0.0604847	0.068426	0.0847109	0.0852456	0.0892853	0.0824969	0.0919679
a23	0.182766	0.121859	0.0809523	0.0825737	0.0598945	0.0728184	0.0903686	0.0820618	0.0777307	0.0692411	0.0797341
a54	0.214095	0.141751	0.0946835	0.0827279	0.0449049	0.0515356	0.0631975	0.0623279	0.0710432	0.075063	0.0986708
a30	0.358792	0.238612	0.149358	0.0943934	0.0431718	0.0342749	0.0288961	0.0174195	0.0136263	0.0109579	0.0104975
a14	0.232277	0.189582	0.161877	0.13673	0.083807	0.0698804	0.0561387	0.0307413	0.0192803	0.0107316	0.00895483
a66	0.218332	0.177701	0.145148	0.135538	0.095377	0.0874591	0.0681431	0.0363049	0.019317	0.00916515	0.00751436
a38	0.19821	0.1652	0.144262	0.139027	0.103983	0.0919249	0.0685351	0.0390597	0.0233604	0.013596	0.0128432
a26	0.177719	0.144928	0.124891	0.137002	0.113378	0.10282	0.083098	0.0531929	0.0317204	0.0165008	0.0147501
a35	0.171368	0.151903	0.135018	0.137757	0.114003	0.102272	0.0811198	0.0503622	0.0282924	0.014341	0.013564
a76	0.144313	0.13765	0.130876	0.137484	0.119862	0.117942	0.0929189	0.0557667	0.0330622	0.0164408	0.0136856
a35	0.150519	0.141677	0.135612	0.132402	0.107705	0.105827	0.0849353	0.0555616	0.0392809	0.0253149	0.0211653
a66	0.121509	0.117818	0.111789	0.122143	0.113472	0.120877	0.105359	0.0756093	0.0517922	0.031028	0.0286031
a35	0.0682901	0.0757593	0.0832549	0.112078	0.128976	0.135549	0.12667	0.101817	0.0721085	0.0461689	0.0493293
a94	0.0700466	0.0794759	0.0839019	0.114208	0.125653	0.138429	0.128079	0.0972803	0.0693923	0.0463937	0.0471404
a20	0.0645416	0.0730217	0.0756527	0.0922395	0.102179	0.115879	0.118419	0.110669	0.0957866	0.0733757	0.0782363
a30	0.0477173	0.0532663	0.055651	0.0748303	0.0917832	0.105749	0.11367	0.112279	0.108852	0.110194	0.126007
a35	0.0346518	0.0379614	0.039155	0.0564296	0.0737234	0.0891079	0.104337	0.119464	0.130147	0.14038	0.174643
a66	0.0352339	0.0367912	0.035779	0.0471263	0.0622828	0.0740506	0.0877591	0.112406	0.126018	0.156905	0.225648
a38	0.0226556	0.024178	0.024228	0.0313815	0.0433704	0.0570742	0.0740384	0.110616	0.14416	0.189821	0.278476
a54	0.0150246	0.018785	0.0219292	0.030268	0.044764	0.0574475	0.0743203	0.112627	0.146482	0.193344	0.285008
a73	0.0183064	0.025073	0.0276709	0.0385769	0.0508026	0.0582304	0.0713081	0.109557	0.145472	0.190398	0.264605
a44	0.00956773	0.0130475	0.0145769	0.0201366	0.0248018	0.0317148	0.0407958	0.0749355	0.136996	0.257892	0.375536
a13	0.00818688	0.00970764	0.0103991	0.014534	0.0174802	0.0267694	0.0355355	0.0635126	0.120479	0.261612	0.431783
a38	0.0100465	0.0105913	0.0103373	0.0150358	0.0178737	0.0296243	0.0373079	0.0601562	0.108804	0.249967	0.450256
a20	0.0143248	0.0130128	0.0105997	0.0147934	0.0160207	0.0244761	0.0313601	0.0505952	0.0950467	0.244688	0.485083
a7	0.0168217	0.0163936	0.0134908	0.0207651	0.0223749	0.0342726	0.0458873	0.0684235	0.114086	0.240269	0.407216
a57	0.0126299	0.012374	0.0104617	0.0165659	0.0209923	0.0352894	0.0464002	0.0709822	0.116	0.241619	0.416685
a87	0.0361744	0.028492	0.0162734	0.0208123	0.0221761	0.0354963	0.0481553	0.0675828	0.111052	0.2208	0.392985
a23	0.0375952	0.0363391	0.0216873	0.0262634	0.0203633	0.0234529	0.0321745	0.0563114	0.107852	0.226674	0.411286
a87	0.11525	0.103534	0.0647648	0.0678792	0.0479307	0.0415844	0.0449299	0.0605827	0.0920122	0.143204	0.218328
</S>	0.0343915	0.0383403	0.0288993	0.0425005	0.0378976	0.0358005	0.0468903	0.0789063	0.125006	0.20307	0.328297
