 	c'	est	son	père	qui	l'	avait	initié	à	ce	culte	mystique	</S>
a66	0.210373	0.160774	0.117206	0.118837	0.098813	0.0817572	0.0679092	0.0621877	0.0456919	0.0171408	0.0102446	0.00536279	0.00370288
a87	0.306979	0.13082	0.0634944	0.0432669	0.0421251	0.0509247	0.0615688	0.0694237	0.0567519	0.0373817	0.0349541	0.0495719	0.0527375
a97	0.137088	0.0805376	0.0575636	0.0442489	0.0479807	0.0647753	0.0932225	0.126724	0.113873	0.0758723	0.0388654	0.0546824	0.0645659
a3	0.13417	0.0813185	0.0541957	0.0419504	0.0514121	0.0716245	0.114206	0.148453	0.116904	0.0702104	0.0439204	0.0358383	0.0357966
a30	0.129209	0.0775081	0.0550618	0.0459563	0.0576527	0.0752946	0.105986	0.133804	0.114018	0.0761244	0.0504297	0.0397008	0.0392542
a93	0.180855	0.108864	0.0784291	0.0636446	0.0733181	0.0742918	0.0848196	0.0980378	0.0844297	0.0540098	0.0396862	0.030602	0.0290118
a13	0.269706	0.239727	0.141623	0.0871353	0.0711092	0.0563312	0.0424063	0.0368527	0.0262719	0.0122047	0.0069836	0.00526007	0.00439025
a11	0.221338	0.221758	0.139446	0.0996903	0.0822536	0.073651	0.0517735	0.0457307	0.0294343	0.0149865	0.00853486	0.00507827	0.0063249
a47	0.202157	0.199612	0.142282	0.115523	0.0925974	0.0789111	0.0540679	0.0471269	0.0306152	0.0149505	0.00911176	0.0058259	0.00721946
a12	0.164945	0.164816	0.115686	0.100517	0.0893994	0.0930304	0.0799951	0.0719391	0.0444536	0.0283813	0.0184041	0.0129603	0.0154723
a47	0.122963	0.139851	0.129574	0.129673	0.107343	0.105555	0.0864792	0.0756477	0.0482609	0.0232628	0.0135708	0.00811109	0.00970801
a62	0.071358	0.0920962	0.102137	0.122146	0.11376	0.128872	0.115039	0.103079	0.0706252	0.0363348	0.0221221	0.0105758	0.0118548
a0	0.0738112	0.0938312	0.11322	0.132793	0.118734	0.127074	0.109339	0.0967681	0.0634587	0.0305296	0.0168651	0.0103411	0.0132356
a93	0.0432192	0.050071	0.0720604	0.0899309	0.0976176	0.126229	0.133057	0.125667	0.0903251	0.0596741	0.0392584	0.033546	0.0393437
a90	0.0546363	0.0680221	0.093498	0.116719	0.106583	0.120898	0.109879	0.101899	0.0810099	0.0571312	0.0365105	0.0242624	0.0289527
a56	0.0216278	0.0299811	0.055466	0.0911335	0.0992801	0.129617	0.132306	0.128481	0.0988945	0.0688325	0.0520369	0.0445547	0.0477888
a75	0.0230628	0.0288337	0.0504316	0.0843134	0.0889967	0.120372	0.129251	0.12851	0.102255	0.0824355	0.059667	0.0506053	0.0512665
a92	0.00784736	0.0116112	0.0262358	0.0578034	0.0697327	0.101038	0.121641	0.130234	0.100116	0.0859507	0.0811326	0.100625	0.106032
a37	0.00634374	0.0088347	0.0184853	0.0434178	0.0556025	0.0879581	0.115122	0.126662	0.0958703	0.0869736	0.0875287	0.125673	0.141529
a92	0.007264	0.00826886	0.0152188	0.0331247	0.0467033	0.0795215	0.108747	0.11664	0.103946	0.112036	0.104431	0.127896	0.136204
a37	0.00346947	0.00451414	0.00904362	0.0205254	0.0293447	0.0497964	0.0802878	0.0964708	0.0875102	0.101617	0.107304	0.181256	0.22886
a56	0.00262194	0.00284969	0.00496325	0.0100124	0.0152187	0.027964	0.047967	0.0569933	0.0622118	0.104621	0.144695	0.252859	0.267023
a93	0.00301028	0.00329598	0.00527245	0.0101432	0.0150408	0.0248549	0.0421597	0.0519772	0.0555253	0.0921653	0.137864	0.269762	0.288928
a4	0.00126968	0.00126425	0.00196248	0.00355464	0.00577941	0.0107578	0.0187865	0.0229965	0.0268598	0.0587377	0.117732	0.361345	0.368954
a54	0.000534721	0.00052847	0.000822863	0.00149722	0.00280272	0.00544838	0.00988943	0.0127513	0.0150982	0.038633	0.0931625	0.391322	0.427509
a85	0.000200469	0.000204618	0.000367424	0.000718937	0.00149299	0.00319798	0.00634517	0.00886031	0.0103904	0.0325424	0.092405	0.377715	0.465559
a92	0.000171822	0.000190804	0.000389213	0.000912012	0.00168547	0.00321958	0.00567788	0.00730636	0.00849389	0.0235234	0.0704097	0.358003	0.520017
a37	0.000272795	0.000287145	0.000513254	0.00104004	0.00183154	0.00315301	0.00538535	0.0073407	0.0081716	0.0212275	0.0588804	0.382361	0.509536
a75	0.000218113	0.000171174	0.000246423	0.00038207	0.000614853	0.00114136	0.00200102	0.00272286	0.00344042	0.0118222	0.0496975	0.408216	0.519326
a5	9.00113e-05	8.42569e-05	0.000144895	0.000303546	0.000579171	0.00118512	0.00215417	0.00290709	0.0033797	0.0110625	0.0441391	0.388936	0.545035
a36	0.000195772	0.000177687	0.000259238	0.000416962	0.000607197	0.00112138	0.00182047	0.00231868	0.00282272	0.00988931	0.0402878	0.387359	0.552724
a75	0.00029328	0.000210903	0.000273344	0.000396511	0.000551782	0.00105324	0.00206616	0.00294889	0.00351362	0.0124075	0.0441998	0.386729	0.545356
a47	9.26566e-05	7.69975e-05	0.000110812	0.000175161	0.000261572	0.00055361	0.00108748	0.00158291	0.00204727	0.0082242	0.040674	0.414954	0.530159
a36	0.000264822	0.000204313	0.000261463	0.000378195	0.000444474	0.000754844	0.00134072	0.00203052	0.00255363	0.013556	0.068908	0.448219	0.461084
a2	0.0156654	0.00810847	0.00602633	0.00610178	0.00610038	0.0065498	0.00783452	0.00962242	0.011268	0.0327332	0.0958583	0.390798	0.403334
a57	0.0526258	0.0330441	0.0244365	0.0238538	0.020704	0.0200232	0.0179032	0.0168965	0.0203636	0.0383516	0.0907014	0.320795	0.320302
a97	0.0589823	0.0261796	0.0156564	0.0126315	0.0107182	0.0116068	0.0140088	0.0162013	0.02213	0.0419182	0.0777788	0.345157	0.347031
a3	0.0850659	0.0324221	0.0184864	0.0142304	0.0125579	0.0146195	0.0219933	0.0284111	0.0378049	0.06176	0.106356	0.286914	0.279379
a97	0.0382621	0.0162708	0.0105753	0.00892634	0.00910753	0.0139482	0.0294492	0.0430999	0.058586	0.0946741	0.136896	0.280881	0.259324
</S>	0.0345568	0.0155543	0.00990414	0.00851609	0.00998529	0.0185061	0.0407373	0.0571191	0.0674596	0.0981275	0.13292	0.261267	0.245347
