 	le	sac	de	papa	est	ouvert	</S>
a66	0.254798	0.194682	0.173833	0.218077	0.11086	0.029467	0.0182831
a87	0.40613	0.280768	0.196521	0.0733582	0.0249888	0.00898251	0.00925169
a23	0.537318	0.285192	0.136801	0.0266967	0.00694006	0.00292392	0.00412886
a18	0.486367	0.332317	0.125234	0.0195847	0.00914667	0.0111226	0.0162279
a70	0.463962	0.307051	0.117751	0.0239821	0.0189594	0.0261283	0.0421663
a83	0.310322	0.254552	0.169708	0.139272	0.0733302	0.0317605	0.0210548
a5	0.16199	0.21481	0.229944	0.186496	0.122077	0.0587753	0.0259074
a37	0.105288	0.167906	0.215469	0.201855	0.171884	0.0983229	0.0392748
a5	0.0956825	0.162087	0.178007	0.174782	0.187251	0.128432	0.073758
a6	0.078423	0.139979	0.183134	0.212148	0.200625	0.112305	0.0733854
a5	0.048648	0.0849102	0.144482	0.231024	0.224239	0.144295	0.122402
a36	0.103765	0.131878	0.183047	0.24563	0.144711	0.0934523	0.0975177
a21	0.0714365	0.0642786	0.0774112	0.229602	0.198239	0.155973	0.20306
a61	0.0551471	0.0693267	0.0798691	0.212761	0.198279	0.159673	0.224944
a47	0.0305049	0.0412907	0.0470362	0.12572	0.200866	0.226564	0.328018
a83	0.0313107	0.0399938	0.0456251	0.127478	0.203403	0.230586	0.321603
a11	0.0189475	0.0181459	0.0191135	0.0489624	0.120935	0.296676	0.47722
a96	0.0117076	0.00741888	0.00788142	0.0154131	0.0394174	0.246014	0.672148
a90	0.00531996	0.00315246	0.0033519	0.00719544	0.0201968	0.191989	0.768795
a44	0.000868537	0.000648043	0.000792192	0.0026927	0.0106743	0.155015	0.82931
a4	0.000499975	0.000372112	0.000465648	0.00168478	0.00776803	0.131581	0.857629
a70	0.000605419	0.000458875	0.000547862	0.00226543	0.0103081	0.134494	0.85132
a66	0.000665398	0.000510218	0.000566961	0.00208264	0.00949855	0.116003	0.870674
a44	0.00419009	0.00244334	0.00300355	0.00953635	0.0259658	0.142099	0.812762
a26	0.00151608	0.000837512	0.00114987	0.00468709	0.0200518	0.136205	0.835553
a82	0.0138824	0.00708601	0.0089529	0.0221285	0.04016	0.154277	0.753513
a87	0.170016	0.0815271	0.0623728	0.0606883	0.0602659	0.131882	0.433248
a23	0.348583	0.234365	0.171616	0.0917741	0.0478304	0.042461	0.0633702
a87	0.437737	0.193544	0.127106	0.0534791	0.0391794	0.0642127	0.0847419
</S>	0.0751144	0.0463312	0.0455674	0.0325114	0.0524219	0.239521	0.508533
