 	j'	ai	tenté	ma	chance	si	je	peut	jouer	au	foot	avec	les	autres	</S>
a66	0.147216	0.103946	0.0761154	0.0691418	0.136123	0.112108	0.121444	0.0773552	0.0498271	0.0274967	0.0176742	0.014633	0.0156486	0.0159908	0.01528
a87	0.296916	0.214471	0.105331	0.0814	0.0420202	0.0182778	0.0252808	0.0207646	0.0299695	0.0289996	0.0319826	0.0260729	0.0250141	0.0270745	0.0264255
a23	0.37371	0.257044	0.133193	0.072064	0.0449641	0.0160943	0.0184239	0.0096917	0.0130134	0.0122292	0.0128825	0.0083202	0.00903433	0.0102139	0.0091215
a99	0.324457	0.245924	0.131288	0.0564842	0.0259969	0.0107451	0.011311	0.00868991	0.015569	0.0243795	0.0372246	0.0249239	0.0258301	0.0292288	0.0279481
a18	0.299916	0.213216	0.111639	0.0781606	0.0510509	0.0262685	0.0244677	0.0161797	0.0273689	0.0323241	0.0228248	0.0169397	0.0185876	0.0284106	0.0326455
a31	0.321735	0.19114	0.136906	0.0973827	0.0719024	0.026851	0.0215235	0.0109012	0.0203374	0.026628	0.0215767	0.0131899	0.0128266	0.013829	0.0132705
a24	0.195375	0.245063	0.280964	0.134127	0.0538339	0.020015	0.0126566	0.00510438	0.0094679	0.0151216	0.00972169	0.00549948	0.00504038	0.00431499	0.00369481
a61	0.156268	0.192138	0.2233	0.151554	0.0647565	0.030552	0.0225809	0.0130409	0.021412	0.0366665	0.0253426	0.0162522	0.0159515	0.0160159	0.014169
a47	0.128523	0.172648	0.207238	0.165817	0.0832468	0.0438482	0.0319696	0.0175443	0.0243118	0.0386895	0.0237895	0.0156538	0.015337	0.0166272	0.0147555
a62	0.120401	0.159663	0.170442	0.15677	0.108019	0.0676623	0.0556006	0.028842	0.0253164	0.0306523	0.0184218	0.013097	0.0123868	0.0165695	0.016156
a61	0.0794907	0.114474	0.108967	0.154114	0.127736	0.0999942	0.0874393	0.0473222	0.0362002	0.0409134	0.0223351	0.0164244	0.0173361	0.0236616	0.0235926
a75	0.0678071	0.0908751	0.0794305	0.1282	0.135982	0.127188	0.123033	0.0693896	0.0422454	0.0391625	0.0213248	0.015795	0.0162419	0.0214901	0.0218354
a56	0.0388037	0.0480362	0.0413666	0.100242	0.12467	0.121514	0.133312	0.0988566	0.0581771	0.0514231	0.0368512	0.028605	0.0284219	0.0429973	0.0467228
a93	0.0306832	0.0369712	0.0304151	0.0748806	0.135518	0.153583	0.173414	0.117719	0.054878	0.0399726	0.0277871	0.0244081	0.0263868	0.0356494	0.0377337
a90	0.0259926	0.0287174	0.0230777	0.0655141	0.117672	0.134039	0.150504	0.125277	0.0642226	0.0467698	0.0375969	0.0336735	0.0380934	0.0525921	0.0562579
a98	0.0136236	0.0140402	0.0116746	0.0381416	0.0818026	0.115556	0.124561	0.140926	0.0939781	0.0629024	0.0523472	0.0499659	0.0515111	0.0703017	0.078668
a85	0.00689822	0.00664559	0.00464427	0.0158687	0.060225	0.134325	0.116408	0.137004	0.0755985	0.0498606	0.0563493	0.0602539	0.0635438	0.0946741	0.117701
a5	0.00345219	0.00305894	0.0025066	0.00740823	0.0303027	0.0875955	0.0829692	0.118319	0.079668	0.0625291	0.0637148	0.0786214	0.089375	0.12728	0.163199
a47	0.00332423	0.00246982	0.0024451	0.00622424	0.0230025	0.0745078	0.0893256	0.151478	0.0779201	0.054457	0.054627	0.0757455	0.0953228	0.13693	0.15222
a96	0.00458484	0.00345737	0.0026503	0.00747423	0.0233272	0.070842	0.0734719	0.129387	0.0728673	0.0540397	0.0560372	0.0748228	0.100852	0.151575	0.17461
a62	0.00337213	0.00217415	0.00175381	0.00356761	0.00951042	0.0273987	0.0332018	0.0723629	0.0530429	0.0471733	0.0674864	0.105315	0.143683	0.204588	0.225369
a21	0.00509934	0.00413654	0.00325439	0.00533676	0.0116041	0.0247523	0.0289621	0.0533712	0.0433029	0.0368672	0.0518145	0.0904526	0.159672	0.240043	0.241331
a5	0.00262055	0.00164256	0.0013837	0.00177375	0.00410687	0.00972055	0.0106568	0.0246974	0.0271254	0.038031	0.0541305	0.110151	0.211572	0.254573	0.247816
a31	0.000794686	0.000555018	0.000468955	0.000815838	0.0020276	0.00442072	0.00449202	0.0103244	0.0123011	0.0186212	0.0391776	0.0858063	0.182651	0.29701	0.340534
a96	0.0042742	0.00310392	0.00160001	0.00193152	0.0047678	0.0107993	0.0110536	0.0145496	0.012613	0.0104562	0.0125393	0.0437436	0.119274	0.290611	0.458683
a75	0.00134071	0.000894489	0.000595351	0.0010936	0.00270286	0.00614415	0.00661934	0.0118973	0.0143709	0.0143584	0.0215209	0.0504112	0.125478	0.302918	0.439655
a5	0.000182493	0.000121923	9.48653e-05	0.000260818	0.000710704	0.00194057	0.00178659	0.00476287	0.00694042	0.0132638	0.0291221	0.0675155	0.165813	0.302814	0.404671
a85	0.000280081	0.000187258	0.000128861	0.000286029	0.000736217	0.00192342	0.00181972	0.00421377	0.00521543	0.00818919	0.0224521	0.053755	0.130889	0.31339	0.456535
a6	8.6538e-05	5.90176e-05	3.91073e-05	0.000103848	0.000278254	0.000898178	0.000806211	0.00249039	0.00378506	0.00885767	0.022259	0.0550459	0.147574	0.308422	0.449294
a36	6.97639e-05	4.44479e-05	3.36346e-05	8.24078e-05	0.000202757	0.00066036	0.000689255	0.00232037	0.00414728	0.00858883	0.0223015	0.0563216	0.145136	0.306893	0.452509
a61	0.000747026	0.000486392	0.000284712	0.000356881	0.000613292	0.00186291	0.00160598	0.00334026	0.00568697	0.00844305	0.0218748	0.0534522	0.116276	0.293278	0.491692
a5	0.000602583	0.000471213	0.000272956	0.000519076	0.00106695	0.00230934	0.00249392	0.00535633	0.00928034	0.014709	0.0282076	0.0703191	0.133042	0.273559	0.45779
a36	0.000582602	0.000502164	0.000340404	0.000574374	0.00112914	0.0025345	0.00279098	0.00638641	0.0121628	0.0210172	0.0337135	0.0724391	0.119767	0.260155	0.465905
a27	0.0118649	0.00843691	0.00541921	0.00637824	0.00933024	0.0217207	0.021209	0.0389116	0.0589274	0.0583553	0.0473153	0.0829289	0.112881	0.206161	0.31016
a30	0.0845371	0.0421065	0.0261041	0.0212824	0.0243506	0.0498925	0.0494925	0.0897457	0.087988	0.0700621	0.0703653	0.0731074	0.0758046	0.101575	0.133586
a87	0.265309	0.128417	0.0598491	0.0469041	0.0355331	0.041803	0.0425013	0.0561063	0.053376	0.0472476	0.048741	0.0392857	0.0382689	0.0450641	0.0515941
</S>	0.208897	0.136797	0.0574215	0.0391352	0.0357163	0.0385096	0.0439341	0.0621915	0.0500604	0.0398055	0.0438433	0.0375761	0.0513562	0.0738086	0.0809477
