 	j'	ai	juré	au	nom	ma	mère	</S>
a66	0.243206	0.167314	0.10163	0.0983749	0.187076	0.092501	0.0576002	0.0522982
a87	0.298618	0.119293	0.0661461	0.109043	0.182813	0.0898856	0.0669131	0.067288
a99	0.432165	0.271622	0.129943	0.0685957	0.0305212	0.0180184	0.0223433	0.0267908
a83	0.472343	0.297999	0.125004	0.05166	0.0153723	0.00959473	0.0135442	0.0144826
a11	0.416911	0.244231	0.154685	0.0729627	0.0362087	0.0226798	0.0255955	0.0267266
a31	0.265079	0.248702	0.215988	0.123002	0.0611007	0.0260901	0.0293543	0.0306833
a47	0.178443	0.207334	0.221344	0.214101	0.0921385	0.0294857	0.0271374	0.0300162
a21	0.0957636	0.132177	0.205058	0.237688	0.148098	0.0540571	0.0555805	0.0715774
a92	0.1151	0.157367	0.220064	0.267955	0.174455	0.0281088	0.0170491	0.0199009
a21	0.0968615	0.115528	0.163512	0.267499	0.237339	0.0512001	0.0315633	0.0364973
a96	0.11678	0.127012	0.145912	0.251892	0.216	0.0631642	0.0378518	0.0413893
a90	0.0443657	0.0496267	0.0693938	0.236533	0.27157	0.13208	0.0935948	0.102836
a25	0.0260512	0.0259496	0.0328349	0.154066	0.267537	0.189556	0.146769	0.157236
a92	0.00629332	0.00720493	0.011704	0.0507715	0.148025	0.243444	0.252662	0.279895
a85	0.00585675	0.00584896	0.00678248	0.0224604	0.0775596	0.214255	0.321355	0.345882
a92	0.00155779	0.00168269	0.00205193	0.00821785	0.0671917	0.22925	0.314997	0.375051
a37	0.00117361	0.00109805	0.00121043	0.00464474	0.0500109	0.192116	0.329536	0.420209
a93	0.000782685	0.000518521	0.000504724	0.0019452	0.0222726	0.118055	0.305923	0.549998
a13	0.000481024	0.000258327	0.000194404	0.000794994	0.00991516	0.0955672	0.322149	0.570639
a3	0.000242126	0.00013086	0.000116342	0.000470994	0.00589051	0.0829202	0.363907	0.546322
a87	0.014664	0.00908038	0.00849175	0.0151199	0.0470766	0.137621	0.313548	0.454399
a23	0.160828	0.10141	0.0488917	0.0689397	0.0910438	0.142063	0.197216	0.189609
a87	0.0413686	0.0248662	0.0126334	0.00990124	0.0134261	0.073279	0.304441	0.520085
a97	0.0112128	0.00768361	0.00460342	0.00339788	0.00894038	0.0643976	0.313076	0.586688
</S>	0.0485675	0.031109	0.0192496	0.0173276	0.0316469	0.0816539	0.286727	0.483718
