 	konzo	est	une	tubercule	de	manioc	sucrée	</S>
a66	0.355766	0.167965	0.0924659	0.0713652	0.0532115	0.0683971	0.105224	0.0856052
a87	0.304336	0.20459	0.132049	0.133596	0.0878134	0.063755	0.0462274	0.0276333
a23	0.299043	0.220027	0.17189	0.143244	0.0725682	0.0412989	0.0319135	0.0200164
a53	0.137518	0.167609	0.192655	0.28888	0.0966214	0.0475739	0.0392944	0.0298478
a94	0.236219	0.261365	0.196428	0.23341	0.0452665	0.0160682	0.00722354	0.00401983
a75	0.33298	0.254876	0.180179	0.159642	0.0402791	0.0207932	0.00742576	0.00382415
a5	0.250597	0.226027	0.177551	0.180775	0.0861531	0.0487738	0.018827	0.0112956
a21	0.0768226	0.0601505	0.055398	0.0803959	0.160219	0.199853	0.222512	0.14465
a41	0.0230287	0.0173887	0.0212644	0.0473346	0.102476	0.171279	0.319708	0.297521
a21	0.00323179	0.00304422	0.00574038	0.0204721	0.0633556	0.159929	0.368917	0.37531
a12	0.00111571	0.00126127	0.00230638	0.00798793	0.0210404	0.0658843	0.2893	0.611104
a62	0.000236856	0.000280866	0.000494587	0.00147345	0.00629722	0.0326199	0.308648	0.649949
a98	0.000773918	0.000857476	0.00134955	0.00305309	0.00970238	0.0328377	0.278574	0.672851
a71	0.00221851	0.00239434	0.00374051	0.00822583	0.0194517	0.046306	0.271693	0.64597
a9	0.00880652	0.00983316	0.0152262	0.0290979	0.0613052	0.116071	0.28202	0.477639
a10	0.12183	0.0841445	0.0687966	0.095893	0.0859132	0.112341	0.189043	0.242039
a87	0.278097	0.164224	0.0953669	0.115195	0.075566	0.065809	0.081999	0.123743
a23	0.191997	0.109131	0.0684806	0.0970627	0.0870207	0.0886191	0.151018	0.206671
a9	0.0190855	0.0166286	0.0205028	0.0280334	0.0640936	0.0903368	0.28567	0.475649
a87	0.00392727	0.00438978	0.00732621	0.016129	0.0579946	0.100824	0.287594	0.521815
a97	0.00508433	0.00597847	0.0108392	0.0258534	0.0718701	0.105855	0.31469	0.459831
</S>	0.00785006	0.00809601	0.0129635	0.0314619	0.0878795	0.139954	0.298747	0.413048
