 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
a23	0.244449	0.317998	0.101157	0.0726089	0.0557756	0.0393153	0.0330724	0.0409189	0.0436778	0.0510267
a85	0.326912	0.205857	0.127929	0.0700093	0.0460918	0.0363349	0.0331296	0.0364296	0.0497316	0.067575
a87	0.235299	0.304406	0.13404	0.0577068	0.0334473	0.0236567	0.02774	0.0365263	0.0594703	0.0877078
a23	0.15295	0.210206	0.138703	0.0879406	0.0533647	0.042435	0.0503205	0.0611338	0.0853881	0.117559
a10	0.141814	0.202722	0.0927933	0.0499004	0.0329518	0.0321747	0.0482057	0.0744114	0.121321	0.203706
a87	0.22886	0.358541	0.105819	0.0442757	0.0245017	0.0205361	0.0276581	0.0415286	0.0579857	0.0902948
a23	0.168744	0.272106	0.0999122	0.0596042	0.0381845	0.0325727	0.0409508	0.0571964	0.08524	0.145489
a20	0.132123	0.215294	0.0708413	0.0423373	0.0324198	0.0332612	0.0528196	0.0867991	0.127668	0.206436
a73	0.268491	0.442285	0.102989	0.049185	0.0389037	0.029244	0.0225633	0.016888	0.0140132	0.015438
a26	0.192964	0.263991	0.172123	0.126214	0.089653	0.0640346	0.0421813	0.0224039	0.0146604	0.0117746
a24	0.162019	0.219655	0.157431	0.156644	0.122608	0.0785684	0.0438778	0.0246038	0.0185583	0.0160348
a41	0.144145	0.18677	0.189032	0.164533	0.124721	0.084024	0.0486224	0.0252247	0.0180902	0.0148374
a94	0.118642	0.160271	0.217888	0.166569	0.121033	0.0842521	0.0549498	0.0318182	0.0239193	0.0206565
a76	0.0701601	0.0956803	0.189224	0.205312	0.161984	0.106122	0.0638744	0.0381406	0.0343489	0.0351541
a94	0.0802707	0.110508	0.203052	0.178322	0.136002	0.0966759	0.0692352	0.0462086	0.0404662	0.039259
a41	0.0765389	0.105359	0.168223	0.169232	0.138613	0.0946231	0.0714202	0.0550024	0.0562049	0.0647832
a35	0.0651238	0.0765841	0.142576	0.172622	0.140155	0.0996487	0.0811248	0.0653938	0.0709028	0.0858686
a41	0.0701438	0.0873446	0.125966	0.166906	0.141114	0.0980029	0.0795032	0.0671823	0.0744619	0.0893746
a35	0.0511468	0.0612014	0.0914384	0.135344	0.120707	0.0984993	0.0999066	0.100568	0.113156	0.128033
a24	0.0435466	0.0540512	0.0624209	0.106607	0.107199	0.0964626	0.110765	0.121701	0.140438	0.156809
a32	0.029079	0.0359121	0.0413122	0.0921389	0.121807	0.121279	0.130416	0.128058	0.143137	0.15686
a38	0.021129	0.0240276	0.028353	0.0746718	0.124585	0.140367	0.152223	0.129801	0.142523	0.162321
a75	0.0267115	0.0328801	0.0370705	0.0825683	0.10963	0.107705	0.121191	0.128461	0.16553	0.188253
a85	0.0357459	0.0435355	0.0341349	0.061478	0.0800291	0.0810954	0.0938002	0.122854	0.193193	0.254135
a75	0.0228986	0.0267226	0.0227856	0.0472526	0.0656409	0.0745612	0.0955381	0.138241	0.221551	0.284808
a41	0.0268025	0.0328846	0.0234112	0.0472508	0.0730117	0.0895522	0.106699	0.133145	0.20004	0.267203
a37	0.0239447	0.026663	0.0239997	0.0467721	0.0788036	0.102533	0.119982	0.144033	0.194528	0.238741
