 	le	comprimé	est	déjà	avalé	</S>
a66	0.571574	0.16493	0.0934098	0.0940186	0.0474052	0.0286628
a87	0.306738	0.203071	0.207726	0.145981	0.0903234	0.0461594
a23	0.555223	0.283081	0.0717596	0.0340527	0.0306882	0.0251955
a24	0.422071	0.300628	0.135672	0.0618185	0.0428088	0.0370017
a31	0.37274	0.178166	0.108531	0.0983603	0.109421	0.132781
a24	0.275856	0.307565	0.180656	0.103786	0.0867652	0.0453715
a75	0.147059	0.325617	0.244249	0.136854	0.0947674	0.0514533
a85	0.207371	0.34132	0.225154	0.120332	0.0736077	0.0322148
a6	0.164043	0.314436	0.21515	0.135237	0.107757	0.0633762
a56	0.21497	0.204882	0.202931	0.167764	0.12719	0.082264
a93	0.178982	0.150642	0.188112	0.205975	0.15462	0.121668
a94	0.111185	0.096598	0.157467	0.257095	0.221723	0.155932
a61	0.042415	0.0318596	0.0719136	0.247436	0.296094	0.310282
a21	0.0195833	0.0127544	0.0232679	0.107776	0.319596	0.517022
a5	0.0171622	0.0120029	0.0174948	0.0651198	0.274266	0.613955
a61	0.00604455	0.0051611	0.00928424	0.0344268	0.176267	0.768817
a75	0.00349775	0.0024918	0.00560334	0.0239766	0.143944	0.820487
a6	0.00102151	0.00127686	0.00325955	0.0175074	0.12257	0.854365
a0	0.000742706	0.000819686	0.00204616	0.0137877	0.111177	0.871426
a27	0.010504	0.0135695	0.0199601	0.0524626	0.239595	0.663908
a57	0.129097	0.0860073	0.0787979	0.119968	0.232386	0.353744
a87	0.335313	0.152959	0.074886	0.0955746	0.158657	0.182611
a23	0.443774	0.303196	0.0897438	0.0592368	0.0619368	0.042112
a87	0.278343	0.162326	0.0953522	0.0886305	0.134095	0.241254
</S>	0.0795458	0.0492893	0.0383001	0.0621688	0.203579	0.567117
