 	les	vieillards	perdent	leur	mémoire	</S>
a82	0.385574	0.159679	0.0631522	0.11676	0.146051	0.128784
a10	0.307745	0.171292	0.167133	0.150478	0.114115	0.0892362
a9	0.426045	0.412217	0.0782326	0.0367452	0.0249375	0.0218226
a82	0.488315	0.399683	0.0563839	0.0230091	0.0160081	0.0166011
a9	0.508484	0.396514	0.0488194	0.0202953	0.013916	0.011971
a83	0.497214	0.404071	0.0612686	0.0182226	0.0111098	0.00811443
a50	0.345788	0.395594	0.176268	0.0393386	0.0237924	0.0192176
a88	0.412172	0.193246	0.156093	0.0789738	0.0699079	0.0896069
a61	0.307884	0.1975	0.205589	0.106789	0.0855719	0.0966654
a75	0.27866	0.194258	0.206653	0.130977	0.0973218	0.0921308
a96	0.207862	0.143984	0.231398	0.177091	0.131092	0.108572
a61	0.181681	0.0940985	0.163869	0.194724	0.18353	0.182099
a21	0.125939	0.0609884	0.12946	0.236683	0.224094	0.222835
a61	0.103199	0.0346801	0.0698312	0.187967	0.266565	0.337758
a75	0.0465856	0.0122281	0.0362031	0.159048	0.29398	0.451955
a47	0.0161063	0.00414671	0.0136803	0.111467	0.340358	0.514241
a26	0.0137201	0.00388794	0.0154033	0.0951551	0.301861	0.569973
a57	0.0191944	0.00997267	0.020369	0.0792667	0.226135	0.645062
a3	0.15285	0.0913962	0.0574863	0.103546	0.190438	0.404283
a99	0.335503	0.183153	0.0578653	0.0767871	0.127592	0.219098
a97	0.309598	0.132049	0.0650596	0.0939283	0.156395	0.242971
a99	0.188494	0.0810942	0.0705081	0.109613	0.195611	0.35468
a97	0.151978	0.0598323	0.0660126	0.112929	0.213261	0.395987
a82	0.175817	0.0756669	0.0906041	0.126861	0.195033	0.336018
a10	0.185533	0.0871561	0.099619	0.141793	0.187682	0.298217
</S>	0.163017	0.0661172	0.0845995	0.123119	0.202384	0.360763
