 	mets	le	manioc	dans	le	tamis	</S>
a66	0.441579	0.219405	0.106213	0.094429	0.0630843	0.0329659	0.0423232
a87	0.211746	0.1507	0.184779	0.231638	0.131196	0.0574753	0.0324657
a23	0.453497	0.294161	0.0943694	0.0441881	0.0458357	0.0409574	0.0269908
a40	0.393456	0.33887	0.123636	0.0322701	0.0290033	0.0423107	0.0404536
a6	0.467401	0.305112	0.12137	0.0559761	0.0202802	0.0153672	0.0144933
a5	0.236225	0.234897	0.205757	0.134726	0.0686953	0.0679265	0.0517733
a12	0.210914	0.287172	0.280252	0.130251	0.0362086	0.0309337	0.0242692
a61	0.172518	0.261663	0.298632	0.155797	0.0418648	0.037739	0.0317866
a18	0.141208	0.179191	0.255532	0.199031	0.0824534	0.0785101	0.064075
a76	0.09027	0.0714835	0.0917511	0.105775	0.152151	0.257306	0.231263
a98	0.0483399	0.0401479	0.0697951	0.185401	0.248017	0.228509	0.17979
a41	0.00996244	0.0062806	0.0127472	0.0561654	0.172258	0.342734	0.399853
a75	0.00182736	0.000865723	0.00143877	0.00842696	0.0702885	0.310114	0.607039
a21	0.000918584	0.000479999	0.000779596	0.00384322	0.0383783	0.232029	0.723572
a12	0.00202503	0.00105552	0.00116337	0.00326833	0.0303278	0.195362	0.766798
a62	0.00122073	0.000934604	0.00140261	0.0059842	0.0698269	0.32861	0.592021
a47	0.00143153	0.00114661	0.0020749	0.0122611	0.089306	0.294011	0.599769
a62	0.00120133	0.000932637	0.00226888	0.0175972	0.0867776	0.261996	0.629226
a31	0.00407228	0.00372364	0.00753632	0.0357412	0.117551	0.266229	0.565147
a0	0.00262232	0.0023373	0.00555152	0.0314756	0.126405	0.277335	0.554273
a10	0.00385967	0.00296633	0.00682964	0.0314473	0.11945	0.281533	0.553913
a87	0.134878	0.0811312	0.0710403	0.0925301	0.118776	0.171467	0.330178
a23	0.436704	0.282584	0.120617	0.0573059	0.0354283	0.0293481	0.0380124
a87	0.146785	0.123577	0.0805114	0.0797479	0.150512	0.20512	0.213747
</S>	0.0106126	0.00685855	0.00561479	0.0132674	0.0987395	0.375119	0.489788
