 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
a23	0.392908	0.174189	0.079016	0.0483237	0.0338415	0.0209817	0.026716	0.0426373	0.0770634	0.104324
a87	0.291345	0.153971	0.10923	0.129572	0.106073	0.0513523	0.0386623	0.0371702	0.0389877	0.043637
a23	0.161571	0.122393	0.118791	0.128694	0.0848825	0.0727452	0.0650486	0.0696362	0.0813311	0.0949081
a20	0.187797	0.1219	0.0836472	0.0669802	0.0389051	0.031764	0.0423012	0.0659182	0.135508	0.225279
a73	0.493548	0.198531	0.0947398	0.04908	0.0223756	0.0232063	0.028232	0.0246403	0.0281899	0.0374573
a2	0.299847	0.249896	0.193776	0.114278	0.0658216	0.0269477	0.0174877	0.0121405	0.00964988	0.0101569
a75	0.207937	0.216343	0.208615	0.145094	0.089009	0.0435925	0.0261114	0.0208692	0.0191998	0.0232293
a41	0.171138	0.202071	0.222736	0.165701	0.111793	0.0424771	0.026889	0.0213063	0.0172982	0.018591
a32	0.174272	0.194426	0.203527	0.153347	0.128393	0.0533232	0.0361781	0.0244192	0.0168232	0.0152912
a90	0.138539	0.172767	0.221392	0.164328	0.13875	0.0626456	0.0345678	0.0239733	0.0208492	0.0221875
a94	0.127296	0.160017	0.212742	0.191583	0.152825	0.0593787	0.0310311	0.0219294	0.0190319	0.0241663
a35	0.123159	0.14674	0.197965	0.170319	0.139475	0.0695374	0.0422601	0.0334322	0.0328498	0.0442626
a94	0.117838	0.135748	0.18332	0.154382	0.10775	0.0679994	0.045256	0.0436555	0.0579444	0.086107
a57	0.0860676	0.102059	0.150046	0.135719	0.0910432	0.0854185	0.0655348	0.0690198	0.0938233	0.121269
a82	0.072706	0.0818078	0.135024	0.151986	0.0842706	0.090837	0.0716079	0.0869107	0.105608	0.119243
a87	0.0412619	0.048904	0.101503	0.142814	0.0942747	0.0989612	0.0830853	0.10024	0.126572	0.162383
a23	0.0333746	0.0387972	0.0793296	0.131197	0.0975836	0.133345	0.130949	0.119126	0.110208	0.126091
a24	0.0201055	0.0232952	0.0528736	0.0858529	0.0654944	0.153671	0.14334	0.143039	0.12389	0.188438
a9	0.0355251	0.0457285	0.0807348	0.0890048	0.0484701	0.0745488	0.0702208	0.0865276	0.166581	0.302659
a79	0.0211196	0.0276557	0.0508471	0.0596208	0.0306702	0.0508372	0.0537917	0.0891107	0.201663	0.414684
a76	0.0357577	0.0380968	0.0547871	0.0615573	0.037063	0.0680446	0.0640971	0.0987949	0.169783	0.372018
a94	0.0232586	0.0291089	0.0402982	0.0282367	0.0162937	0.0298144	0.0383768	0.0853122	0.213174	0.496127
a24	0.0128027	0.0149593	0.0227586	0.0181595	0.00918519	0.0172267	0.0249569	0.0673199	0.222639	0.589992
a32	0.0072065	0.0077834	0.0130478	0.0118111	0.0063573	0.0121845	0.0182522	0.0603501	0.231969	0.631038
a25	0.00775987	0.00844437	0.0138672	0.0122936	0.00678568	0.0136935	0.0206002	0.0635014	0.225567	0.627487
a27	0.00594446	0.00637853	0.00981265	0.00848367	0.00460798	0.00983357	0.0152249	0.0569227	0.216388	0.666404
a75	0.00373765	0.00344311	0.00539335	0.0064095	0.0040626	0.00914016	0.0144307	0.0496808	0.18037	0.723332
a73	0.0105303	0.0098364	0.0123375	0.00862723	0.00457269	0.00773165	0.0114452	0.041572	0.19041	0.702937
a84	0.00193843	0.00166159	0.00284889	0.00236051	0.000955466	0.00388295	0.00820894	0.0398282	0.189514	0.748801
a57	0.00402209	0.00283168	0.003737	0.00399597	0.00254704	0.00942864	0.0173034	0.0659555	0.209588	0.680591
a87	0.0112626	0.00531936	0.00522583	0.00558382	0.00367534	0.0181111	0.0323953	0.104143	0.238735	0.575548
</S>	0.00690074	0.00348116	0.00398036	0.00384475	0.00240384	0.0215254	0.0412081	0.10028	0.219231	0.597145
