 	le	forgeron	bat	le	fer	sur	l'	enclume	</S>
a23	0.443965	0.217612	0.100872	0.0500804	0.0363454	0.0404489	0.0369501	0.0326965	0.0410305
a87	0.318547	0.138953	0.057032	0.0690834	0.0876582	0.0783912	0.074118	0.0697168	0.106499
a23	0.185146	0.168767	0.101327	0.0947193	0.0977497	0.0789288	0.0541326	0.0642025	0.155027
a79	0.113951	0.0783873	0.0470096	0.0394599	0.0413406	0.0315375	0.0490173	0.138505	0.460791
a58	0.364907	0.223686	0.0460624	0.0221358	0.0221254	0.0218985	0.0298332	0.079197	0.190155
a57	0.418449	0.365388	0.10192	0.0376024	0.027559	0.0165673	0.00857264	0.00981282	0.0141288
a58	0.220767	0.303915	0.207888	0.098835	0.0645814	0.0350348	0.0153628	0.0219845	0.0316309
a4	0.125581	0.219664	0.185595	0.103549	0.0783096	0.0579293	0.0401309	0.0800282	0.109212
a20	0.158025	0.222927	0.162839	0.108197	0.0955665	0.0679596	0.0467261	0.0566547	0.0811051
a94	0.219137	0.250785	0.168858	0.109264	0.0835711	0.0624193	0.0413796	0.0320608	0.0325255
a20	0.201816	0.257339	0.184426	0.123535	0.0849886	0.0613261	0.0327317	0.027092	0.026745
a73	0.161786	0.206768	0.165313	0.142006	0.108839	0.087395	0.0529559	0.0382907	0.0366471
a26	0.153291	0.216419	0.192515	0.14591	0.110005	0.0801358	0.0450433	0.0300313	0.0266504
a75	0.107859	0.183433	0.160891	0.12337	0.105297	0.0870511	0.0672618	0.0805219	0.0843161
a41	0.0920187	0.146577	0.119604	0.118686	0.132676	0.125696	0.104494	0.0834812	0.0767668
a32	0.0862745	0.095041	0.0906011	0.111755	0.14386	0.151893	0.149042	0.0943961	0.0771379
a94	0.0722448	0.0749015	0.0695045	0.0800282	0.119428	0.157058	0.199975	0.118875	0.107985
a76	0.0647377	0.0769648	0.0610197	0.0520867	0.0706355	0.109651	0.193525	0.198526	0.172853
a73	0.0567333	0.0607411	0.0451071	0.0422274	0.0629463	0.091571	0.189636	0.217656	0.233382
a94	0.0172392	0.0181044	0.0195502	0.0247591	0.0471605	0.0859392	0.2182	0.284753	0.284295
a76	0.0225827	0.0236879	0.0194303	0.0184908	0.0316776	0.0488368	0.161705	0.341888	0.331701
a94	0.0188127	0.0164902	0.0172405	0.0243099	0.0465127	0.0711099	0.19131	0.320747	0.293467
a11	0.00961014	0.00741229	0.00689381	0.00909929	0.0201503	0.0287973	0.100658	0.335367	0.482011
a90	0.0130636	0.00985004	0.00701176	0.00622019	0.0124104	0.0195047	0.0905	0.310029	0.531411
a98	0.0109563	0.00875673	0.00651456	0.00666651	0.0130582	0.0193698	0.0800185	0.341495	0.513165
a66	0.00608135	0.00421586	0.00373158	0.00483787	0.00994627	0.0135261	0.0593584	0.29834	0.599962
a38	0.00767347	0.00499792	0.0036057	0.00462168	0.0102657	0.0140148	0.0582488	0.285614	0.610958
a13	0.00653358	0.00395038	0.00276727	0.00301724	0.00599632	0.00827727	0.044324	0.25249	0.672644
a9	0.00520787	0.00295895	0.00231456	0.00294769	0.00716162	0.0105317	0.058277	0.232843	0.677758
a87	0.00318584	0.00151495	0.00119458	0.00168215	0.00540729	0.00877259	0.0652125	0.237936	0.675094
</S>	0.00381146	0.00140869	0.00119063	0.00244438	0.00894233	0.0128754	0.0713225	0.25678	0.641224
