 	ce	fagot	dégage	de	la	fumée	car	il	est	déjà	rongé	par	les	termites	</S>
a66	0.0974646	0.119037	0.112255	0.112065	0.126537	0.110626	0.0807072	0.053279	0.0451479	0.0512567	0.0471427	0.0230072	0.0110082	0.00635923	0.004107
a87	0.147356	0.090112	0.0672725	0.076041	0.0919739	0.132894	0.0803141	0.0586818	0.0503067	0.0547295	0.0499023	0.0264535	0.0283748	0.0246732	0.0209141
a97	0.0675556	0.0890422	0.166872	0.127812	0.14825	0.194369	0.0614092	0.0371509	0.029138	0.0280366	0.0246885	0.0116436	0.00692966	0.00381018	0.0032934
a87	0.0566635	0.078734	0.194446	0.121173	0.16178	0.188524	0.0650763	0.0365401	0.0296915	0.0288679	0.020259	0.00824791	0.00427109	0.00250765	0.00321753
a23	0.0646993	0.083833	0.172847	0.128323	0.1448	0.142864	0.0708681	0.052265	0.0434342	0.040706	0.0292025	0.0125915	0.00622326	0.00336702	0.00397605
a83	0.0776756	0.104882	0.199524	0.127177	0.12286	0.121108	0.0461886	0.039869	0.0399024	0.0343534	0.0322636	0.0181261	0.0139189	0.0114957	0.0106561
a62	0.147355	0.156663	0.163494	0.108041	0.0859354	0.0668124	0.0297474	0.0247388	0.028382	0.0262764	0.0354558	0.028967	0.0461468	0.0336375	0.0183465
a47	0.16369	0.101379	0.123296	0.0931636	0.106783	0.106178	0.0450323	0.0297192	0.0287919	0.0283982	0.0379905	0.0336412	0.0451478	0.0363344	0.0204555
a61	0.0797454	0.0662525	0.128244	0.104553	0.151587	0.234185	0.0846824	0.0263906	0.0173675	0.0158344	0.0153956	0.0131315	0.0209657	0.0249472	0.0167182
a18	0.100354	0.0739847	0.108797	0.10061	0.141917	0.197224	0.0959327	0.0350336	0.0222435	0.0219727	0.0205952	0.0179036	0.0226026	0.0230483	0.0177815
a94	0.0694569	0.0646523	0.106714	0.0924767	0.121258	0.187405	0.0931719	0.0371793	0.0243537	0.0241324	0.0229727	0.0225858	0.0356169	0.0533554	0.0446696
a93	0.0680902	0.0576856	0.0954208	0.0942002	0.127978	0.216122	0.0909799	0.0333591	0.0208274	0.0209024	0.0202585	0.0218555	0.033698	0.0492113	0.0494113
a90	0.0748563	0.064537	0.0971828	0.112514	0.140304	0.181147	0.110654	0.0517988	0.0310631	0.0310404	0.0252067	0.0198541	0.0201163	0.0211198	0.0186052
a56	0.0574055	0.0604997	0.0969919	0.107049	0.139349	0.176428	0.11516	0.0587065	0.0379582	0.0370806	0.0280544	0.0197017	0.0189109	0.0246754	0.0220287
a12	0.0296792	0.0434781	0.0744888	0.0939516	0.131729	0.190214	0.131443	0.0804918	0.050777	0.0493913	0.0349429	0.0239564	0.0184372	0.0241073	0.0229134
a96	0.0207124	0.0333556	0.052997	0.0688198	0.102014	0.161609	0.138139	0.108037	0.0762656	0.0744499	0.0546154	0.0365239	0.0208363	0.0259655	0.0256596
a11	0.0128423	0.0260683	0.044275	0.0638939	0.09906	0.158442	0.148624	0.118265	0.0838265	0.0810613	0.0601061	0.0373682	0.0192717	0.0226511	0.0242442
a24	0.00742204	0.0278862	0.0606811	0.0909605	0.130876	0.177107	0.152244	0.100956	0.0660953	0.0568035	0.0356654	0.0214772	0.0147223	0.0259082	0.0311939
a47	0.00534126	0.0181005	0.0485393	0.0841028	0.133844	0.164325	0.151022	0.106455	0.0735711	0.0617833	0.0373356	0.0239094	0.018202	0.0357044	0.0377649
a31	0.00974235	0.0224629	0.0405069	0.0669576	0.104991	0.121249	0.145462	0.123189	0.0962238	0.0799615	0.058207	0.039104	0.0265712	0.0328525	0.0325193
a88	0.00549116	0.0102445	0.0200742	0.0350956	0.0589249	0.0970325	0.113911	0.114061	0.0976682	0.0944342	0.0783492	0.0621946	0.0591369	0.0826679	0.0707147
a71	0.00344276	0.00655266	0.0143077	0.0311262	0.0592478	0.109639	0.128662	0.115102	0.0955808	0.0885953	0.0687696	0.0533761	0.0526781	0.0878278	0.085091
a11	0.00269681	0.00797371	0.0195698	0.0398517	0.0750395	0.117749	0.141216	0.125169	0.104881	0.0859321	0.0491727	0.0405139	0.0345958	0.0719854	0.0836533
a94	0.00230419	0.00650169	0.0156449	0.0320798	0.0579341	0.0887245	0.118114	0.111395	0.0967425	0.082055	0.0496722	0.047597	0.0581625	0.121339	0.111734
a96	0.00220805	0.00624835	0.0142285	0.0269749	0.046382	0.0686765	0.111769	0.119448	0.106792	0.0854768	0.0472482	0.048682	0.0558045	0.127229	0.132832
a70	0.00160253	0.00356972	0.00789635	0.0153212	0.0266773	0.0445525	0.0779202	0.0856767	0.0776791	0.0690062	0.0461241	0.0538208	0.0947428	0.2045	0.190911
a90	0.00164868	0.00340722	0.00659263	0.0146594	0.0263779	0.043696	0.0760061	0.076892	0.0723638	0.0628671	0.041648	0.049384	0.100973	0.22171	0.201774
a15	0.00115436	0.00235287	0.00459784	0.00715608	0.0107162	0.0204177	0.0443568	0.0605292	0.0619973	0.0491296	0.0332878	0.0502223	0.0999017	0.275655	0.278526
a7	0.00153506	0.00312696	0.00846119	0.0138368	0.0210813	0.0414018	0.05663	0.0632795	0.0625799	0.0440936	0.0243341	0.0309047	0.0514989	0.218604	0.358633
a26	0.00343586	0.00677792	0.0169128	0.0244425	0.0333441	0.0371233	0.0531965	0.061041	0.0607093	0.0405814	0.0204279	0.0268689	0.0511639	0.23305	0.330925
a3	0.0129505	0.0186492	0.0274263	0.0402466	0.051068	0.0551753	0.0569878	0.0646873	0.0733099	0.0544193	0.0255644	0.0262717	0.0472378	0.159744	0.286262
a87	0.018527	0.0270042	0.0422727	0.0669992	0.0848015	0.094351	0.0676035	0.0796786	0.0806482	0.0635242	0.0329928	0.0341829	0.0550951	0.112681	0.139638
a23	0.0211607	0.0281248	0.0558289	0.0869075	0.106332	0.114762	0.0595226	0.072666	0.080704	0.066708	0.0516613	0.0589947	0.0746436	0.0631984	0.0587847
a10	0.00940583	0.00887139	0.0111509	0.0250141	0.0322587	0.0499243	0.0296874	0.0516691	0.086517	0.096165	0.105366	0.112122	0.135468	0.108807	0.137573
a38	0.00569561	0.00706551	0.0131834	0.0368297	0.0471994	0.073355	0.0411507	0.0520206	0.0762574	0.0736884	0.0679774	0.0695863	0.077987	0.152191	0.205812
a94	0.00166076	0.00186799	0.00450318	0.0150613	0.0216428	0.0337574	0.02489	0.0308195	0.0422513	0.0373204	0.0368471	0.0573502	0.114137	0.262233	0.315658
a21	0.000490795	0.000629798	0.0017763	0.00636436	0.00974843	0.0165261	0.0153473	0.0183451	0.0239771	0.0214051	0.0196543	0.0399924	0.124917	0.345354	0.355472
a5	0.000290191	0.000382121	0.000692779	0.00178866	0.00271787	0.00580087	0.00595132	0.00674167	0.00842754	0.0109368	0.0149886	0.0309485	0.125569	0.457865	0.326898
a12	0.000191346	0.000278166	0.000499673	0.00120208	0.00201224	0.00539855	0.00734309	0.00906516	0.0101278	0.0119694	0.0142243	0.0315584	0.128496	0.420907	0.356726
a21	0.000320985	0.000442029	0.000924929	0.00229394	0.00436975	0.0118462	0.017583	0.0189754	0.0191204	0.0214925	0.0232483	0.0377032	0.126512	0.373097	0.34207
a5	0.000276881	0.000529736	0.00115876	0.00216457	0.00342057	0.00698429	0.00955754	0.0110353	0.0101911	0.0114577	0.011479	0.021519	0.0858621	0.430004	0.394359
a12	0.000221712	0.00037372	0.000913461	0.00168324	0.00263971	0.00651734	0.0101029	0.0118293	0.0112433	0.0126172	0.0122	0.0229165	0.0958055	0.396319	0.414617
a41	0.000400457	0.000569519	0.00109372	0.00203573	0.00342984	0.00852763	0.014772	0.0162674	0.0153076	0.0157277	0.0133829	0.0220249	0.082005	0.357923	0.446533
a21	0.000241363	0.000444391	0.00105942	0.00163928	0.00178929	0.00211519	0.00477975	0.00854683	0.0101942	0.00771247	0.00479912	0.0107643	0.0450656	0.354912	0.545936
a92	0.000466281	0.000851621	0.00183826	0.0026515	0.00357993	0.00525826	0.00908055	0.0121064	0.0116649	0.0115268	0.00924567	0.0164542	0.054991	0.346318	0.513967
a90	0.000232968	0.000482098	0.00114942	0.00205707	0.00289069	0.00542267	0.0101961	0.0118385	0.0110118	0.00963755	0.00595697	0.0103202	0.035204	0.314067	0.579533
a92	0.000221786	0.000505565	0.0011994	0.00212921	0.00315958	0.00616028	0.0120424	0.0146286	0.013873	0.0119137	0.00755634	0.0142024	0.0524892	0.326721	0.533198
a90	0.000291511	0.000557375	0.00132973	0.00197834	0.00270273	0.00528439	0.010955	0.015481	0.0159913	0.015361	0.010235	0.0198939	0.0549988	0.290782	0.554158
a93	0.000264951	0.000545315	0.00133578	0.00247007	0.00392377	0.00939167	0.0165035	0.0176476	0.0169634	0.0131502	0.00742949	0.0130536	0.0418593	0.251453	0.604008
a90	0.000372122	0.000781785	0.00155911	0.0028936	0.00434692	0.00830924	0.0141301	0.016159	0.0156015	0.0115225	0.00641584	0.0115941	0.0429764	0.270885	0.592453
a44	0.000241113	0.000567357	0.0012754	0.00229169	0.00339246	0.00822784	0.0160606	0.0180855	0.0172885	0.0120886	0.00596782	0.0110608	0.0402022	0.232093	0.631157
a57	0.000391622	0.000840401	0.00149795	0.00285751	0.00401524	0.00725488	0.0113648	0.0113603	0.0102617	0.00634109	0.00264264	0.00446953	0.0204657	0.215001	0.701235
a82	0.00452269	0.00617275	0.00940069	0.021062	0.0232269	0.0244289	0.0192883	0.0219283	0.01967	0.0112014	0.00608095	0.0129337	0.0469708	0.202664	0.570449
a10	0.0399486	0.0354215	0.0449531	0.0885113	0.0802084	0.0707379	0.037409	0.0579946	0.0594759	0.0443597	0.0382034	0.0510679	0.0629648	0.103346	0.185398
a87	0.0507986	0.0383067	0.0410823	0.0619695	0.0604128	0.0626152	0.0391405	0.0624015	0.0694163	0.0625585	0.0521431	0.060364	0.0706793	0.106071	0.16204
a23	0.0405859	0.0337981	0.0345654	0.0542359	0.0608749	0.0721868	0.0557192	0.0891468	0.0990416	0.0868328	0.066558	0.071067	0.0676065	0.0699473	0.097834
a99	0.0129924	0.00789445	0.00772561	0.0174032	0.0198113	0.0281741	0.0252058	0.0505656	0.0683692	0.0581004	0.0501235	0.0707161	0.120551	0.188289	0.274078
a97	0.009164	0.00800792	0.0129618	0.0290511	0.0362781	0.0540275	0.0390843	0.0569496	0.0725689	0.0652994	0.0577329	0.0571524	0.0802386	0.17007	0.251414
</S>	0.0120518	0.0184233	0.0239013	0.0405113	0.0433858	0.0534199	0.044733	0.0601009	0.0674588	0.0565861	0.0402379	0.0333614	0.0553317	0.153186	0.297311
