 	ibvunze	a	le	front	fermé	parce	qu'	il	a	vu	l'	amant	de	sa	femme	</S>
a15	0.0773392	0.0528162	0.0525324	0.0478214	0.0405216	0.0751679	0.0972309	0.0949605	0.0987976	0.102548	0.118008	0.0678195	0.0273685	0.0155824	0.0150382	0.0164485
a66	0.188642	0.108928	0.093819	0.0739103	0.0430264	0.0647153	0.0630371	0.04992	0.0602709	0.0634325	0.0562548	0.0345844	0.0214839	0.0201037	0.0262335	0.0316386
a87	0.228591	0.213626	0.190472	0.114797	0.0531822	0.0458124	0.036706	0.0267532	0.0207208	0.0151403	0.0099807	0.00840031	0.0061314	0.00651325	0.00937152	0.013802
a23	0.22918	0.246901	0.211786	0.103216	0.0497267	0.0341985	0.030044	0.0230512	0.0179565	0.0146176	0.0109947	0.00530718	0.0041831	0.00383617	0.00599191	0.00900898
a83	0.237392	0.238863	0.215869	0.112863	0.0404557	0.028352	0.0275507	0.0182691	0.0145481	0.00944828	0.00834586	0.00655519	0.00630978	0.00706844	0.0104972	0.0176124
a11	0.234469	0.153932	0.133144	0.071144	0.0346093	0.0266562	0.0327429	0.0263796	0.023278	0.0160705	0.0218533	0.0351673	0.028524	0.0391929	0.0514074	0.0714292
a56	0.199112	0.176406	0.175986	0.0951634	0.0666949	0.0491849	0.0466549	0.0307715	0.0263029	0.0195523	0.016564	0.0184344	0.0181557	0.0182631	0.0193315	0.0234219
a96	0.141507	0.176116	0.19659	0.133071	0.0896225	0.0560458	0.046516	0.0293568	0.0232205	0.017675	0.0123514	0.0124267	0.0137716	0.0149448	0.0159515	0.0208329
a21	0.0823327	0.147028	0.195487	0.171974	0.113309	0.0610983	0.042685	0.0289213	0.0246516	0.0210179	0.0152907	0.0142453	0.0160289	0.018338	0.0203921	0.0272002
a5	0.0487138	0.10081	0.151506	0.184663	0.123988	0.0937482	0.0732602	0.0504739	0.0431576	0.035191	0.0214984	0.0159161	0.0142671	0.0124915	0.0131274	0.017188
a21	0.0273983	0.0524865	0.0840539	0.146128	0.144989	0.129945	0.0907604	0.0651719	0.058653	0.0515429	0.031997	0.0251373	0.0226454	0.0195591	0.0213738	0.0281591
a12	0.0224533	0.0322672	0.0502373	0.108677	0.159569	0.155294	0.100372	0.0772051	0.0737412	0.0741998	0.0427607	0.0222161	0.0176607	0.0159916	0.0197262	0.0276288
a21	0.008496	0.0149058	0.0252209	0.0542338	0.129912	0.1744	0.123071	0.100685	0.0928857	0.0773184	0.0406771	0.0274858	0.0243617	0.0241161	0.0331424	0.0490882
a47	0.012567	0.014781	0.0215782	0.0441871	0.120712	0.174018	0.122235	0.105888	0.102251	0.103676	0.0564765	0.0237205	0.0192947	0.0192292	0.025258	0.0341268
a62	0.0105667	0.0157456	0.0247041	0.0396728	0.125381	0.198674	0.130058	0.0930452	0.0849347	0.0736316	0.0446254	0.0291611	0.0263936	0.0246785	0.0327511	0.0459761
a88	0.00687257	0.0108898	0.0184733	0.0316174	0.091587	0.174197	0.124184	0.0948011	0.0932295	0.0824767	0.0452	0.0310502	0.0277881	0.0340927	0.0536762	0.0798646
a0	0.0117549	0.0154412	0.0245897	0.0279755	0.0602645	0.13124	0.10772	0.0827485	0.0814036	0.0705601	0.0469855	0.0483937	0.0500228	0.0578803	0.0801848	0.102834
a31	0.00970149	0.0116963	0.0187692	0.0213014	0.0416465	0.113926	0.107944	0.0948267	0.0942791	0.0807252	0.0594472	0.0560451	0.0555659	0.0583985	0.0788301	0.0968975
a88	0.00602853	0.00818095	0.0118302	0.0168769	0.0465559	0.0994506	0.085344	0.0764485	0.0827146	0.0892491	0.0765232	0.0833876	0.0802157	0.0732844	0.0746922	0.0892177
a9	0.00559792	0.0062781	0.00931415	0.0122788	0.032739	0.0770246	0.0652258	0.0556002	0.0575961	0.0556389	0.0473424	0.0672795	0.0830069	0.105773	0.138236	0.181069
a87	0.0212783	0.0207151	0.029214	0.0354921	0.0345673	0.060697	0.0536432	0.0546992	0.0515112	0.0498874	0.0527985	0.0763928	0.0639142	0.0871422	0.130525	0.177522
a23	0.0292613	0.0240687	0.0271089	0.0355048	0.0266626	0.0476988	0.0489861	0.042867	0.0405311	0.0465132	0.0531878	0.0984941	0.0883811	0.113219	0.128795	0.14872
a83	0.0115856	0.00930979	0.00989659	0.0118892	0.0113202	0.0218218	0.0227531	0.0236041	0.0273507	0.0308165	0.0350666	0.0683997	0.0815893	0.12098	0.202164	0.311454
a54	0.000561073	0.000921298	0.00149064	0.00294558	0.00342708	0.00493035	0.00459304	0.00516215	0.00709312	0.00959656	0.0150466	0.0507471	0.0711362	0.155735	0.272222	0.394393
a79	0.000873106	0.00157572	0.00240909	0.0040669	0.00754238	0.0120432	0.00885038	0.00881592	0.0121469	0.0179173	0.0279866	0.0806839	0.102757	0.174828	0.229303	0.308201
a36	0.00156771	0.00256255	0.00388709	0.0067345	0.0141411	0.0215906	0.0158749	0.013865	0.0169868	0.0248313	0.0336998	0.0804596	0.107527	0.189656	0.215107	0.251509
a21	0.00117921	0.00146948	0.00193407	0.00288927	0.00562762	0.0144572	0.0156991	0.024075	0.0287813	0.0366572	0.04643	0.119187	0.118992	0.157802	0.182759	0.242061
a5	0.00265525	0.00251071	0.00321728	0.00457142	0.0092207	0.020337	0.0184695	0.0211139	0.0263835	0.0380997	0.0420217	0.0988068	0.109591	0.17209	0.194049	0.236863
a23	0.00157779	0.00153795	0.00207082	0.00321256	0.00705239	0.0159976	0.0152406	0.0169475	0.0195741	0.0242887	0.0286195	0.0925065	0.108964	0.165686	0.212104	0.28462
a90	0.000461427	0.000444674	0.000572746	0.000835401	0.00199054	0.00393388	0.00305761	0.00346882	0.00422922	0.00629068	0.00863151	0.0394892	0.0647089	0.159242	0.278539	0.424104
a98	0.000399344	0.000483215	0.000697373	0.00128709	0.00248726	0.00454799	0.00410003	0.00516209	0.00612008	0.00808317	0.0116638	0.0531159	0.082978	0.190606	0.283477	0.344791
a79	0.000285452	0.000318335	0.000415346	0.000944291	0.00196463	0.00253326	0.00151735	0.0015262	0.00193284	0.0029778	0.00494265	0.0233967	0.0439195	0.163531	0.313309	0.436486
a15	0.000271575	0.000290665	0.0003386	0.000625851	0.00126533	0.00182654	0.0011708	0.00138025	0.00158859	0.00238739	0.00425779	0.0271161	0.0501301	0.166419	0.319611	0.421321
a0	0.000142856	0.000151218	0.000183685	0.000322693	0.000705393	0.000964885	0.00048919	0.00045993	0.000498054	0.000728675	0.00133291	0.0111964	0.0264383	0.116399	0.32575	0.514236
a75	0.000523685	0.000497315	0.000459908	0.000506381	0.00096266	0.00136247	0.000717312	0.000709912	0.000674616	0.00082443	0.00141671	0.0114738	0.0249692	0.100148	0.31497	0.539783
a79	0.000140978	0.00013853	0.000150706	0.000216068	0.000491052	0.000803803	0.000479351	0.000515902	0.000561819	0.000882779	0.0018544	0.0151537	0.0314525	0.112997	0.318203	0.515959
a69	9.79188e-05	0.000117438	0.000145216	0.000239379	0.000622602	0.000942265	0.000455329	0.000455163	0.000496355	0.000791113	0.00162769	0.0130281	0.0303545	0.108603	0.320379	0.521645
a7	0.000363338	0.000444023	0.000468616	0.000617127	0.00135333	0.0019064	0.00110833	0.00121655	0.00111104	0.0014007	0.00243103	0.0162206	0.0391447	0.13609	0.330662	0.465463
