 	l'	oiseau	est	dans	le	trou	dans	l'	arbre	</S>
a66	0.341793	0.214874	0.133324	0.0791558	0.0550015	0.0488703	0.0488464	0.0350614	0.0245164	0.0185572
a87	0.246665	0.188693	0.151047	0.124943	0.103558	0.0764293	0.0475786	0.0275929	0.0171041	0.0163884
a23	0.339432	0.247543	0.188072	0.101806	0.0408589	0.0227057	0.0171359	0.0144902	0.0126513	0.015305
a83	0.293826	0.229149	0.19103	0.121098	0.050865	0.0219773	0.0156559	0.0180815	0.0225234	0.0357935
a56	0.195923	0.166369	0.149585	0.112861	0.0705138	0.0507845	0.0487762	0.0578191	0.0671027	0.0802658
a75	0.203975	0.218973	0.206729	0.160752	0.0815611	0.0436085	0.0321255	0.0221524	0.0156829	0.0144409
a5	0.120054	0.141165	0.166059	0.194058	0.139648	0.0928662	0.0664518	0.0404985	0.0221254	0.0170739
a12	0.0984401	0.126758	0.174808	0.215798	0.15958	0.0991739	0.0575275	0.030917	0.0195888	0.0174084
a43	0.125228	0.129742	0.151314	0.187112	0.144251	0.104147	0.0632828	0.037723	0.0283593	0.02884
a31	0.0988934	0.10534	0.12521	0.164054	0.170207	0.135898	0.0825697	0.0442988	0.034499	0.0390291
a62	0.078941	0.0739289	0.0856593	0.118862	0.150897	0.166965	0.128681	0.080095	0.0577439	0.0582271
a88	0.0614113	0.0531871	0.0499365	0.0641849	0.100824	0.127456	0.138654	0.13942	0.129394	0.135533
a93	0.0342058	0.0281946	0.0278068	0.0404609	0.0732685	0.103891	0.123226	0.154131	0.186065	0.22875
a90	0.0363998	0.0268222	0.0208907	0.0241981	0.0399938	0.0654683	0.0994462	0.155949	0.229959	0.300873
a69	0.00799777	0.00535217	0.00411204	0.00531553	0.0131452	0.0369242	0.0851888	0.189505	0.300869	0.35159
a58	0.00274452	0.00173131	0.00122501	0.00186299	0.00535507	0.0161533	0.0398573	0.112561	0.293208	0.525301
a82	0.00311482	0.00157911	0.000633054	0.00056818	0.00127019	0.00458859	0.0142691	0.0665348	0.245461	0.661981
a87	0.0816892	0.0557875	0.0363784	0.0337829	0.0398687	0.0496234	0.05774	0.0828924	0.161872	0.400366
a23	0.233882	0.185353	0.157956	0.11895	0.0764343	0.0544267	0.0419781	0.0371664	0.040635	0.0532182
a99	0.079758	0.047035	0.0309248	0.0248672	0.027045	0.0492174	0.0768948	0.146126	0.230512	0.28762
a97	0.0254892	0.0146244	0.0101193	0.00908968	0.0123404	0.0258132	0.0488524	0.119832	0.289201	0.444639
</S>	0.00977351	0.00558609	0.00426183	0.00470758	0.00763924	0.0239462	0.0496087	0.13391	0.288443	0.472123
