 	le	kyebé-kyebé	va	être	dansé	aujourd'	hui	</S>
a66	0.360541	0.277755	0.137863	0.100821	0.0710881	0.0255503	0.0139294	0.0124528
a87	0.366813	0.276045	0.175931	0.110923	0.0342737	0.0103251	0.00899687	0.016692
a23	0.406738	0.316728	0.1921	0.0515137	0.0111845	0.00495709	0.00566793	0.0111102
a87	0.434311	0.32187	0.141855	0.0299001	0.00765812	0.00789627	0.0141459	0.0423634
a23	0.428833	0.318639	0.155899	0.0465609	0.0101199	0.00650419	0.0102011	0.023243
a62	0.432578	0.310662	0.124721	0.0359915	0.0136634	0.0153031	0.0230039	0.0440771
a96	0.381843	0.308378	0.189517	0.067451	0.0151165	0.0106855	0.0118616	0.0151478
a12	0.282058	0.307857	0.256599	0.108979	0.0177293	0.00943484	0.00870556	0.00863709
a61	0.195463	0.265586	0.27293	0.182486	0.0350738	0.0182376	0.0156337	0.0145896
a47	0.143699	0.21215	0.263362	0.254953	0.0569954	0.0282057	0.0217312	0.0189039
a96	0.139165	0.19864	0.233672	0.265729	0.0769499	0.0359766	0.0257131	0.0241553
a21	0.0736173	0.131161	0.233796	0.345752	0.108818	0.0487191	0.0303525	0.0277831
a85	0.0480735	0.0891765	0.18633	0.328453	0.153256	0.0876302	0.0555104	0.051571
a6	0.0228093	0.0360536	0.0902248	0.180798	0.192468	0.183523	0.146469	0.147654
a0	0.0156829	0.0177655	0.0510938	0.123926	0.226851	0.198063	0.174036	0.192581
a21	0.0153421	0.0104829	0.0189885	0.047712	0.184193	0.214082	0.210395	0.298805
a12	0.00896191	0.0066651	0.0106816	0.0268755	0.137468	0.233721	0.248012	0.327615
a98	0.00555316	0.00430229	0.00518569	0.0124856	0.0930621	0.243284	0.282857	0.35327
a79	0.00104018	0.000753957	0.00109441	0.00315078	0.041241	0.189157	0.293028	0.470535
a7	0.00037686	0.000241272	0.000323888	0.000994754	0.0164206	0.116992	0.279645	0.585005
a15	0.000528735	0.00019825	0.000218226	0.000418854	0.00463934	0.0583371	0.270212	0.665448
a7	0.000792043	0.000270462	0.000289296	0.000561101	0.00562863	0.0612568	0.286547	0.644655
a84	0.00269467	0.00115673	0.00111348	0.00192567	0.0117044	0.0655515	0.262115	0.653738
a87	0.0958487	0.070107	0.0596737	0.0530921	0.0629701	0.113073	0.209044	0.336192
a23	0.298247	0.19119	0.117747	0.0727063	0.0650238	0.0715376	0.087511	0.0960378
a87	0.0907077	0.0453659	0.0226498	0.0139885	0.04374	0.192697	0.319163	0.271688
</S>	0.0114401	0.00701323	0.00465635	0.00564182	0.0279064	0.154787	0.339135	0.449419
