 	adosse-toi	à	l'	arbre	</S>
a10	0.470836	0.255168	0.138108	0.0807529	0.0551356
a87	0.245731	0.249145	0.202866	0.15105	0.151207
a23	0.403365	0.242815	0.156647	0.100011	0.0971616
a24	0.363001	0.297347	0.188475	0.0927673	0.0584097
a41	0.581748	0.229781	0.120493	0.0474884	0.0204902
a35	0.434675	0.206032	0.187556	0.106818	0.0649193
a41	0.461515	0.236887	0.17194	0.085745	0.0439128
a35	0.393217	0.233048	0.186562	0.120931	0.0662418
a24	0.305807	0.220129	0.210429	0.163155	0.10048
a66	0.224953	0.173405	0.196837	0.199348	0.205457
a38	0.0909715	0.121909	0.203228	0.290512	0.29338
a76	0.070521	0.0969755	0.18756	0.30845	0.336494
a73	0.0773474	0.0983912	0.183673	0.253713	0.386876
a84	0.0358894	0.071355	0.177506	0.313061	0.402188
a57	0.00621321	0.0116243	0.0446086	0.235364	0.70219
a87	0.0302573	0.0331818	0.0530917	0.215593	0.667877
</S>	0.0956171	0.103209	0.165023	0.263615	0.372536
