 	il	chasse	les	poules	qui	entrent	dans	la	maison	</S>
a66	0.219549	0.259496	0.253664	0.1417	0.0581082	0.0265833	0.0133204	0.0103812	0.00868176	0.00851598
a87	0.391656	0.173673	0.0700456	0.0279078	0.0229758	0.0313346	0.0348351	0.0497774	0.083469	0.114325
a97	0.257161	0.152623	0.104817	0.0586503	0.0373942	0.0404002	0.0475388	0.0611477	0.0909764	0.149291
a87	0.251503	0.157982	0.109344	0.0488563	0.0418329	0.0503743	0.0649038	0.0740895	0.0816476	0.119466
a97	0.238346	0.144786	0.0988674	0.0471665	0.0437366	0.0558564	0.0725866	0.0831563	0.0888504	0.126648
a79	0.250272	0.158298	0.105288	0.048066	0.0425427	0.0435057	0.0660468	0.0791066	0.0882895	0.118585
a15	0.309465	0.202318	0.139846	0.0666568	0.0282353	0.0162797	0.0281356	0.0428553	0.0698112	0.0963977
a79	0.369844	0.253077	0.163864	0.0653025	0.0203237	0.0100479	0.0162581	0.024265	0.0379586	0.0390589
a47	0.265448	0.21483	0.179771	0.112309	0.0440671	0.0236847	0.028404	0.0350317	0.047668	0.0487873
a36	0.178134	0.181923	0.206045	0.154667	0.0700671	0.0377592	0.0358322	0.039395	0.0475213	0.0486564
a2	0.178867	0.161486	0.199182	0.152732	0.0804205	0.0459866	0.0425614	0.0427229	0.0479869	0.0480546
a27	0.161566	0.134113	0.15432	0.139946	0.0797472	0.0626249	0.061861	0.0615977	0.0696694	0.074555
a11	0.107665	0.0889166	0.102161	0.138541	0.110804	0.0884023	0.0842223	0.0835656	0.0966515	0.0990706
a93	0.140846	0.127102	0.144617	0.169823	0.106738	0.0671989	0.0532954	0.0528048	0.0640686	0.0735064
a98	0.117198	0.138683	0.185315	0.207164	0.124845	0.0762875	0.0433696	0.0348126	0.034525	0.037801
a47	0.0551896	0.111063	0.19542	0.209357	0.138539	0.084131	0.0635483	0.0463733	0.0454203	0.0509586
a36	0.0418142	0.0835878	0.159079	0.221906	0.164151	0.0881201	0.0607937	0.0492334	0.0570137	0.0743019
a56	0.0329368	0.0487675	0.088008	0.183357	0.192272	0.133859	0.0717728	0.0593474	0.0782099	0.11147
a11	0.0408879	0.0562383	0.101946	0.186229	0.15902	0.123323	0.088225	0.068002	0.0774852	0.0986439
a93	0.0336613	0.0444715	0.0787322	0.18826	0.197888	0.161536	0.0919148	0.0614707	0.0625428	0.079523
a13	0.0327604	0.0395765	0.0692701	0.174806	0.189744	0.168777	0.107238	0.0716836	0.0668015	0.0793438
a98	0.0148412	0.0149614	0.0236226	0.090985	0.190621	0.213242	0.117253	0.0853622	0.103829	0.145284
a47	0.0161499	0.0176898	0.0278954	0.0868588	0.12884	0.151822	0.133608	0.118252	0.135118	0.183766
a7	0.00590084	0.00918212	0.018812	0.0637524	0.106532	0.151439	0.154876	0.135479	0.15004	0.203987
a90	0.00746011	0.0092059	0.0143707	0.0442537	0.0891153	0.143822	0.149537	0.135543	0.164785	0.241908
a15	0.00980055	0.0103554	0.0137977	0.0362252	0.0746603	0.140937	0.170867	0.155754	0.170521	0.217082
a47	0.0022938	0.00359116	0.0059455	0.0178203	0.0411821	0.0943693	0.140005	0.15573	0.21915	0.319913
a0	0.00244079	0.00323307	0.00453643	0.0120507	0.0306224	0.065796	0.136711	0.181494	0.235427	0.327689
a54	0.00271493	0.00279174	0.00340086	0.00799266	0.0246481	0.0668189	0.146213	0.176198	0.22276	0.346462
a75	0.00130776	0.00160254	0.00197153	0.00431579	0.0136159	0.0468408	0.124365	0.186806	0.258045	0.361129
a37	0.000550641	0.000742555	0.00103343	0.0034254	0.0122031	0.0398758	0.107902	0.175866	0.271809	0.386591
a96	0.00082861	0.000861738	0.00107075	0.00262795	0.00800321	0.0301636	0.0782516	0.138292	0.276279	0.463622
a83	0.000783181	0.0007237	0.000847393	0.00190256	0.0053817	0.0242932	0.0696921	0.145493	0.281258	0.469624
a24	0.000343054	0.000331629	0.000402091	0.00110157	0.00330216	0.0162287	0.0527337	0.132811	0.280593	0.512153
a62	0.000485943	0.000433724	0.000408633	0.00098566	0.00299326	0.0123242	0.0462131	0.117269	0.255731	0.563156
a88	0.000388386	0.000399995	0.000491797	0.00129662	0.00334868	0.0132936	0.047439	0.116831	0.258648	0.557863
a71	0.000347745	0.00035204	0.000416908	0.00104725	0.00283314	0.0113136	0.043951	0.113124	0.25749	0.569124
a9	0.0019284	0.00164915	0.00162014	0.00358451	0.00829968	0.0252755	0.0627941	0.123418	0.234533	0.536897
a99	0.0270583	0.0219148	0.021585	0.0286065	0.0330911	0.0619528	0.0985575	0.138694	0.195135	0.373405
a97	0.0575645	0.038976	0.0302409	0.0282971	0.0289067	0.0488694	0.0816346	0.123257	0.196521	0.365733
a87	0.0615452	0.0318716	0.0202463	0.0163244	0.0164119	0.0381491	0.0730958	0.12282	0.213016	0.406519
a3	0.0510192	0.0248277	0.0162841	0.0173098	0.0224296	0.0590313	0.111022	0.152577	0.221024	0.324475
</S>	0.0572615	0.0264793	0.0182921	0.0242476	0.0330863	0.0688082	0.11312	0.137772	0.206622	0.314311
