 	ce	matin	nous	avons	tué	un	cochon	</S>
a23	0.276955	0.16261	0.102956	0.092435	0.104444	0.0915797	0.101388	0.0676318
a61	0.428239	0.204854	0.143258	0.0880089	0.0395157	0.026165	0.0349128	0.035047
a0	0.255902	0.20584	0.137957	0.109203	0.0825545	0.0548303	0.102364	0.0513496
a75	0.243112	0.192295	0.158131	0.13435	0.0824186	0.0602734	0.089444	0.0399763
a25	0.191719	0.216573	0.204961	0.14857	0.0830936	0.0698025	0.0598095	0.0254706
a44	0.235528	0.286857	0.240363	0.134695	0.0500391	0.0248568	0.0205837	0.0070761
a90	0.119478	0.220239	0.255785	0.226255	0.0932265	0.0406277	0.0310302	0.0133579
a96	0.152277	0.204661	0.183303	0.184233	0.105066	0.0654957	0.0590776	0.0458866
a56	0.0703383	0.102362	0.146297	0.218804	0.183058	0.122426	0.0937871	0.0629279
a96	0.0741752	0.0762745	0.0998231	0.187146	0.176045	0.156738	0.136752	0.0930465
a66	0.0195071	0.0209907	0.0358049	0.0900612	0.166062	0.225096	0.27395	0.168528
a75	0.0115383	0.0113706	0.0184389	0.0521636	0.109257	0.206078	0.329415	0.261738
a61	0.0035152	0.0026712	0.00375963	0.0114371	0.0509094	0.230102	0.424105	0.273501
a75	0.00319715	0.00416232	0.00859512	0.0219279	0.0578626	0.193926	0.334725	0.375604
a61	0.00151616	0.00151318	0.00274308	0.0105856	0.0461418	0.21187	0.370725	0.354906
a75	0.00139224	0.0016948	0.00460381	0.0129008	0.0375937	0.157727	0.303594	0.480493
a56	0.00108231	0.000841694	0.00229701	0.00978726	0.0354076	0.160432	0.318899	0.471253
a75	0.000654808	0.000716241	0.00206376	0.00680004	0.023834	0.145067	0.281986	0.538878
a61	0.000870749	0.000910133	0.00245328	0.0083722	0.0268735	0.134385	0.293824	0.532312
a75	0.000816764	0.000843171	0.00215613	0.00618919	0.0225503	0.140694	0.283952	0.542798
a34	0.00112988	0.000996696	0.00304237	0.00939304	0.0281854	0.138667	0.287794	0.530792
a13	0.00078852	0.000610854	0.00142215	0.00465848	0.023471	0.163122	0.302988	0.502939
a9	0.00692981	0.00377699	0.00673515	0.0146457	0.050285	0.17118	0.276544	0.469903
a87	0.133568	0.0494985	0.0418028	0.0332636	0.0475853	0.0886891	0.188726	0.416867
a23	0.315964	0.133093	0.0971364	0.0565558	0.0628338	0.0806074	0.114807	0.139002
a87	0.0345846	0.0187664	0.0239338	0.0296703	0.0804012	0.21999	0.309039	0.283615
</S>	0.00759633	0.00524621	0.00805827	0.0134964	0.0442315	0.149713	0.338693	0.432965
