 	celui	qui	allume	ce	feu	c'	est	le	fils	de	ton	ami	</S>
a66	0.258273	0.126052	0.0838885	0.081514	0.0644262	0.0536379	0.0662378	0.0573663	0.0547695	0.0447348	0.0395382	0.0354492	0.0341125
a87	0.22758	0.165839	0.112615	0.0886283	0.0580941	0.0417917	0.0483425	0.0407918	0.0389961	0.0408101	0.0413495	0.0496109	0.0455507
a23	0.357056	0.258589	0.166196	0.0745348	0.0356801	0.0210439	0.0161589	0.0115441	0.00909135	0.00855559	0.00961315	0.0139867	0.0179506
a30	0.290027	0.241117	0.158595	0.0724216	0.042559	0.0272032	0.0241322	0.0226601	0.0197893	0.0202782	0.0204259	0.0280337	0.0327582
a93	0.241334	0.21926	0.18452	0.0989908	0.0543969	0.0310773	0.0275255	0.0242021	0.0204452	0.0211411	0.0221864	0.0269646	0.0279556
a34	0.273136	0.213234	0.168092	0.0866269	0.0387867	0.0282938	0.0283158	0.0270125	0.0241667	0.0255458	0.0280671	0.0314535	0.0272699
a93	0.220041	0.226607	0.203377	0.121052	0.0506343	0.0314479	0.0292136	0.0242039	0.0188095	0.0179918	0.0189523	0.020104	0.0175651
a56	0.137352	0.170264	0.210618	0.153613	0.0785581	0.0471209	0.0427772	0.0328583	0.0239739	0.0222445	0.0245837	0.0282926	0.0277436
a43	0.0991961	0.112157	0.160095	0.175067	0.116999	0.079809	0.0681494	0.0446146	0.0283806	0.0238376	0.0259503	0.0321409	0.0336034
a0	0.0899612	0.0999816	0.154239	0.184023	0.132049	0.0885422	0.0743617	0.0450044	0.0284641	0.0219525	0.0225056	0.0277219	0.0311941
a31	0.0615505	0.0667749	0.11272	0.150875	0.138265	0.106056	0.101592	0.065761	0.0469463	0.0323676	0.0327747	0.0388348	0.0454818
a61	0.0530589	0.0543621	0.0919065	0.16033	0.168392	0.127985	0.119988	0.0666669	0.040597	0.026245	0.0258598	0.0301881	0.0344204
a12	0.0328245	0.0329084	0.0522003	0.112731	0.158762	0.152342	0.156292	0.093803	0.0590759	0.0365664	0.033172	0.0370437	0.0422788
a41	0.0271671	0.0263988	0.0349736	0.0676903	0.114039	0.139092	0.176321	0.129877	0.0953566	0.0566831	0.0451491	0.0426959	0.0445574
a85	0.0120339	0.0127967	0.0198734	0.0421761	0.0821392	0.129056	0.160092	0.124744	0.120518	0.0798505	0.0653125	0.0708721	0.0805359
a61	0.0080405	0.00802144	0.0142054	0.0339635	0.0622479	0.103581	0.133961	0.119254	0.138463	0.0943578	0.0818482	0.0896338	0.112422
a24	0.0125866	0.0123746	0.0204338	0.039207	0.0783275	0.10695	0.131382	0.109527	0.11256	0.0815548	0.0789956	0.0968454	0.119256
a12	0.0197024	0.0204338	0.0302206	0.0462106	0.0747854	0.0883393	0.11318	0.106302	0.110795	0.0858178	0.082478	0.0980574	0.123677
a61	0.0129262	0.0115932	0.0163517	0.0258704	0.0497611	0.0717636	0.0969009	0.100279	0.127168	0.105844	0.109764	0.124231	0.147547
a12	0.00986859	0.00889246	0.0135013	0.0198079	0.0356005	0.0497514	0.0721632	0.0803783	0.1122	0.109672	0.140303	0.165208	0.182653
a98	0.0108621	0.0090276	0.0121467	0.017453	0.0310629	0.0430629	0.0613997	0.0702987	0.104154	0.108991	0.152628	0.183405	0.195508
a85	0.00462716	0.00422555	0.00625306	0.010777	0.0238497	0.0397904	0.0518212	0.0633314	0.110372	0.120892	0.161957	0.197012	0.205091
a21	0.00316864	0.00278557	0.00415455	0.0067719	0.0134796	0.0231716	0.0291593	0.0398434	0.0837112	0.097273	0.155615	0.240165	0.300702
a47	0.00302437	0.00248707	0.00311852	0.00496544	0.0108528	0.0181131	0.0237139	0.031964	0.0675846	0.0894734	0.15702	0.253898	0.333785
a93	0.00249863	0.0022757	0.00311427	0.00588524	0.0142449	0.0247134	0.0305192	0.0360883	0.0610815	0.0841673	0.148573	0.252321	0.334517
a70	0.00126954	0.00118978	0.00180786	0.00341676	0.00838655	0.0147258	0.0181807	0.0236461	0.0430092	0.0643518	0.132503	0.272807	0.414706
a62	0.00128288	0.00123799	0.00179999	0.00263986	0.00491323	0.00788392	0.0100609	0.0141975	0.0269179	0.0463844	0.116375	0.290692	0.475615
a21	0.0012815	0.00116782	0.00151508	0.00206755	0.00341765	0.00516951	0.00807462	0.0126453	0.026539	0.0445638	0.116912	0.303122	0.473524
a5	0.00169605	0.00135087	0.00164002	0.00213489	0.00371402	0.00601169	0.00851275	0.0130815	0.0268644	0.0426688	0.102043	0.268433	0.521849
a37	0.00134943	0.00110392	0.00153176	0.00235035	0.00473672	0.0085949	0.011508	0.0178201	0.0348	0.0531507	0.108968	0.253903	0.500183
a38	0.0118662	0.00754028	0.00796595	0.013194	0.0222974	0.0352233	0.035325	0.045579	0.0676279	0.0802951	0.113984	0.19248	0.366622
a82	0.0558003	0.0307727	0.0257591	0.0367068	0.0559152	0.0816264	0.0737291	0.0745197	0.0832032	0.0741026	0.0807346	0.118165	0.208966
a87	0.203742	0.0907895	0.0525228	0.0533631	0.0634685	0.0775474	0.0655146	0.0603208	0.0610948	0.0531535	0.0528422	0.0666742	0.098967
a23	0.327212	0.194177	0.119073	0.074289	0.0506714	0.0414903	0.0315169	0.0247524	0.0232631	0.0227501	0.0254322	0.029233	0.0361399
a87	0.099415	0.0705659	0.0456377	0.0387161	0.040789	0.0475006	0.0381003	0.0422807	0.0560767	0.0689251	0.0924937	0.14965	0.209849
</S>	0.0403938	0.0319816	0.0235725	0.0222541	0.0287335	0.0437866	0.0343247	0.04144	0.0570777	0.0676128	0.0898619	0.178516	0.340445
