 	l'	étoile	polaire	apparait	le	matin	</S>
a66	0.493911	0.18727	0.115312	0.0555397	0.0719293	0.0467068	0.0293314
a87	0.56596	0.204548	0.0895041	0.040596	0.0453556	0.0274576	0.0265782
a23	0.629318	0.250354	0.0652777	0.0121326	0.0118342	0.0128702	0.0182127
a13	0.562149	0.22266	0.0811939	0.0331653	0.0291615	0.0248861	0.0467851
a57	0.398928	0.231399	0.145364	0.0742442	0.0484441	0.0421654	0.0594557
a13	0.339311	0.33243	0.158869	0.0483618	0.0355334	0.0390548	0.0464397
a70	0.297062	0.337207	0.163231	0.05482	0.0408908	0.0515358	0.0552528
a90	0.244652	0.261725	0.139328	0.0907213	0.0731307	0.0907846	0.0996587
a25	0.132202	0.142505	0.102523	0.142738	0.125393	0.156822	0.197818
a94	0.110744	0.115554	0.0903147	0.147326	0.129142	0.173167	0.233753
a90	0.159158	0.177846	0.13383	0.128411	0.0976677	0.124047	0.179039
a56	0.106845	0.107623	0.0994678	0.141253	0.137419	0.172371	0.235021
a93	0.172632	0.167351	0.16016	0.150179	0.115705	0.1067	0.127272
a90	0.130055	0.141951	0.177356	0.169753	0.136049	0.110899	0.133938
a69	0.0675217	0.0783137	0.121683	0.178201	0.206157	0.174167	0.173956
a4	0.0529641	0.0546169	0.103705	0.165512	0.201751	0.207447	0.214004
a94	0.0270635	0.0234425	0.0564069	0.12356	0.163616	0.254907	0.351003
a56	0.0203599	0.0150698	0.0356317	0.0990973	0.139227	0.271963	0.418652
a15	0.0100206	0.00614345	0.0164734	0.0717322	0.126799	0.297666	0.471166
a98	0.0051443	0.00469388	0.0134503	0.0571355	0.0922674	0.286782	0.540527
a92	0.00548785	0.00511784	0.0165758	0.0757338	0.107729	0.267262	0.522094
a44	0.00675048	0.00539825	0.0149331	0.0604042	0.110111	0.285399	0.517004
a96	0.00274175	0.00263334	0.00597098	0.0214171	0.045953	0.244541	0.676743
a34	0.00369504	0.00312889	0.00641814	0.0210369	0.0479526	0.231928	0.68584
a56	0.00145572	0.00112449	0.0024864	0.0120711	0.0381069	0.220762	0.723993
a96	0.00135337	0.00110228	0.00214746	0.0112127	0.0322492	0.210496	0.741439
a4	0.00221671	0.00267873	0.00373131	0.0151222	0.0380085	0.219898	0.718345
a13	0.00201274	0.0024893	0.00366434	0.0139558	0.038165	0.232437	0.707276
a57	0.00282349	0.00330414	0.00458873	0.0192162	0.0499278	0.235844	0.684296
a3	0.0665041	0.0512993	0.061585	0.145345	0.11052	0.204413	0.360333
a87	0.42429	0.131456	0.0841762	0.0801027	0.0706918	0.0899969	0.119286
a23	0.440885	0.194247	0.121568	0.0746956	0.0535653	0.05362	0.0614183
a87	0.125715	0.0511299	0.0511272	0.0793012	0.0967928	0.207612	0.388322
</S>	0.0294294	0.015831	0.0200167	0.0544735	0.0934083	0.243606	0.543235
