 	les	enfants	veulent	toucher	le	blanc	</S>
a66	0.416317	0.277077	0.155163	0.0794982	0.0367761	0.0205001	0.0146684
a87	0.556821	0.277797	0.0807864	0.0346047	0.0161886	0.0152124	0.0185897
a23	0.540138	0.275946	0.107089	0.025604	0.0156498	0.0136165	0.0219561
a40	0.331245	0.180509	0.118718	0.0573828	0.0612847	0.0879693	0.162891
a6	0.437113	0.252502	0.0993523	0.0639939	0.0567843	0.0473264	0.0429279
a15	0.238299	0.305456	0.214661	0.106758	0.0515206	0.042074	0.0412303
a47	0.177043	0.254883	0.21877	0.190678	0.0893075	0.0445042	0.0248138
a6	0.0946767	0.184774	0.258732	0.231664	0.107478	0.0673045	0.0553718
a5	0.1305	0.199564	0.266714	0.220275	0.101112	0.0454472	0.036387
a43	0.222844	0.247443	0.23515	0.14089	0.0821137	0.0383391	0.0332206
a75	0.162459	0.214167	0.272356	0.157767	0.0962601	0.0480118	0.0489788
a85	0.0277083	0.05863	0.184185	0.213839	0.208708	0.161429	0.145502
a6	0.0212292	0.062259	0.209253	0.22327	0.200511	0.140678	0.142799
a92	0.030575	0.0794798	0.260372	0.226232	0.187958	0.10596	0.109424
a37	0.0131741	0.0361497	0.195077	0.19421	0.215956	0.1589	0.186533
a85	0.0169587	0.0321927	0.137995	0.153477	0.2385	0.190621	0.230255
a47	0.00277522	0.00757276	0.0533765	0.0924883	0.214845	0.28152	0.347423
a36	0.00263728	0.00442604	0.0172124	0.026797	0.0840728	0.252946	0.611908
a79	0.0112902	0.014058	0.024056	0.0292104	0.0650207	0.206265	0.6501
a56	0.0014474	0.00312726	0.0118218	0.0240573	0.0802337	0.257993	0.621319
a25	0.00194804	0.00314398	0.0101834	0.020138	0.0812961	0.251838	0.631453
a15	0.000859415	0.00202344	0.00828071	0.0194635	0.0788793	0.267271	0.623223
a7	0.00238582	0.00391902	0.011114	0.0312	0.0949319	0.243902	0.612547
a85	0.00258119	0.00379087	0.00954856	0.0268378	0.0893283	0.243943	0.62397
a5	0.00276582	0.00504129	0.0150533	0.0496741	0.129699	0.268573	0.529194
a98	0.00235474	0.00426669	0.0131295	0.031552	0.103077	0.269679	0.57594
a47	0.001757	0.00468272	0.015258	0.0393996	0.102034	0.248259	0.58861
a36	0.000516912	0.00154514	0.00770922	0.0255997	0.0814811	0.239164	0.643984
a26	0.00658619	0.0115956	0.0247474	0.0740653	0.142589	0.264501	0.475916
a57	0.0579936	0.066904	0.084522	0.152428	0.223011	0.210066	0.205076
a87	0.205625	0.139179	0.121892	0.111832	0.135057	0.139212	0.147204
a23	0.326905	0.222168	0.168934	0.0954977	0.0760654	0.0576894	0.052741
a87	0.172102	0.168216	0.142252	0.0751863	0.0847346	0.123863	0.233646
a97	0.0279481	0.0291778	0.0463066	0.0421421	0.0873781	0.209883	0.557164
</S>	0.052821	0.0555809	0.0917526	0.0750833	0.108125	0.18817	0.428467
