 	il	est	anémié	</S>
a79	0.308395	0.249892	0.276592	0.165121
a20	0.358878	0.261993	0.192647	0.186482
a41	0.452775	0.248526	0.199588	0.0991112
a66	0.571836	0.239779	0.146946	0.0414393
a38	0.494292	0.257217	0.160788	0.0877032
a26	0.41055	0.271497	0.205705	0.112248
a35	0.344521	0.262062	0.234349	0.159069
a73	0.36172	0.282366	0.226965	0.128949
a94	0.289399	0.267899	0.261365	0.181336
a57	0.245023	0.241682	0.281484	0.231812
a40	0.148067	0.204128	0.301998	0.345807
a76	0.0924643	0.182732	0.38108	0.343724
a20	0.0703064	0.160202	0.356805	0.412687
a76	0.0444159	0.121538	0.318927	0.515118
a94	0.0412637	0.114031	0.316593	0.528112
a57	0.0235668	0.0687196	0.223987	0.683726
a76	0.00905376	0.034216	0.147262	0.809468
a94	0.0117353	0.0529955	0.226405	0.708864
a53	0.00889894	0.032054	0.124718	0.834329
a69	0.0154718	0.0520951	0.143871	0.788562
a58	0.0170201	0.0546104	0.132203	0.796167
a82	0.0282967	0.0742395	0.168478	0.728986
a87	0.0252203	0.0524021	0.141238	0.78114
a23	0.0579185	0.106023	0.224591	0.611467
a87	0.127929	0.142147	0.2328	0.497124
</S>	0.0650532	0.129755	0.254609	0.550583
