 	l'	oiseau	est	perché	sur	la	plus	jeune	palme	</S>
a66	0.49664	0.275391	0.110236	0.0523112	0.0251082	0.0162525	0.00816175	0.00522915	0.0045062	0.00616424
a87	0.452909	0.330878	0.116861	0.044686	0.0195027	0.0154186	0.00617117	0.00394535	0.00420492	0.00542326
a23	0.481634	0.265497	0.135266	0.0637442	0.0179855	0.00917657	0.00612673	0.00550983	0.00652124	0.00853897
a70	0.158385	0.168003	0.167073	0.288895	0.0713105	0.039595	0.0157349	0.0191696	0.0294009	0.0424335
a11	0.259366	0.224	0.146965	0.105141	0.066291	0.0577039	0.042532	0.0339394	0.0326038	0.0314591
a0	0.317018	0.280652	0.14965	0.0870215	0.0588288	0.0433683	0.0187722	0.0151614	0.0154864	0.0140412
a24	0.202508	0.361617	0.216494	0.0853094	0.0576883	0.0391889	0.0136534	0.00909049	0.00849206	0.0059581
a31	0.123996	0.271427	0.219126	0.126374	0.0898645	0.0780226	0.038376	0.0232146	0.0184182	0.0111812
a41	0.059216	0.177067	0.232448	0.197598	0.131844	0.0970327	0.0430278	0.0253475	0.0218775	0.0145422
a5	0.0924016	0.228903	0.197109	0.123974	0.131055	0.107726	0.0438092	0.0286658	0.0273567	0.0190002
a31	0.107911	0.194529	0.168686	0.120956	0.147872	0.119784	0.0457308	0.0318457	0.03517	0.0275156
a43	0.073365	0.134613	0.130575	0.108408	0.136217	0.149214	0.0820173	0.0593031	0.0672537	0.0590343
a75	0.0329137	0.0594767	0.0732977	0.0769504	0.107223	0.171125	0.156953	0.107965	0.112255	0.101841
a85	0.0131703	0.0212776	0.0269821	0.0348608	0.0590244	0.106814	0.170483	0.174797	0.202293	0.190298
a47	0.0071109	0.00971661	0.0149482	0.0204954	0.0313929	0.0584438	0.163438	0.210568	0.236283	0.247603
a37	0.00549293	0.00828985	0.0104448	0.0133621	0.0129303	0.0215037	0.0710429	0.163211	0.267588	0.426134
a79	0.00290015	0.00396661	0.00547971	0.00815276	0.00889831	0.0161292	0.055875	0.196689	0.303694	0.398215
a69	0.00289453	0.00406181	0.0055401	0.00669756	0.00931859	0.0200054	0.0749152	0.225424	0.304445	0.346698
a58	0.00468286	0.0046682	0.00656265	0.00584146	0.00908896	0.0213791	0.0827105	0.204655	0.298906	0.361506
a90	0.00318462	0.00350361	0.005203	0.00411192	0.00500755	0.00876108	0.0310633	0.117269	0.2757	0.546197
a69	0.00348897	0.00299261	0.00358293	0.00390456	0.00629021	0.017643	0.0829326	0.229612	0.310303	0.33925
a4	0.00227232	0.00184394	0.0023486	0.00222196	0.00340852	0.00984443	0.0599519	0.190542	0.320444	0.407122
a58	0.00294483	0.00223609	0.00274872	0.00291613	0.00586319	0.0169343	0.0739264	0.190743	0.309112	0.392576
a82	0.00352719	0.00224539	0.002513	0.00211191	0.00393222	0.0109036	0.0564125	0.15299	0.272356	0.493008
a87	0.201096	0.100283	0.0579385	0.0381618	0.0572646	0.0647834	0.0778319	0.0875179	0.124268	0.190854
</S>	0.416047	0.349615	0.143827	0.0319902	0.0185529	0.0141599	0.00942853	0.00614483	0.00547381	0.00476126
