 	l'	abondance	de	nourriture	m'	a	sauvé	de	la	disette	</S>
a66	0.274935	0.239799	0.144209	0.0857097	0.062661	0.0569085	0.0416672	0.0323833	0.0269241	0.018364	0.0164389
a87	0.369571	0.152773	0.0959444	0.0493384	0.0337735	0.0267095	0.0349038	0.0457877	0.065726	0.065211	0.0602623
a23	0.303396	0.181675	0.0951649	0.0683049	0.0424678	0.0318383	0.0334513	0.0383456	0.0505195	0.0776397	0.0771968
a58	0.195136	0.143384	0.106396	0.0883752	0.0682164	0.0539026	0.0548172	0.0560759	0.0686348	0.0825155	0.0825463
a4	0.26144	0.237158	0.120247	0.0799228	0.0374412	0.0304469	0.0337067	0.035793	0.0453913	0.060343	0.0581114
a70	0.403117	0.285446	0.101677	0.0738308	0.030753	0.0229669	0.0191875	0.0175719	0.0162571	0.0148131	0.0143793
a31	0.295224	0.276008	0.139969	0.1333	0.0587268	0.0332582	0.0203143	0.015766	0.00975621	0.00858152	0.00909627
a75	0.233996	0.233238	0.144874	0.160913	0.0916056	0.0537774	0.0308228	0.0212521	0.0123267	0.00825133	0.00894345
a98	0.174144	0.198048	0.154903	0.172596	0.115028	0.0785174	0.040783	0.0260296	0.0143695	0.0115613	0.0140198
a85	0.0975958	0.119189	0.162555	0.206094	0.155655	0.106213	0.0568198	0.037664	0.0206215	0.0174656	0.020127
a6	0.0818807	0.0963164	0.143085	0.227358	0.190222	0.115005	0.0544649	0.0339834	0.0195245	0.0188409	0.0193196
a36	0.115457	0.146338	0.161682	0.198168	0.156403	0.0952813	0.0485435	0.0299022	0.0170586	0.0151662	0.0160003
a37	0.0608856	0.106364	0.165893	0.170922	0.154136	0.113122	0.0748247	0.0530938	0.0350854	0.0319485	0.0337234
a94	0.0286779	0.0518046	0.112851	0.124395	0.151253	0.136464	0.112131	0.0866644	0.0660001	0.0631052	0.0666536
a70	0.019369	0.0274123	0.0595162	0.0676006	0.119395	0.14996	0.15268	0.130385	0.0985196	0.0865222	0.0886397
a4	0.0178722	0.0199214	0.0371174	0.042703	0.0970131	0.155605	0.179477	0.146906	0.11077	0.0967123	0.0959018
a53	0.0101629	0.0106563	0.0199492	0.0248897	0.0657464	0.124668	0.18627	0.175697	0.142539	0.125701	0.11372
a93	0.0101063	0.0101604	0.0160601	0.0183107	0.0463252	0.096518	0.160975	0.160639	0.154279	0.160237	0.16639
a62	0.00513796	0.00511455	0.00953582	0.0123666	0.0373247	0.0853218	0.155941	0.161655	0.161648	0.182916	0.183039
a0	0.00441208	0.0036901	0.00556264	0.0072986	0.0240712	0.0555764	0.114221	0.136403	0.162119	0.243226	0.243419
a31	0.006634	0.00578393	0.00631298	0.00516632	0.0143786	0.0345073	0.0742128	0.100972	0.152986	0.287676	0.31137
a0	0.00653812	0.00540098	0.00651271	0.0049809	0.0117159	0.0244851	0.0511438	0.0768457	0.136444	0.306142	0.369791
a75	0.00742977	0.00555447	0.00655146	0.00391422	0.00666107	0.01256	0.0277986	0.0570101	0.141497	0.330561	0.400462
a92	0.000154322	0.000193013	0.000388636	0.000453257	0.00174884	0.0054781	0.0170994	0.0354162	0.0913611	0.36479	0.482917
a5	0.000125286	0.000146777	0.000363137	0.000470205	0.00181736	0.00520454	0.0155404	0.0321773	0.084882	0.366628	0.492645
a37	0.000345785	0.000319925	0.000564883	0.000588038	0.00204013	0.00627715	0.0174758	0.0422046	0.104059	0.39129	0.434835
a75	0.00043239	0.000407797	0.000625858	0.000556503	0.00137598	0.00351991	0.011373	0.0276302	0.0812484	0.377786	0.495044
a85	0.000325208	0.00029067	0.000542374	0.000606664	0.00162984	0.00415869	0.0142705	0.0367918	0.0927417	0.376716	0.471927
a6	0.000386339	0.000317903	0.000553722	0.000563859	0.00165321	0.00464059	0.0156473	0.0446323	0.101424	0.363389	0.466792
a36	0.000892336	0.000715355	0.00106773	0.00109917	0.00206396	0.00443595	0.0161849	0.0450309	0.105077	0.358248	0.465185
a2	0.00404098	0.00401083	0.00496554	0.00552697	0.00963671	0.0178121	0.0327359	0.0705387	0.138514	0.363536	0.348682
a57	0.094794	0.0743994	0.049987	0.042507	0.049018	0.0665955	0.0747466	0.0987035	0.102914	0.15632	0.190015
a87	0.144135	0.078025	0.050762	0.0452012	0.0453181	0.0475542	0.0629549	0.0884836	0.121579	0.15433	0.161658
</S>	0.225621	0.103768	0.06642	0.0409265	0.0306458	0.0291845	0.0415968	0.0681554	0.0996782	0.132891	0.161112
