 	ce	matin	votre	mère	a	déclaré	avoir	perdu	sa	machette	</S>
a66	0.180839	0.153236	0.164336	0.154329	0.121929	0.0868898	0.0465996	0.0304671	0.0220616	0.0196248	0.0196882
a87	0.196996	0.10884	0.0801129	0.0570181	0.059605	0.0754474	0.0825634	0.0735754	0.0719326	0.0932914	0.100618
a97	0.241131	0.116217	0.0655968	0.0456319	0.0386269	0.0447139	0.0665725	0.0975644	0.0779916	0.09715	0.108804
a23	0.276912	0.142366	0.0717472	0.0430541	0.0285962	0.0467132	0.069921	0.102404	0.0700333	0.0739376	0.0743153
a79	0.264699	0.162375	0.0925954	0.0623338	0.0420045	0.0656316	0.0695396	0.0742495	0.0584516	0.0532841	0.0548349
a30	0.233695	0.175486	0.0964475	0.0626134	0.0486241	0.0541244	0.0507137	0.0514391	0.0618387	0.0811434	0.0838752
a53	0.226948	0.249805	0.113921	0.0582791	0.0512572	0.0521964	0.0412984	0.0376017	0.0457488	0.0561706	0.0667731
a15	0.230676	0.261421	0.137451	0.0748443	0.0607982	0.0443472	0.0357638	0.0338171	0.0378954	0.0358879	0.0470983
a79	0.136411	0.176128	0.155066	0.114738	0.108787	0.0587712	0.0389522	0.0306245	0.0389452	0.0523648	0.0892118
a7	0.119578	0.182547	0.189982	0.136798	0.110246	0.0574453	0.0353036	0.0291357	0.0327285	0.0405856	0.0656505
a56	0.128705	0.18592	0.189243	0.135552	0.107485	0.0578588	0.0337249	0.0295169	0.0303617	0.037843	0.0637893
a94	0.13495	0.170905	0.197304	0.145792	0.113481	0.0588946	0.0343901	0.0291702	0.02899	0.0347271	0.0513959
a12	0.0759038	0.123236	0.201712	0.160811	0.129724	0.0706013	0.0422844	0.0377091	0.0372588	0.0473296	0.0734299
a21	0.0937897	0.115834	0.172245	0.141756	0.126035	0.0835552	0.0527106	0.0464877	0.0434153	0.0513737	0.0727984
a85	0.0911699	0.1037	0.153995	0.135291	0.123948	0.0907604	0.0635256	0.0556419	0.0495104	0.0532654	0.0791929
a5	0.0382159	0.0613844	0.141829	0.136418	0.148728	0.103967	0.0721297	0.0596415	0.0565924	0.0659275	0.115167
a21	0.0411665	0.0541958	0.137491	0.154902	0.151882	0.110997	0.0802258	0.0702033	0.0587559	0.0605026	0.0796774
a5	0.02869	0.0325739	0.085098	0.126721	0.146971	0.140701	0.101879	0.0866267	0.0713177	0.076815	0.102607
a61	0.0242929	0.0278012	0.0692646	0.12128	0.148901	0.140949	0.103685	0.091245	0.078402	0.0817968	0.112382
a62	0.0173166	0.0236166	0.0604848	0.115393	0.158938	0.175267	0.116476	0.0932565	0.071017	0.0723609	0.0958746
a88	0.0195899	0.0254055	0.0618082	0.11444	0.146354	0.172998	0.126215	0.101803	0.0770524	0.0706059	0.0837279
