 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
a57	0.256627	0.130315	0.117551	0.0939882	0.0964473	0.0901114	0.0773762	0.0482046	0.0290469	0.0232766	0.0193785	0.0176776
a10	0.28625	0.157473	0.0756005	0.0473276	0.0448264	0.0498364	0.0463273	0.0521227	0.0496879	0.0523319	0.0605665	0.0776493
a87	0.372019	0.160402	0.0871896	0.0676726	0.0594314	0.049609	0.0341136	0.0226294	0.0262171	0.030902	0.0376287	0.0521859
a57	0.335924	0.161759	0.101302	0.0701616	0.0468848	0.0352947	0.0265386	0.0255821	0.0373608	0.0454601	0.050015	0.0637174
a13	0.383524	0.142795	0.0744712	0.0512403	0.0318324	0.0262015	0.0226407	0.0277526	0.0460946	0.0575086	0.061158	0.0747809
a54	0.377279	0.152826	0.0905568	0.0468472	0.0282957	0.0229513	0.018785	0.020467	0.0364648	0.0516585	0.066658	0.0872107
a79	0.307184	0.193479	0.137978	0.049168	0.040996	0.0340062	0.0294272	0.0235794	0.0274624	0.0314045	0.046302	0.0790123
a44	0.232982	0.217666	0.227434	0.103519	0.0629323	0.036123	0.0224877	0.0131227	0.013893	0.015434	0.0216215	0.0327845
a93	0.115932	0.153362	0.221027	0.163096	0.113439	0.0644268	0.0404215	0.0213998	0.0193672	0.0203683	0.0262107	0.0409504
a54	0.086402	0.129915	0.204051	0.197888	0.143096	0.0733545	0.0422339	0.0214176	0.0183528	0.0196464	0.0252021	0.038441
a47	0.0778013	0.0985577	0.142926	0.141575	0.134691	0.0996979	0.0735832	0.0439743	0.0355564	0.0373419	0.0482905	0.0660049
a37	0.0825124	0.120202	0.17465	0.158602	0.14613	0.098919	0.0648612	0.0308803	0.0233042	0.0237812	0.030837	0.0453211
a70	0.0605045	0.0903092	0.162318	0.16556	0.159191	0.113077	0.0824798	0.0424212	0.0278166	0.024455	0.0286454	0.043223
a44	0.0380432	0.0570376	0.108928	0.125974	0.163758	0.149151	0.134757	0.0755046	0.0417133	0.0324995	0.0323084	0.0403248
a54	0.029155	0.0422748	0.0909631	0.118603	0.172671	0.155293	0.137481	0.0811363	0.0459279	0.0361092	0.0378662	0.0525194
a15	0.0181291	0.0282109	0.0610696	0.0815663	0.131788	0.150268	0.139565	0.0977407	0.0714558	0.062051	0.0667511	0.091404
a44	0.0192631	0.0273273	0.0495531	0.0559132	0.102205	0.142489	0.141503	0.104075	0.0783442	0.0731392	0.0852567	0.120931
a98	0.0138299	0.0173309	0.0339435	0.0453358	0.102908	0.151706	0.179213	0.138565	0.0843388	0.0644507	0.0692266	0.0991524
a92	0.0142359	0.0206197	0.0379775	0.0487931	0.0999718	0.156263	0.163194	0.115063	0.0902278	0.0799031	0.0791961	0.0945555
a5	0.0149152	0.0201765	0.0356315	0.0444359	0.0882876	0.143579	0.158304	0.130444	0.103253	0.0875382	0.0826992	0.090735
a18	0.0168352	0.0194729	0.032302	0.0392038	0.0773006	0.129512	0.159627	0.139651	0.107714	0.0888459	0.0859121	0.103623
a27	0.00393804	0.00385652	0.00589408	0.00757335	0.0233953	0.0544328	0.101225	0.142083	0.143214	0.127021	0.159437	0.22793
a75	0.00254259	0.00221386	0.00295011	0.00337122	0.00810024	0.0211998	0.0457721	0.0934564	0.140843	0.155632	0.225192	0.298727
a18	0.00395733	0.0043577	0.00623742	0.00840942	0.0182532	0.0436473	0.0910629	0.136947	0.156237	0.150319	0.173653	0.206919
a38	0.000730162	0.000697562	0.000940757	0.00111822	0.0035428	0.0108931	0.0286495	0.0672045	0.130366	0.163586	0.259302	0.33297
a11	0.000559058	0.000502584	0.000599617	0.000759939	0.0019919	0.0058159	0.016968	0.0504401	0.11826	0.163907	0.285572	0.354624
a90	0.00071199	0.000528466	0.000499097	0.000516038	0.00131734	0.00396464	0.0117947	0.0427635	0.121221	0.171018	0.28872	0.356945
a75	0.000799981	0.000795209	0.000940898	0.00114085	0.00281915	0.00717731	0.0180576	0.0447061	0.0991631	0.152562	0.294756	0.377082
a56	0.000505565	0.000499696	0.00063677	0.000763761	0.00221338	0.00601884	0.0142413	0.0366794	0.0891903	0.142536	0.287774	0.41894
a70	0.000436788	0.000399543	0.000430417	0.000420586	0.00105613	0.00293299	0.00800621	0.0240202	0.0610958	0.101801	0.270094	0.529307
a34	0.000293781	0.000280288	0.00032902	0.000341638	0.000823495	0.00211602	0.00557927	0.0197918	0.0604074	0.102143	0.273055	0.534839
a79	0.000239827	0.000241522	0.000308082	0.000373637	0.00102054	0.00295057	0.00790905	0.0270729	0.0720499	0.111679	0.271818	0.504337
a69	0.000163057	0.000150948	0.000172508	0.000171624	0.00046997	0.00134882	0.003295	0.0128781	0.0502167	0.0953877	0.26856	0.567186
a58	0.000118293	0.000119821	0.000140161	0.00013358	0.000367824	0.00106148	0.00271951	0.0105368	0.0458326	0.0911773	0.266508	0.581285
a53	0.00229942	0.00179391	0.00162535	0.00113904	0.00196923	0.00403445	0.00726832	0.0263475	0.0958165	0.159004	0.299046	0.399656
a44	0.000453181	0.00037772	0.000278086	0.000230716	0.000499058	0.00124489	0.00280322	0.0107923	0.047229	0.107761	0.300816	0.527515
a13	0.000376095	0.000319988	0.000287089	0.000222911	0.00038467	0.000829963	0.00159818	0.00707981	0.0417372	0.102586	0.292182	0.552396
a9	0.00173336	0.0014103	0.00132494	0.00105312	0.001636	0.00303956	0.00479264	0.0172087	0.0689254	0.13233	0.291625	0.474921
a87	0.0370011	0.0206367	0.0135132	0.00923219	0.0098966	0.0130377	0.0163955	0.0401598	0.106684	0.172348	0.252101	0.308995
a23	0.0525265	0.0281376	0.0137449	0.00906144	0.00813421	0.0108263	0.0168917	0.0526396	0.142829	0.194349	0.228229	0.242631
a87	0.0447517	0.0229251	0.0121578	0.0076167	0.0055888	0.00562143	0.0070697	0.0261503	0.0985642	0.157516	0.243547	0.368491
</S>	0.0142064	0.00942106	0.00594591	0.00448474	0.00375041	0.00459599	0.0060687	0.0217193	0.0817018	0.139074	0.259924	0.449108
