 	le	riz	gonfle	sous	l'	effet	de	le	chaleur	</S>
a84	0.366537	0.261508	0.153656	0.0882227	0.0586461	0.0330513	0.0188919	0.00941401	0.00572972	0.00434311
a87	0.406916	0.179073	0.194671	0.0809246	0.0508387	0.0293994	0.0237447	0.0122768	0.011578	0.0105779
a23	0.25192	0.184919	0.197242	0.111875	0.0874804	0.0508803	0.035481	0.0275352	0.029598	0.0230696
a54	0.283394	0.207721	0.17814	0.10824	0.0819799	0.0452989	0.0255157	0.0221364	0.0258941	0.0216793
a79	0.238542	0.184446	0.183695	0.142738	0.0741404	0.0478525	0.0369059	0.0326069	0.0291327	0.0299408
a56	0.179452	0.177878	0.198008	0.251584	0.107691	0.0426028	0.0184845	0.0119144	0.0073622	0.00502468
a90	0.114508	0.148915	0.175654	0.289622	0.136203	0.075055	0.026886	0.0170276	0.0100139	0.00611583
a93	0.108711	0.128264	0.167875	0.219577	0.143577	0.109479	0.0518714	0.0344275	0.0214278	0.0147897
a56	0.0700381	0.0897769	0.154202	0.23866	0.158997	0.132056	0.060597	0.0446685	0.0295212	0.0214824
a12	0.0493213	0.0704088	0.135832	0.2441	0.169472	0.144819	0.0704301	0.0512262	0.0365853	0.0278055
a75	0.0270119	0.0382443	0.0884087	0.219787	0.182764	0.184443	0.0970264	0.0691321	0.0521124	0.0410703
a92	0.00997379	0.0170437	0.0386523	0.0834505	0.104493	0.147324	0.157987	0.169104	0.149824	0.122147
a56	0.00623437	0.00926119	0.0258739	0.0772015	0.116235	0.15813	0.163707	0.162918	0.149838	0.130602
a61	0.00617957	0.0081831	0.0176279	0.0713139	0.107923	0.169222	0.194506	0.173123	0.13235	0.119571
a21	0.00677263	0.00681041	0.0123574	0.0534838	0.0855963	0.152657	0.197663	0.185189	0.153619	0.145852
a47	0.00215552	0.00194022	0.00306821	0.0135947	0.0323639	0.10273	0.168729	0.205522	0.229422	0.240475
a61	0.00133869	0.00127792	0.00250451	0.00893159	0.0250923	0.0784265	0.159582	0.207451	0.246831	0.268565
a43	0.000802768	0.000768343	0.00164364	0.0054263	0.0150114	0.0521154	0.122855	0.215033	0.292211	0.294132
a11	0.000677318	0.000689482	0.00171662	0.0038886	0.00774079	0.0239755	0.0834437	0.190698	0.320421	0.366749
a93	0.000510525	0.000561114	0.00138367	0.0018768	0.00274528	0.00498718	0.0288303	0.104053	0.30312	0.551931
a44	0.000201757	0.000215632	0.000611444	0.00078874	0.00163148	0.00419933	0.0276186	0.111998	0.338664	0.514071
a37	0.000203967	0.000258832	0.000752843	0.000793949	0.00144138	0.00244166	0.01653	0.0874887	0.336833	0.553256
a26	0.000418824	0.000550509	0.0020079	0.00229305	0.0039942	0.00594091	0.0300197	0.106853	0.33595	0.511972
a57	0.00465396	0.00502771	0.013061	0.0127367	0.0175108	0.0207938	0.0491441	0.100627	0.285339	0.491106
a97	0.0369697	0.0257651	0.0423352	0.0335176	0.0414538	0.0436408	0.066862	0.095605	0.214557	0.399294
a87	0.148657	0.0836553	0.103709	0.0583025	0.0639931	0.0604205	0.0834864	0.0939585	0.149408	0.154409
a23	0.109451	0.0753242	0.118495	0.0628157	0.0640723	0.0624306	0.109898	0.131521	0.154993	0.111
a99	0.0138977	0.00763365	0.0128894	0.0144497	0.0216744	0.0322715	0.103937	0.220404	0.332687	0.240155
a97	0.00534427	0.00365226	0.0102342	0.0137154	0.0262354	0.0418634	0.109194	0.198417	0.323244	0.2681
a99	0.00200451	0.00162701	0.00520856	0.0102769	0.0246884	0.0408236	0.10185	0.185372	0.33645	0.291699
</S>	0.00331731	0.00326841	0.00850961	0.0158963	0.0317036	0.048103	0.110158	0.201899	0.317268	0.259876
