 	il	est	avide	de	viande	</S>
a26	0.270335	0.232507	0.190335	0.137174	0.0958746	0.0737741
a24	0.224609	0.208918	0.228459	0.164785	0.102239	0.0709907
a75	0.328762	0.228485	0.186483	0.0989951	0.0752988	0.0819758
a85	0.373815	0.251041	0.176667	0.0995995	0.0564019	0.0424759
a41	0.281116	0.270729	0.21329	0.139474	0.0648224	0.0305683
a24	0.254579	0.245572	0.218474	0.15325	0.0812724	0.0468518
a31	0.182191	0.188633	0.204438	0.179461	0.136573	0.108703
a62	0.192838	0.176191	0.20834	0.184169	0.141615	0.0968477
a35	0.148745	0.120041	0.16683	0.175348	0.210289	0.178745
a76	0.169029	0.140908	0.186866	0.174601	0.174829	0.153767
a41	0.114223	0.11737	0.160429	0.176699	0.209013	0.222265
a24	0.0891584	0.0843179	0.113731	0.146028	0.2523	0.314465
a41	0.0495244	0.0495013	0.0773377	0.11258	0.261725	0.449332
a35	0.0598699	0.0541935	0.070801	0.107437	0.267196	0.440503
a44	0.0462639	0.0431379	0.0553916	0.0851534	0.24997	0.520083
a9	0.0346358	0.032453	0.0404774	0.0665613	0.231319	0.594554
a87	0.0167772	0.0164339	0.0258491	0.053686	0.230465	0.656789
</S>	0.0423978	0.0370379	0.0441699	0.0823687	0.237095	0.556931
