 	ce	que	l'	enfant	raconte	à	sa	mère	est	vrai	</S>
a15	0.228629	0.173581	0.166431	0.131294	0.103912	0.0675771	0.0426113	0.0257652	0.0206565	0.0194388	0.0201043
a66	0.290263	0.218476	0.183221	0.133045	0.0452704	0.02115	0.0193403	0.0202632	0.0236233	0.0214482	0.0238993
a87	0.449827	0.268364	0.134497	0.0594688	0.0176761	0.00913208	0.0086908	0.00888991	0.0106502	0.0142146	0.0185895
a23	0.384056	0.264822	0.16131	0.0794105	0.02979	0.015658	0.013262	0.0112833	0.0118486	0.0125555	0.0160043
a79	0.350257	0.224158	0.10924	0.0710783	0.0382182	0.0307098	0.0356305	0.0342905	0.030216	0.0347822	0.04142
a15	0.23106	0.186115	0.160626	0.13367	0.0575667	0.0352906	0.0400032	0.0359435	0.0367911	0.0395687	0.0433657
a92	0.0763953	0.095679	0.163848	0.239452	0.166083	0.0690133	0.0513446	0.0406391	0.033613	0.031311	0.0326219
a21	0.0691068	0.108925	0.196533	0.274278	0.175073	0.070924	0.0381577	0.0252949	0.0148703	0.0143984	0.0124395
a5	0.0695286	0.105014	0.184231	0.262952	0.168821	0.0798648	0.0546173	0.0321021	0.0168024	0.012855	0.0132121
a61	0.104989	0.143414	0.192896	0.226519	0.132575	0.0676113	0.04998	0.0311376	0.0189851	0.0158835	0.0160088
a88	0.133458	0.175212	0.238279	0.245062	0.10884	0.0396955	0.0230805	0.0126191	0.00851322	0.0077277	0.00751264
a0	0.0626951	0.0928422	0.169766	0.230613	0.196125	0.10311	0.0531279	0.0284257	0.0209856	0.0198004	0.0225085
a21	0.0411451	0.0568979	0.100369	0.162878	0.192545	0.155267	0.0915706	0.0566183	0.0432316	0.0432696	0.0562081
a85	0.0452999	0.0600791	0.0942241	0.135928	0.137288	0.117821	0.10091	0.0829281	0.0754091	0.0734507	0.0766621
a98	0.0104889	0.013189	0.0189828	0.0330098	0.0650549	0.0853276	0.0889592	0.107928	0.133543	0.170425	0.273092
a6	0.00597587	0.00903255	0.0146008	0.0316119	0.110696	0.152349	0.137042	0.116376	0.108727	0.131046	0.182543
a98	0.00397096	0.00514784	0.00795399	0.0164213	0.075701	0.129082	0.145677	0.114851	0.104787	0.179839	0.216569
a85	0.00261906	0.00334373	0.00536886	0.0107257	0.047804	0.105144	0.131584	0.117759	0.0996607	0.197736	0.278255
a92	0.00195776	0.0024905	0.00411567	0.00841669	0.0369796	0.0961084	0.13724	0.135877	0.105651	0.203442	0.267721
a37	0.00308739	0.00311381	0.00382422	0.0063498	0.0222335	0.0612267	0.10322	0.127568	0.121236	0.235341	0.312799
a90	0.00198894	0.00186891	0.00178292	0.00282209	0.0123632	0.0349271	0.072185	0.114481	0.14185	0.276614	0.339117
a56	0.000524833	0.000469482	0.000444771	0.000763849	0.00527585	0.0249167	0.0656662	0.131706	0.157363	0.273071	0.339799
a62	0.000580818	0.000470281	0.000330878	0.000447024	0.00383358	0.0211861	0.0621782	0.120527	0.173283	0.282044	0.335119
a47	0.000873995	0.000744521	0.000544664	0.000723543	0.0033512	0.0139585	0.0376463	0.0886154	0.184071	0.336068	0.333403
a62	0.00181642	0.00152824	0.00116358	0.00139015	0.0042306	0.0144485	0.037968	0.0889812	0.191099	0.325463	0.331911
a61	0.000753317	0.000669769	0.00053312	0.000680528	0.00193825	0.00699683	0.0221924	0.0581235	0.14914	0.358319	0.400653
a88	0.000423799	0.0004027	0.000378266	0.000515594	0.0011983	0.00429017	0.0135114	0.0377356	0.114809	0.35652	0.470215
a54	0.000416395	0.000443397	0.000486108	0.000697278	0.00169177	0.00488289	0.012817	0.0344886	0.103139	0.33124	0.509698
a79	4.00337e-05	4.17421e-05	6.00662e-05	0.000112569	0.000520821	0.00236901	0.00730055	0.0271148	0.0823565	0.353634	0.52645
a44	6.18232e-05	5.78045e-05	7.01124e-05	0.000119522	0.000471022	0.00215321	0.00697296	0.023308	0.0809088	0.354024	0.531853
a7	0.000398592	0.000360492	0.00034533	0.00040632	0.00134945	0.00523857	0.0131699	0.0368028	0.103875	0.317698	0.520355
a2	0.000711016	0.000660056	0.000633649	0.000725836	0.00219414	0.00682586	0.0135941	0.0366054	0.0959004	0.326264	0.515886
a57	0.00470349	0.0047343	0.0053208	0.00591196	0.0157338	0.035127	0.0513576	0.088485	0.134565	0.283877	0.370184
a87	0.0156199	0.0129628	0.015858	0.0158247	0.0362567	0.0570081	0.0650525	0.0914403	0.132752	0.225775	0.331451
a23	0.274198	0.217533	0.13236	0.0648403	0.0415059	0.038152	0.0400272	0.0461268	0.0456286	0.0505899	0.0490387
a87	0.0524671	0.0422438	0.0225909	0.00991558	0.0153849	0.0374805	0.0657022	0.117067	0.19938	0.235057	0.202711
</S>	0.00597336	0.0051775	0.00351409	0.0020232	0.00347836	0.00966878	0.0301607	0.0853821	0.172429	0.307537	0.374655
